model,dataset,dataset_type,iteration,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,dimensions,emissions_kg,duration,n_parameters,project_id,ready,data_quality_dimension,data_quality_dimension_percentage,experiment_method,datapoint_w,datapoint_h,experiment,model_type
CNN_SMALL,FASHION-MNIST,images,0,0.3123693168163299,0.8944000005722046,0.3123693168163299,0.9900000095367432,0.9983000159263612,0.9061090350151062,0.8840000033378601,0.9918854236602784,0.8944000005722046,45,60000,1.0,60000,Image,10,1.0,0.0005386473492609,78.12269568443298,20930,a2db8d58-8a08-42b1-b34f-3c3a4743cf03,True,completeness,1.0,uniform,28.0,28.0,e11,SIMPLE_CNN
CNN_BIG,CIFAR-10,images,0,0.4723148345947265,0.8589000105857849,0.4723148345947265,0.973900020122528,0.9937000274658204,0.8773926496505737,0.8479999899864197,0.9833755493164062,0.8589000105857849,55,50000,1.0,50000,Image,10,3.0,0.0019019720348352,276.80084013938904,552874,de1e3708-b986-4631-8050-5546fb848c5f,True,completeness,1.0,uniform,32.0,32.0,e11,SIMPLE_CNN
CNN_SMALL,FASHION-MNIST,images,1,0.3049501776695251,0.8949999809265137,0.3049501776695251,0.9911999702453612,0.9980999827384948,0.9081643223762512,0.882099986076355,0.9927743673324584,0.8949999809265137,41,60000,1.0,60000,Image,10,1.0,0.0004706388435492,68.77236294746399,20930,93dd6850-7f65-42df-b90b-674b11d68b34,True,completeness,1.0,uniform,28.0,28.0,e11,SIMPLE_CNN
CNN_BIG,CIFAR-10,images,1,0.5061440467834473,0.8461999893188477,0.5061440467834473,0.9711999893188475,0.9930999875068665,0.8648480176925659,0.8338000178337097,0.981335997581482,0.8461999893188477,52,50000,1.0,50000,Image,10,3.0,0.0017638104497986,258.94087409973145,552874,165b2435-acd3-4dc4-a736-23fe5a3c39ab,True,completeness,1.0,uniform,32.0,32.0,e11,SIMPLE_CNN
CNN_SMALL,FASHION-MNIST,images,2,0.321573406457901,0.8938999772071838,0.321573406457901,0.9904000163078308,0.998199999332428,0.9035221934318542,0.8849999904632568,0.9912557601928712,0.8938999772071838,47,60000,1.0,60000,Image,10,1.0,0.0005123883437952,76.8747615814209,20930,8b18edf7-ff72-4e7b-a8b6-3ef740bc3874,True,completeness,1.0,uniform,28.0,28.0,e11,SIMPLE_CNN
CNN_BIG,CIFAR-10,images,2,0.4814024865627289,0.8633999824523926,0.4814024865627289,0.9753000140190125,0.9930999875068665,0.8771478533744812,0.8525000214576721,0.9818631410598756,0.8634000420570374,65,50000,1.0,50000,Image,10,3.0,0.0022184656024471,324.69466066360474,552874,ed7be34b-a378-45cb-8df5-5255a808cb0b,True,completeness,1.0,uniform,32.0,32.0,e11,SIMPLE_CNN
CNN_SMALL,FASHION-MNIST,images,3,0.3078542649745941,0.8966000080108643,0.3078542649745941,0.989400029182434,0.9983000159263612,0.9088024497032166,0.8878999948501587,0.991392970085144,0.8966000080108643,45,60000,1.0,60000,Image,10,1.0,0.0004812516079046,74.39886617660522,20930,e99ed932-38c1-4901-bf0f-14f2e2e496ea,True,completeness,1.0,uniform,28.0,28.0,e11,SIMPLE_CNN
CNN_BIG,CIFAR-10,images,3,0.4792828261852264,0.8585000038146973,0.4792828261852264,0.973200023174286,0.9944000244140624,0.8769389986991882,0.8479999899864197,0.9821096658706664,0.8585000038146973,59,50000,1.0,50000,Image,10,3.0,0.002000628922072,294.9667115211487,552874,e2f766df-cf4a-4610-a7df-c264be55237b,True,completeness,1.0,uniform,32.0,32.0,e11,SIMPLE_CNN
CNN_SMALL,FASHION-MNIST,images,4,0.324819952249527,0.8937000036239624,0.324819952249527,0.989300012588501,0.9984999895095824,0.9034595489501952,0.8852999806404114,0.9906904101371764,0.8937000036239624,45,60000,1.0,60000,Image,10,1.0,0.0005067400926011,75.03574776649475,20930,c1ae74a2-0f83-4e74-a5be-1437b7dccad2,True,completeness,1.0,uniform,28.0,28.0,e11,SIMPLE_CNN
CNN_BIG,CIFAR-10,images,4,0.4733177125453949,0.8561999797821045,0.4733177125453949,0.9735000133514404,0.993399977684021,0.8732830882072449,0.8456000089645386,0.9826894402503968,0.8561999797821045,53,50000,1.0,50000,Image,10,3.0,0.0018294786338687,263.8498811721802,552874,5757feb6-9c02-4524-95c7-a8d34914ff01,True,completeness,1.0,uniform,32.0,32.0,e11,SIMPLE_CNN
CNN_SMALL,FASHION-MNIST,images,0,0.3326938152313232,0.88919997215271,0.3326938152313232,0.9884999990463256,0.9976000189781188,0.9010865092277528,0.8791000247001648,0.9907518029212952,0.88919997215271,46,53947,0.8991166666666667,60000,Image,10,1.0,0.0004876157081444,73.71681022644043,20930,df00a0cc-2fa5-4297-b5d6-5497803baaea,True,completeness,0.9,uniform,28.0,28.0,e11,SIMPLE_CNN
CNN_SMALL,FASHION-MNIST,images,0,0.3419150412082672,0.8798999786376953,0.3419150412082672,0.9890000224113464,0.996999979019165,0.89519202709198,0.8694999814033508,0.9908803701400756,0.8798999786376953,38,48158,0.8026333333333333,60000,Image,10,1.0,0.0003646427319674,53.60182309150696,20930,553db877-657d-4449-b9b1-a1b08a71416f,True,completeness,0.8,uniform,28.0,28.0,e11,SIMPLE_CNN
CNN_SMALL,FASHION-MNIST,images,0,0.3436812162399292,0.8849999904632568,0.3436812162399292,0.9879000186920166,0.998199999332428,0.8989815711975098,0.8738999962806702,0.9911229014396667,0.8849999904632568,46,42011,0.7001833333333334,60000,Image,10,1.0,0.0004075442769222,59.10136461257935,20930,01096f90-f11e-489c-a4ae-f77e2525d5b5,True,completeness,0.7,uniform,28.0,28.0,e11,SIMPLE_CNN
CNN_SMALL,FASHION-MNIST,images,0,0.3460032343864441,0.8754000067710876,0.3460032343864441,0.9878000020980836,0.9975000023841858,0.8918415904045105,0.862500011920929,0.9909214973449708,0.8754000067710876,40,36070,0.6011666666666666,60000,Image,10,1.0,0.0002940110270251,43.809929847717285,20930,b93aa62f-f778-4343-8b3f-6c17596f5710,True,completeness,0.6,uniform,28.0,28.0,e11,SIMPLE_CNN
CNN_SMALL,FASHION-MNIST,images,0,0.3544622361660003,0.8797000050544739,0.3544622361660003,0.9871000051498412,0.9983000159263612,0.8932867050170898,0.8689000010490417,0.990583837032318,0.8797000050544739,44,30020,0.5003333333333333,60000,Image,10,1.0,0.0002664939502273,40.91913723945618,20930,05c260bc-9fd8-4fa7-8136-5f2af979f809,True,completeness,0.5,uniform,28.0,28.0,e11,SIMPLE_CNN
CNN_SMALL,FASHION-MNIST,images,0,0.4167970716953277,0.8626999855041504,0.4167970716953277,0.9865999817848206,0.9976000189781188,0.8772886395454407,0.8529000282287598,0.9875630140304564,0.8626999855041504,46,24168,0.4028,60000,Image,10,1.0,0.000230845641417,34.47347640991211,20930,7d24725c-3ecc-405c-9702-e1f039b31ec8,True,completeness,0.4,uniform,28.0,28.0,e11,SIMPLE_CNN
CNN_SMALL,FASHION-MNIST,images,0,0.4196314513683319,0.8587999939918518,0.4196314513683319,0.984000027179718,0.996999979019165,0.8777697086334229,0.8438000082969666,0.9872417449951172,0.8587999939918518,42,17985,0.29975,60000,Image,10,1.0,0.0001626499475891,25.380979299545288,20930,bca650a3-400e-4896-b747-e341b4cf59d1,True,completeness,0.3,uniform,28.0,28.0,e11,SIMPLE_CNN
CNN_SMALL,FASHION-MNIST,images,0,0.4397165179252624,0.8529000282287598,0.4397165179252624,0.984000027179718,0.9965000152587892,0.8738352060317993,0.8345999717712402,0.9865858554840088,0.8529000282287598,42,12096,0.2016,60000,Image,10,1.0,0.0001201856264776,18.13001656532288,20930,b59c6fe1-217b-492a-926e-aba84367c516,True,completeness,0.2,uniform,28.0,28.0,e11,SIMPLE_CNN
CNN_BIG,CIFAR-10,images,0,0.5309595465660095,0.8483999967575073,0.5309595465660095,0.9729999899864196,0.9944999814033508,0.8637582659721375,0.8374999761581421,0.9785161018371582,0.8483999967575073,61,45213,0.90426,50000,Image,10,3.0,0.0018975372966188,279.6604549884796,552874,c8d0ddf6-ef36-40f1-a309-6320f01121c9,True,completeness,0.9,uniform,32.0,32.0,e11,SIMPLE_CNN
CNN_BIG,CIFAR-10,images,0,0.5275132060050964,0.8492000102996826,0.5275132060050964,0.9699000120162964,0.9922000169754028,0.8659495115280151,0.8371999859809875,0.9798011183738708,0.8492000102996826,60,40082,0.80164,50000,Image,10,3.0,0.0016989837791079,244.8967497348785,552874,dc88811d-8097-4639-82cd-b2c8d9bbcc48,True,completeness,0.8,uniform,32.0,32.0,e11,SIMPLE_CNN
CNN_BIG,CIFAR-10,images,0,0.576435923576355,0.8129000067710876,0.576435923576355,0.961300015449524,0.9896000027656556,0.8452737331390381,0.7904999852180481,0.9783549904823304,0.8129000067710876,43,34771,0.69542,50000,Image,10,3.0,0.0010518408161748,154.08435916900635,552874,633f9f59-74ca-423f-afec-089ffbe94f5d,True,completeness,0.7,uniform,32.0,32.0,e11,SIMPLE_CNN
CNN_BIG,CIFAR-10,images,0,0.5984453558921814,0.8105000257492065,0.5984453558921814,0.9617999792099,0.9894999861717224,0.8389938473701477,0.7904999852180481,0.9770388007164,0.8105000257492065,46,30130,0.6026,50000,Image,10,3.0,0.000976867100035,142.47667956352234,552874,6601fd65-67a1-4a55-beca-cd097ade4da2,True,completeness,0.6,uniform,32.0,32.0,e11,SIMPLE_CNN
CNN_BIG,CIFAR-10,images,0,0.6516167521476746,0.8111000061035156,0.6516167521476746,0.9617999792099,0.9900000095367432,0.8314020037651062,0.7964000105857849,0.9723188877105712,0.8111000061035156,57,25141,0.50282,50000,Image,10,3.0,0.0010008763997027,148.54082250595093,552874,7db5b919-5c49-4ac6-a7f3-a4dd5070e8d2,True,completeness,0.5,uniform,32.0,32.0,e11,SIMPLE_CNN
CNN_BIG,CIFAR-10,images,0,0.7112321853637695,0.7968000173568726,0.7112321853637695,0.9521999955177308,0.9871000051498412,0.8204777240753174,0.779699981212616,0.9689732789993286,0.7968000173568726,55,20126,0.40252,50000,Image,10,3.0,0.0008107939776337,115.73438239097597,552874,e64c343c-e888-4c78-bdf8-99c7a28306af,True,completeness,0.4,uniform,32.0,32.0,e11,SIMPLE_CNN
