model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
FCN,BME,time_series,e11,0,uniform,completeness,1.0,1.5576703548431396,0.6666666865348816,1.5576703548431396,1.0,1.0,0.6666666865348816,0.6666666865348816,0.7553888559341431,0.6666666865348816,362,30,1.0,30,Simulated,3,SIMPLE_CNN,128,1,1,0.00013741610265277613,30.37800168991089,266115,88684088-6b70-400c-acd2-5e459521cef2,True
FCN,BME,time_series,e11,0,uniform,completeness,0.9,1.366580843925476,0.54666668176651,1.366580843925476,1.0,1.0,0.557823121547699,0.54666668176651,0.7621111869812012,0.54666668176651,513,23,0.7666666666666667,30,Simulated,3,SIMPLE_CNN,128,1,1,0.00021400423512353428,47.37873578071594,266115,78634820-eee7-47da-b1cb-4b5551ea66f7,True
FCN,BME,time_series,e11,0,uniform,completeness,0.8,1.617063045501709,0.6600000262260437,1.617063045501709,1.0,1.0,0.6600000262260437,0.6600000262260437,0.7273333072662354,0.6600000262260437,341,23,0.7666666666666667,30,Simulated,3,SIMPLE_CNN,128,1,1,0.0001464003397708075,32.21560597419739,266115,63e7c8a4-3a9d-48bc-a52a-aadd8fb58c73,True
FCN,BME,time_series,e11,0,uniform,completeness,0.7,0.8741084933280945,0.6600000262260437,0.8741084933280945,1.0,1.0,0.662162184715271,0.653333306312561,0.8291444778442383,0.6600000262260437,351,21,0.7,30,Simulated,3,SIMPLE_CNN,128,1,1,0.0001430282936729942,31.49615502357483,266115,6c3ffc94-d660-40ce-8e65-83da3ca2f82b,True
FCN,BME,time_series,e11,0,uniform,completeness,0.6,5.573464870452881,0.3266666531562805,5.573464870452881,1.0,1.0,0.3266666531562805,0.3266666531562805,0.5029555559158325,0.3266666531562805,710,19,0.6333333333333333,30,Simulated,3,SIMPLE_CNN,128,1,1,0.0003895131814520467,86.11687111854553,266115,c6147f06-c488-46dd-b781-14deb0acee8d,True
FCN,BME,time_series,e11,0,uniform,completeness,0.5,4.538264751434326,0.5066666603088379,4.538264751434326,1.0,1.0,0.5,0.4933333396911621,0.6275777816772461,0.5066666603088379,530,18,0.6,30,Simulated,3,SIMPLE_CNN,128,1,1,0.00028291870663378486,62.272823333740234,266115,730ae05d-93ae-4cb6-916a-a28ac773831b,True
FCN,BME,time_series,e11,0,uniform,completeness,0.4,1.1182987689971924,0.3333333432674408,1.1182987689971924,1.0,1.0,0.0,0.0,0.5460444688796997,0.3333333432674408,242,12,0.4,30,Simulated,3,SIMPLE_CNN,128,1,1,0.00010185945023276531,22.58289337158203,266115,20b03783-6871-4602-ab11-06d22c71d5d9,True
FCN,BME,time_series,e11,0,uniform,completeness,0.3,2.7878966331481934,0.3333333432674408,2.7878966331481934,1.0,1.0,0.3333333432674408,0.3333333432674408,0.45570001006126404,0.3333333432674408,361,8,0.26666666666666666,30,Simulated,3,SIMPLE_CNN,128,1,1,7.915865762787588e-05,17.44207215309143,266115,2fe66e64-c66b-42f3-bf93-2a3202c99420,True
FCN,BME,time_series,e11,0,uniform,completeness,0.2,4.5480194091796875,0.46666666865348816,4.548019886016846,1.0,1.0,0.46666666865348816,0.46666666865348816,0.603100061416626,0.46666666865348816,920,3,0.1,30,Simulated,3,SIMPLE_CNN,128,1,1,0.00019448687949021233,43.3700213432312,266115,45f34a0b-142e-4005-8eb3-f76eb01643ef,True
RESNET,BME,time_series,e11,0,uniform,completeness,1.0,3.8595385551452637,0.4000000059604645,3.8595385551452637,1.0,1.0,0.4000000059604645,0.4000000059604645,0.6570665836334229,0.40000003576278687,253,30,1.0,30,Simulated,3,RESNET,128,1,1,0.0001615466278249386,35.049694299697876,506947,3e9d92de-ab0e-4f69-8506-34bd3b7ddd1e,True
RESNET,BME,time_series,e11,0,uniform,completeness,0.9,0.0031822456512600183,1.0,0.0031822456512600183,1.0,1.0,1.0,1.0,1.0,1.0,390,27,0.9,30,Simulated,3,RESNET,128,1,1,0.00030423402771669544,65.64065027236938,506947,337c1886-7773-4459-9c2c-a811f7dfb7b8,True
RESNET,BME,time_series,e11,0,uniform,completeness,0.8,0.033090896904468536,0.9800000190734863,0.033090896904468536,1.0,1.0,0.9800000190734863,0.9800000190734863,0.9997999668121338,0.9800000190734863,697,23,0.7666666666666667,30,Simulated,3,RESNET,128,1,1,0.00045869560672715394,99.0359570980072,506947,9e551584-fc03-43b5-bd0f-f4be060d5e74,True
RESNET,BME,time_series,e11,0,uniform,completeness,0.7,2.9955098628997803,0.41999998688697815,2.9955098628997803,1.0,1.0,0.42657342553138733,0.40666666626930237,0.5466444492340088,0.41999998688697815,214,19,0.6333333333333333,30,Simulated,3,RESNET,128,1,1,0.00022044813752257066,47.771209955215454,506947,59435d28-4286-4275-a1df-b8925e8c82a2,True
RESNET,BME,time_series,e11,0,uniform,completeness,0.6,3.580927848815918,0.3333333432674408,3.580927848815918,1.0,1.0,0.3333333432674408,0.3333333432674408,0.49292224645614624,0.3333333432674408,226,17,0.5666666666666667,30,Simulated,3,RESNET,128,1,1,0.00020757311084621948,45.22292160987854,506947,6e40a5f0-d5d1-4c56-899f-48b3cf3472d3,True
