model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
FCN,BirdChicken,time_series,e11,0,uniform,completeness,1.0,0.5270524621009827,0.75,0.5270524621009827,1.0,1.0,0.75,0.75,0.8699999451637268,0.75,384,20,1.0,20,Image,2,SIMPLE_CNN,512,1,1,0.00016550698401502818,36.04918122291565,265986,89362a84-17d6-4396-b830-923177644317,True
FCN,BirdChicken,time_series,e11,0,uniform,completeness,0.9,2.478050470352173,0.5,2.478050470352173,1.0,1.0,0.5,0.5,0.3800000250339508,0.5,725,17,0.85,20,Image,2,SIMPLE_CNN,512,1,1,0.0003948491976360962,86.9843521118164,265986,53bc9a0b-a86c-4e8e-92af-0c93190bbe06,True
FCN,BirdChicken,time_series,e11,0,uniform,completeness,0.8,1.7378437519073486,0.5,1.7378437519073486,1.0,1.0,0.5,0.5,0.4624999761581421,0.5,739,16,0.8,20,Image,2,SIMPLE_CNN,512,1,1,0.0003733054115494079,83.73324489593506,265986,75f216c4-b8e8-4597-8f5c-5ae451289888,True
FCN,BirdChicken,time_series,e11,0,uniform,completeness,0.7,1.3497936725616455,0.5,1.3497936725616455,1.0,1.0,0.5,0.5,0.6624999642372131,0.5,414,14,0.7,20,Image,2,SIMPLE_CNN,512,1,1,0.00019542739499415321,43.78704333305359,265986,d5ee5cf6-7ce0-4b85-81d7-2b2a44283952,True
FCN,BirdChicken,time_series,e11,0,uniform,completeness,0.6,0.6932245492935181,0.5,0.6932245492935181,1.0,1.0,0.5,0.5,0.574999988079071,0.5,241,9,0.45,20,Image,2,SIMPLE_CNN,512,1,1,5.900753033153438e-05,13.272339105606079,265986,f641191a-8f67-4642-bcf1-e1e683c8d1ef,True
FCN,BirdChicken,time_series,e11,0,uniform,completeness,0.5,0.688421905040741,0.5,0.688421905040741,1.0,1.0,0.5,0.5,0.6649999618530273,0.5,246,5,0.25,20,Image,2,SIMPLE_CNN,512,1,1,5.691951210447411e-05,12.656233310699463,265986,148e57e4-a545-426c-bd3f-9493a9b5885a,True
FCN,BirdChicken,time_series,e11,0,uniform,completeness,0.4,0.6928933262825012,0.5,0.6928933262825012,1.0,1.0,0.5,0.5,0.5,0.5,241,6,0.3,20,Image,2,SIMPLE_CNN,512,1,1,5.768775418842611e-05,13.013222217559814,265986,b0dc02e2-9ab8-4480-a9e1-3054df8d34d6,True
FCN,BirdChicken,time_series,e11,0,uniform,completeness,0.3,0.6930173635482788,0.5,0.6930173635482788,1.0,1.0,0.5,0.5,0.5,0.5,241,7,0.35,20,Image,2,SIMPLE_CNN,512,1,1,5.597851696671005e-05,12.575660705566406,265986,17aa769c-6c1b-4b3d-a07a-eb8159ab5b12,True
FCN,BirdChicken,time_series,e11,0,uniform,completeness,0.2,0.6929821968078613,0.5,0.6929821968078613,1.0,1.0,0.5,0.5,0.550000011920929,0.5,241,7,0.35,20,Image,2,SIMPLE_CNN,512,1,1,5.810990936026754e-05,13.053403615951538,265986,8740da4a-e4e3-4b0d-a54c-43a03f9a42af,True
RESNET,BirdChicken,time_series,e11,0,uniform,completeness,1.0,16.31485939025879,0.5,16.31485939025879,1.0,1.0,0.5,0.5,0.5,0.5,306,20,1.0,20,Image,2,RESNET,512,1,1,0.00020053985623141307,40.445244789123535,506818,5454026b-be75-454c-a96a-56a72a740b8c,True
FCN,BirdChicken,time_series,e11,1,uniform,completeness,1.0,1.2550362348556519,0.6000000238418579,1.2550362348556519,1.0,1.0,0.6000000238418579,0.6000000238418579,0.7149999737739563,0.6000000238418579,352,20,1.0,20,Image,2,SIMPLE_CNN,512,1,1,0.00018649374108618418,41.71936321258545,265986,c470dd5e-8ff4-487d-ad67-6ea666dab054,True
FCN,BirdChicken,time_series,e11,1,uniform,completeness,0.9,0.8041031956672668,0.699999988079071,0.8041031956672668,1.0,1.0,0.699999988079071,0.699999988079071,0.8224999308586121,0.699999988079071,424,20,1.0,20,Image,2,SIMPLE_CNN,512,1,1,0.0001794822232915901,38.35813641548157,265986,e23202a1-e893-4d02-993f-e9551deed991,True
FCN,BirdChicken,time_series,e11,1,uniform,completeness,0.8,2.622520923614502,0.5,2.622520923614502,1.0,1.0,0.5,0.5,0.49000000953674316,0.5,534,16,0.8,20,Image,2,SIMPLE_CNN,512,1,1,0.0002813315428477385,61.52360200881958,265986,3200d707-b008-4701-93d1-02def08ac6ac,True
FCN,BirdChicken,time_series,e11,1,uniform,completeness,0.7,4.570023536682129,0.5,4.570023536682129,1.0,1.0,0.5,0.5,0.5,0.5,434,17,0.85,20,Image,2,SIMPLE_CNN,512,1,1,0.00023677426974973094,52.128570795059204,265986,7d63f591-ef8f-41bc-81e1-a0ba5a8ff953,True
FCN,BirdChicken,time_series,e11,1,uniform,completeness,0.6,4.065932273864746,0.5,4.065932273864746,1.0,1.0,0.5,0.5,0.5,0.5,594,12,0.6,20,Image,2,SIMPLE_CNN,512,1,1,0.0002592386795399818,56.89471983909607,265986,a7b229fd-278d-4720-8d7c-d5457951088c,True
FCN,BirdChicken,time_series,e11,1,uniform,completeness,0.5,0.692175567150116,0.5,0.692175567150116,1.0,1.0,0.5,0.5,0.574999988079071,0.5,242,9,0.45,20,Image,2,SIMPLE_CNN,512,1,1,6.441797485579548e-05,13.26168942451477,265986,8855fa77-dbd9-4514-aa5d-b3ac99225796,True
FCN,BirdChicken,time_series,e11,1,uniform,completeness,0.4,0.6971076130867004,0.75,0.6971076130867004,1.0,1.0,0.75,0.75,0.7375000715255737,0.75,558,11,0.55,20,Image,2,SIMPLE_CNN,512,1,1,0.00022685977602198524,50.02600169181824,265986,c7c63147-e438-475a-ae49-09fec25695b2,True
FCN,BirdChicken,time_series,e11,1,uniform,completeness,0.3,0.69495689868927,0.5,0.69495689868927,1.0,1.0,0.5,0.5,0.5,0.5,241,6,0.3,20,Image,2,SIMPLE_CNN,512,1,1,6.0483900565716655e-05,13.121277809143066,265986,1bc94541-9652-42b9-8164-843f01f10f34,True
