model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
FCN,Car,time_series,e11,0,uniform,completeness,1.0,0.40675050020217896,0.8500000238418579,0.40675050020217896,0.9833333492279053,1.0,0.859649121761322,0.8166666626930237,0.9756481051445007,0.8500000238418579,1000,60,1.0,60,Sensor,4,SIMPLE_CNN,577,1,1,0.0005788610422800486,107.05526089668274,266244,1f4032c2-62d9-429c-8e1c-58ffd0acfc61,True
FCN,Car,time_series,e11,0,uniform,completeness,0.9,0.45989036560058594,0.8500000238418579,0.45989036560058594,1.0,1.0,0.875,0.8166666626930237,0.9621296525001526,0.8500000238418579,970,52,0.8666666666666667,60,Sensor,4,SIMPLE_CNN,577,1,1,0.0005914955167896077,112.47735571861267,266244,e070ea99-a382-4967-8331-c7bb1434b420,True
FCN,Car,time_series,e11,0,uniform,completeness,0.8,0.5601968169212341,0.7833333611488342,0.5601968169212341,1.0,1.0,0.843137264251709,0.7166666388511658,0.9492592811584473,0.7833333611488342,393,48,0.8,60,Sensor,4,SIMPLE_CNN,577,1,1,0.00025997603032308793,49.086754322052,266244,ed132777-aeb1-42a9-bcbc-47f1987c2973,True
FCN,Car,time_series,e11,0,uniform,completeness,0.7,0.7222238183021545,0.75,0.7222238183021545,0.949999988079071,1.0,0.7678571343421936,0.7166666388511658,0.9215739965438843,0.75,518,41,0.6833333333333333,60,Sensor,4,SIMPLE_CNN,577,1,1,0.0002755008179122688,52.02835035324097,266244,3670f8b6-cdb3-4186-9fc1-148dd8f68580,True
FCN,Car,time_series,e11,0,uniform,completeness,0.6,0.8502264618873596,0.7833333611488342,0.8502264618873596,0.9333333373069763,1.0,0.8103448152542114,0.7833333611488342,0.9120370745658875,0.7833333611488342,1000,34,0.5666666666666667,60,Sensor,4,SIMPLE_CNN,577,1,1,0.0005037977064335308,95.67996835708618,266244,cd02c054-6fd6-43c5-a0e1-fb5a13f788af,True
FCN,Car,time_series,e11,0,uniform,completeness,0.5,0.7396096587181091,0.75,0.7396096587181091,0.949999988079071,1.0,0.7894737124443054,0.75,0.9257407784461975,0.75,1000,35,0.5833333333333334,60,Sensor,4,SIMPLE_CNN,577,1,1,0.0006252318170484848,123.3457715511322,266244,fa68d563-5ebc-425e-aee9-6d4066e7e11b,True
FCN,Car,time_series,e11,0,uniform,completeness,0.4,0.7458235025405884,0.7833333611488342,0.7458235025405884,1.0,1.0,0.8363636136054993,0.7666666507720947,0.9200000166893005,0.7833333611488342,1000,26,0.43333333333333335,60,Sensor,4,SIMPLE_CNN,577,1,1,0.0006114924192174141,127.16619801521301,266244,a6d457f2-ceb8-428f-ac6b-675f3ac35132,True
FCN,Car,time_series,e11,0,uniform,completeness,0.3,2.301654100418091,0.3166666626930237,2.301654100418091,0.6833333373069763,1.0,0.3125,0.25,0.5565740466117859,0.3166666626930237,900,13,0.21666666666666667,60,Sensor,4,SIMPLE_CNN,577,1,1,0.0004183770405603863,87.39628767967224,266244,7336aa0c-b263-489e-9e94-7e8698732931,True
FCN,Car,time_series,e11,0,uniform,completeness,0.2,2.0670905113220215,0.20000000298023224,2.0670905113220215,0.6833333373069763,1.0,0.1794871836900711,0.11666666716337204,0.4909258782863617,0.20000001788139343,794,12,0.2,60,Sensor,4,SIMPLE_CNN,577,1,1,0.00035838196182183844,73.88963294029236,266244,cf9ba96e-af05-4c72-878f-75619c8c7941,True
RESNET,Car,time_series,e11,0,uniform,completeness,1.0,0.3604722023010254,0.8833333253860474,0.3604722023010254,1.0,1.0,0.9137930870056152,0.8833333253860474,0.9816204905509949,0.8833333253860474,526,60,1.0,60,Sensor,4,RESNET,577,1,1,0.0005339705052173216,77.86206483840942,507076,9f4eaf02-87f5-4f6f-b65f-56bbe164eee5,True
RESNET,Car,time_series,e11,0,uniform,completeness,0.9,0.29932695627212524,0.8833333253860474,0.29932695627212524,1.0,1.0,0.8813559412956238,0.8666666746139526,0.9845370054244995,0.8833333253860474,366,53,0.8833333333333333,60,Sensor,4,RESNET,577,1,1,0.00046676643824168174,73.08837938308716,507076,944763af-d9d0-4fab-9e0b-87276b45ffde,True
RESNET,Car,time_series,e11,0,uniform,completeness,0.8,0.2673080563545227,0.8833333253860474,0.2673080563545227,1.0,1.0,0.8813559412956238,0.8666666746139526,0.9860185384750366,0.8833333253860474,455,49,0.8166666666666667,60,Sensor,4,RESNET,577,1,1,0.0004907852411206589,75.37824273109436,507076,09288e33-d5e9-4633-aa82-08e409314f65,True
RESNET,Car,time_series,e11,0,uniform,completeness,0.7,0.3522709012031555,0.9166666865348816,0.3522709012031555,1.0,1.0,0.9482758641242981,0.9166666865348816,0.9729628562927246,0.9166666865348816,386,45,0.75,60,Sensor,4,RESNET,577,1,1,0.00035933199867710223,59.782636642456055,507076,248fc5d8-c7bf-437d-ba51-83457c7a4ffc,True
RESNET,Car,time_series,e11,0,uniform,completeness,0.6,1.0079325437545776,0.699999988079071,1.0079325437545776,0.9833333492279053,1.0,0.694915235042572,0.6833333373069763,0.881481409072876,0.699999988079071,411,35,0.5833333333333334,60,Sensor,4,RESNET,577,1,1,0.0004557796002404024,83.22663283348083,507076,604c703f-9e69-42a6-bdb9-d21f897e82dc,True
RESNET,Car,time_series,e11,0,uniform,completeness,0.5,0.6372390389442444,0.8333333134651184,0.6372390389442444,0.949999988079071,1.0,0.8448275923728943,0.8166666626930237,0.954953670501709,0.8333333134651184,563,24,0.4,60,Sensor,4,RESNET,577,1,1,0.0005774599086446769,108.60226249694824,507076,af183427-fc9a-4390-b63f-8dcafe25f8cc,True
RESNET,Car,time_series,e11,0,uniform,completeness,0.4,4.974516868591309,0.23333333432674408,4.974516868591309,0.7833333611488342,1.0,0.23333333432674408,0.23333333432674408,0.564907431602478,0.23333333432674408,237,16,0.26666666666666666,60,Sensor,4,RESNET,577,1,1,0.0002391521327342629,46.60029077529907,507076,d08bb04d-98f3-4687-b4ab-9b94f4a0d1c1,True
RESNET,Car,time_series,e11,0,uniform,completeness,0.3,1.7140849828720093,0.3499999940395355,1.7140849828720093,0.7833333611488342,1.0,0.36538460850715637,0.3166666626930237,0.5899536609649658,0.3499999940395355,235,17,0.2833333333333333,60,Sensor,4,RESNET,577,1,1,0.00024608347876991295,47.07693433761597,507076,6b323692-68b8-482a-852d-92c3cbe31a12,True
RESNET,Car,time_series,e11,0,uniform,completeness,0.2,2.91778826713562,0.23333333432674408,2.91778826713562,0.6833333373069763,1.0,0.23333333432674408,0.23333333432674408,0.5005555748939514,0.23333333432674408,261,7,0.11666666666666667,60,Sensor,4,RESNET,577,1,1,0.00010630473694845539,20.810579299926758,507076,93c50100-115e-4311-b370-0294b6a18044,True
MLP,Car,time_series,e11,0,uniform,completeness,1.0,0.9585569500923157,0.699999988079071,0.9585569500923157,0.9333333373069763,1.0,0.7692307829856873,0.5,0.853611171245575,0.699999988079071,2000,60,1.0,60,Sensor,4,SIMPLE_MLP,577,1,1,0.0006634899557249128,137.57376313209534,792004,cc0d935a-0efa-4d8a-919c-cbd1a40bac4a,True
MLP,Car,time_series,e11,0,uniform,completeness,0.9,1.0701848268508911,0.6000000238418579,1.0701848268508911,0.8666666746139526,1.0,0.8285714387893677,0.4833333194255829,0.8141202926635742,0.6000000238418579,2000,52,0.8666666666666667,60,Sensor,4,SIMPLE_MLP,577,1,1,0.0007848562867154576,165.53161358833313,792004,b0593965-3d9d-441b-94b8-77208c8213ce,True
MLP,Car,time_series,e11,0,uniform,completeness,0.8,0.8784493207931519,0.75,0.8784493207931519,0.9166666865348816,1.0,0.8648648858070374,0.5333333611488342,0.8743054866790771,0.75,2000,51,0.85,60,Sensor,4,SIMPLE_MLP,577,1,1,0.0006892116910939811,146.2603268623352,792004,7fc46749-6aa9-4cce-bdac-0fb47f8f2c22,True
MLP,Car,time_series,e11,0,uniform,completeness,0.7,0.9286839962005615,0.6000000238418579,0.9286839962005615,0.9666666388511658,1.0,0.738095223903656,0.5166666507720947,0.8552777767181396,0.6000000238418579,2000,44,0.7333333333333333,60,Sensor,4,SIMPLE_MLP,577,1,1,0.0007764008375754607,164.91207814216614,792004,6e65557b-3b85-40f5-83ed-86d9aae1cf30,True
MLP,Car,time_series,e11,0,uniform,completeness,0.6,1.1892507076263428,0.6333333253860474,1.1892507076263428,0.8500000238418579,1.0,0.7777777910232544,0.46666666865348816,0.8094907402992249,0.6333333253860474,2000,35,0.5833333333333334,60,Sensor,4,SIMPLE_MLP,577,1,1,0.0009496125697909498,202.96597242355347,792004,ecc66d85-a76e-46f5-881a-f63f4d95e05c,True
MLP,Car,time_series,e11,0,uniform,completeness,0.5,1.3428837060928345,0.18333333730697632,1.3428837060928345,0.8999999761581421,1.0,0.0,0.0,0.6027315258979797,0.18333333730697632,241,35,0.5833333333333334,60,Sensor,4,SIMPLE_MLP,577,1,1,0.0001002037207123428,21.264636516571045,792004,28dc3b06-ae79-42bd-b254-359f2d9d6ce6,True
MLP,Car,time_series,e11,0,uniform,completeness,0.4,1.0714682340621948,0.6000000238418579,1.0714682340621948,0.8666666746139526,1.0,0.8333333134651184,0.25,0.8000463247299194,0.6000000238418579,2000,31,0.5166666666666667,60,Sensor,4,SIMPLE_MLP,577,1,1,0.0009447059541030056,202.92877006530762,792004,9a3ac7bd-1b15-487c-a2a1-a36522d8811b,True
MLP,Car,time_series,e11,0,uniform,completeness,0.3,1.3329671621322632,0.3499999940395355,1.3329671621322632,0.8500000238418579,1.0,0.0,0.0,0.6093981266021729,0.3499999940395355,360,17,0.2833333333333333,60,Sensor,4,SIMPLE_MLP,577,1,1,0.00016245899544861642,35.13139772415161,792004,77674052-273a-4c83-9c40-039326a1a2d2,True
MLP,Car,time_series,e11,0,uniform,completeness,0.2,1.456586480140686,0.2666666805744171,1.456586480140686,0.800000011920929,1.0,0.0,0.0,0.5007870197296143,0.2666666805744171,565,7,0.11666666666666667,60,Sensor,4,SIMPLE_MLP,577,1,1,0.00010683264252709413,23.154872179031372,792004,0db317b2-050c-4bc4-9b79-0bd415e771c0,True
FCN,Car,time_series,e11,1,uniform,completeness,1.0,0.30071231722831726,0.8833333253860474,0.30071231722831726,1.0,1.0,0.8983050584793091,0.8833333253860474,0.9779629707336426,0.8833333253860474,1000,60,1.0,60,Sensor,4,SIMPLE_CNN,577,1,1,0.0007697598859900993,143.7076759338379,266244,0a2ec174-9a22-47b7-add6-4d883e8b2ed8,True
FCN,Car,time_series,e11,1,uniform,completeness,0.9,0.3309905230998993,0.8833333253860474,0.3309905230998993,1.0,1.0,0.8833333253860474,0.8833333253860474,0.9795833826065063,0.8833333253860474,1000,55,0.9166666666666666,60,Sensor,4,SIMPLE_CNN,577,1,1,0.0007712721192361922,143.4992334842682,266244,2470dd74-c9cf-4af9-9c71-e2c455d50b8f,True
