model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
FCN,Chinatown,time_series,e11,0,uniform,completeness,1.0,0.10872384160757065,0.9854227304458618,0.10872384160757065,1.0,1.0,0.9854227304458618,0.9854227304458618,0.9907010197639465,0.9854227304458618,1000,20,1.0,20,Traffic,2,SIMPLE_CNN,24,1,1,0.0003596162810984235,79.3102126121521,265986,560726d8-0ed2-49ee-b066-89a0c801ca37,True
FCN,Chinatown,time_series,e11,0,uniform,completeness,0.9,2.234813928604126,0.7259474992752075,2.234813928604126,1.0,1.0,0.7259474992752075,0.7259474992752075,0.713962733745575,0.7259474992752075,241,17,0.85,20,Traffic,2,SIMPLE_CNN,24,1,1,0.00013553282101176026,29.36091113090515,265986,d2ac5aec-e1a1-4caf-ac8f-2f1b8c3ce466,True
FCN,Chinatown,time_series,e11,0,uniform,completeness,0.8,0.20596438646316528,0.9620991349220276,0.20596438646316528,1.0,1.0,0.9620991349220276,0.9620991349220276,0.9931278824806213,0.9620991349220276,283,19,0.95,20,Traffic,2,SIMPLE_CNN,24,1,1,0.00016177594933355292,35.50318789482117,265986,2b86eafb-ffe6-46c3-9b0d-6c3cf7dfd7ae,True
FCN,Chinatown,time_series,e11,0,uniform,completeness,0.7,0.6004206538200378,0.819242000579834,0.6004206538200378,1.0,1.0,0.819242000579834,0.819242000579834,0.8990641236305237,0.819242000579834,255,14,0.7,20,Traffic,2,SIMPLE_CNN,24,1,1,0.00011941167101567225,26.067492246627808,265986,b995f23d-1a02-40a2-9c93-d80a264edc64,True
FCN,Chinatown,time_series,e11,0,uniform,completeness,0.6,1.9089009761810303,0.7259474992752075,1.9089009761810303,1.0,1.0,0.7259474992752075,0.7259474992752075,0.6547867059707642,0.7259474992752075,241,11,0.55,20,Traffic,2,SIMPLE_CNN,24,1,1,9.819884423448772e-05,21.76505708694458,265986,36092e8c-196d-4924-a063-f51b8af2f5b3,True
FCN,Chinatown,time_series,e11,0,uniform,completeness,0.5,0.5933628678321838,0.8425655961036682,0.5933628678321838,1.0,1.0,0.8425655961036682,0.8425655961036682,0.9311851263046265,0.8425655961036682,564,8,0.4,20,Traffic,2,SIMPLE_CNN,24,1,1,0.00011860237683959871,26.307421445846558,265986,035639c9-fea9-4d98-a2cd-e196ae4c8349,True
FCN,Chinatown,time_series,e11,0,uniform,completeness,0.4,0.7062536478042603,0.47521865367889404,0.7062536478042603,1.0,1.0,0.47521865367889404,0.47521865367889404,0.4343683123588562,0.47521865367889404,242,5,0.25,20,Traffic,2,SIMPLE_CNN,24,1,1,5.305585983189415e-05,11.7754967212677,265986,2df50efc-2199-4a1a-ac65-6303fc4ab4f6,True
FCN,Chinatown,time_series,e11,0,uniform,completeness,0.3,0.13340307772159576,0.967930018901825,0.13340307772159576,1.0,1.0,0.967930018901825,0.967930018901825,0.9874882102012634,0.967930018901825,1000,7,0.35,20,Traffic,2,SIMPLE_CNN,24,1,1,0.000213199200865901,47.31828188896179,265986,8fda9a0b-e714-4f28-8a06-55b0ace1de6a,True
FCN,Chinatown,time_series,e11,1,uniform,completeness,1.0,0.7975810766220093,0.728863000869751,0.7975810766220093,1.0,1.0,0.728863000869751,0.728863000869751,0.9194638729095459,0.7288630604743958,273,20,1.0,20,Traffic,2,SIMPLE_CNN,24,1,1,0.0001590217003582295,35.29996681213379,265986,db4887df-572a-4341-a074-8e102214eccc,True
FCN,Chinatown,time_series,e11,1,uniform,completeness,0.9,0.5574394464492798,0.7259474992752075,0.5574394464492798,1.0,1.0,0.7259474992752075,0.7259474992752075,0.8943637609481812,0.7259474992752075,278,19,0.95,20,Traffic,2,SIMPLE_CNN,24,1,1,0.00016627552275687762,36.62455439567566,265986,553f2bd4-7051-47f7-a2b4-433cfdf063f3,True
