model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
FCN,DistalPhalanxOutlineAgeGroup,time_series,e11,0,uniform,completeness,1.0,0.5707118511199951,0.7482014298439026,0.5707118511199951,1.0,1.0,0.7629629373550415,0.7410072088241577,0.9095155596733093,0.7482014298439026,266,400,1.0,400,Image,3,SIMPLE_CNN,80,1,1,0.0003159908125827751,65.35609078407288,266115,5262dfe7-380a-424f-8ca2-9890e13d30f1,True
FCN,DistalPhalanxOutlineAgeGroup,time_series,e11,0,uniform,completeness,0.9,0.5785607099533081,0.7338129281997681,0.5785607099533081,1.0,1.0,0.7338129281997681,0.7338129281997681,0.9141090512275696,0.7338129281997681,322,362,0.905,400,Image,3,SIMPLE_CNN,80,1,1,0.00031047474766415334,63.80797600746155,266115,4f7bb196-e0ef-43e2-aab8-cc0ec6207f13,True
FCN,DistalPhalanxOutlineAgeGroup,time_series,e11,0,uniform,completeness,0.8,0.6767383217811584,0.7410072088241577,0.6767383217811584,1.0,1.0,0.7410072088241577,0.7410072088241577,0.9050775170326233,0.7410072088241577,425,315,0.7875,400,Image,3,SIMPLE_CNN,80,1,1,0.00034793444583150896,71.22792720794678,266115,c0afa85a-640a-49db-af91-cc26317cc6d3,True
FCN,DistalPhalanxOutlineAgeGroup,time_series,e11,0,uniform,completeness,0.7,0.5661470293998718,0.7553957104682922,0.5661470293998718,1.0,1.0,0.760869562625885,0.7553957104682922,0.9126209616661072,0.7553957104682922,275,273,0.6825,400,Image,3,SIMPLE_CNN,80,1,1,0.00021453507431760515,42.880404233932495,266115,337fe04b-8502-4080-917a-ff7c5f05bda8,True
FCN,DistalPhalanxOutlineAgeGroup,time_series,e11,0,uniform,completeness,0.6,0.8719442486763,0.7553957104682922,0.8719442486763,1.0,1.0,0.7591241002082825,0.7482014298439026,0.8911028504371643,0.7553957104682922,508,225,0.5625,400,Image,3,SIMPLE_CNN,80,1,1,0.00032372882823486764,68.38457751274109,266115,59e04e1e-e37d-4428-bfd7-88983a610778,True
FCN,DistalPhalanxOutlineAgeGroup,time_series,e11,0,uniform,completeness,0.5,0.7713468670845032,0.769784152507782,0.7713468670845032,1.0,1.0,0.7681159377098083,0.7625899314880371,0.8995522260665894,0.769784152507782,517,176,0.44,400,Image,3,SIMPLE_CNN,80,1,1,0.0002842699793014333,58.5166802406311,266115,c42be02a-dc14-4011-960f-39fa61d8495e,True
FCN,DistalPhalanxOutlineAgeGroup,time_series,e11,0,uniform,completeness,0.4,0.5480014681816101,0.7553957104682922,0.5480014681816101,1.0,1.0,0.7553957104682922,0.7553957104682922,0.9135267734527588,0.7553957104682922,302,164,0.41,400,Image,3,SIMPLE_CNN,80,1,1,0.00017220810920442678,35.04784297943115,266115,09bf0f28-1756-4dc4-920e-990c0fd9d5b0,True
FCN,DistalPhalanxOutlineAgeGroup,time_series,e11,0,uniform,completeness,0.3,1.558794617652893,0.7410072088241577,1.558794617652893,1.0,1.0,0.7410072088241577,0.7410072088241577,0.8583664894104004,0.7410072088241577,1000,116,0.29,400,Image,3,SIMPLE_CNN,80,1,1,0.0005138720684741453,108.9897940158844,266115,b7de6b7b-d257-4664-adf9-df198c44716e,True
FCN,DistalPhalanxOutlineAgeGroup,time_series,e11,0,uniform,completeness,0.2,0.8753177523612976,0.6043165326118469,0.8753177523612976,1.0,1.0,0.6131386756896973,0.6043165326118469,0.8426065444946289,0.6043165326118469,376,77,0.1925,400,Image,3,SIMPLE_CNN,80,1,1,0.00019144043993136716,40.84320139884949,266115,ebef7e4d-14ae-47d3-9b4d-b3ee6a8f8222,True
RESNET,DistalPhalanxOutlineAgeGroup,time_series,e11,0,uniform,completeness,1.0,0.7715002298355103,0.7050359845161438,0.7715002298355103,1.0,1.0,0.7050359845161438,0.7050359845161438,0.8850474953651428,0.7050359845161438,232,400,1.0,400,Image,3,RESNET,80,1,1,0.0002545836053358629,36.19107365608215,506947,2017d634-0bd6-47e6-8a36-7beeabc812f3,True
