model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
FCN,DistalPhalanxOutlineCorrect,time_series,e11,0,uniform,completeness,1.0,0.7572470307350159,0.6884058117866516,0.7572470307350159,1.0,1.0,0.6884058117866516,0.6884058117866516,0.7776727676391602,0.6884058117866516,260,600,1.0,600,Image,2,SIMPLE_CNN,80,1,1,0.00037686175961565833,73.68836903572083,265986,557518d1-2645-4a5c-98c6-70f262bed5d8,True
FCN,DistalPhalanxOutlineCorrect,time_series,e11,0,uniform,completeness,0.9,0.5420294404029846,0.7463768124580383,0.5420294404029846,1.0,1.0,0.7463768124580383,0.7463768124580383,0.8285679817199707,0.7463768124580383,284,550,0.9166666666666666,600,Image,2,SIMPLE_CNN,80,1,1,0.0003826427536033182,74.65294981002808,265986,16810156-b82c-4e10-af2c-6bed041f651b,True
FCN,DistalPhalanxOutlineCorrect,time_series,e11,0,uniform,completeness,0.8,0.558587908744812,0.760869562625885,0.558587908744812,1.0,1.0,0.760869562625885,0.760869562625885,0.8359653949737549,0.760869562625885,327,464,0.7733333333333333,600,Image,2,SIMPLE_CNN,80,1,1,0.0003863837762884248,75.8151478767395,265986,d5ac8cf3-24a9-45a6-a837-dcc822e2caf9,True
FCN,DistalPhalanxOutlineCorrect,time_series,e11,0,uniform,completeness,0.7,0.5186794996261597,0.7427536249160767,0.5186794996261597,1.0,1.0,0.7427536249160767,0.7427536249160767,0.8264217376708984,0.7427536249160767,297,427,0.7116666666666667,600,Image,2,SIMPLE_CNN,80,1,1,0.0002697308833077701,52.429598331451416,265986,a47b9d9f-3c2c-4d07-915e-880f6f3c6583,True
FCN,DistalPhalanxOutlineCorrect,time_series,e11,0,uniform,completeness,0.6,0.9158461689949036,0.7137681245803833,0.9158461689949036,1.0,1.0,0.7137681245803833,0.7137681245803833,0.7469347715377808,0.7137681245803833,417,349,0.5816666666666667,600,Image,2,SIMPLE_CNN,80,1,1,0.00039197123889505534,77.18817114830017,265986,4a5ff4d4-9999-4046-af73-4c941ec0016c,True
FCN,DistalPhalanxOutlineCorrect,time_series,e11,0,uniform,completeness,0.5,0.5754528045654297,0.7644927501678467,0.5754528045654297,1.0,1.0,0.7644927501678467,0.7644927501678467,0.8405534029006958,0.7644927501678467,356,299,0.49833333333333335,600,Image,2,SIMPLE_CNN,80,1,1,0.0002881419174545059,56.90803575515747,265986,bbd6aeab-356a-4e5b-b8f7-41cb2981e7a3,True
FCN,DistalPhalanxOutlineCorrect,time_series,e11,0,uniform,completeness,0.4,1.0926710367202759,0.6413043737411499,1.0926710367202759,1.0,1.0,0.6413043737411499,0.6413043737411499,0.7407845854759216,0.6413043737411499,294,218,0.36333333333333334,600,Image,2,SIMPLE_CNN,80,1,1,0.0002009969733137109,39.60456895828247,265986,9ac45ee5-90fe-4535-b205-5c56da3581e1,True
FCN,DistalPhalanxOutlineCorrect,time_series,e11,0,uniform,completeness,0.3,0.6502567529678345,0.7463768124580383,0.6502567529678345,1.0,1.0,0.7463768124580383,0.7463768124580383,0.813097357749939,0.7463768124580383,332,186,0.31,600,Image,2,SIMPLE_CNN,80,1,1,0.00020679204248668674,41.284093141555786,265986,09b89213-abea-4fe2-8b23-256107fbce65,True
FCN,DistalPhalanxOutlineCorrect,time_series,e11,0,uniform,completeness,0.2,1.233612298965454,0.6811594367027283,1.233612298965454,1.0,1.0,0.6811594367027283,0.6811594367027283,0.7146082520484924,0.6811594367027283,517,110,0.18333333333333332,600,Image,2,SIMPLE_CNN,80,1,1,0.00022648659635406468,45.616684913635254,265986,f1f162f2-7705-4fb0-bdd0-4fec93df70b5,True
RESNET,DistalPhalanxOutlineCorrect,time_series,e11,0,uniform,completeness,1.0,1.0106464624404907,0.5833333134651184,1.0106464624404907,1.0,1.0,0.5833333134651184,0.5833333134651184,0.656965434551239,0.5833333134651184,192,600,1.0,600,Image,2,RESNET,80,1,1,0.000216305935986718,36.25095725059509,506818,7aedd0e6-6a3e-439c-8d55-aa4a5ce0db38,True
