model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
FCN,Earthquakes,time_series,e11,0,uniform,completeness,1.0,0.5729532837867737,0.7482014298439026,0.5729532837867737,1.0,1.0,0.7482014298439026,0.7482014298439026,0.8020806312561035,0.7482014298439026,262,322,1.0,322,Sensor,2,SIMPLE_CNN,512,1,1,0.000512419547267305,78.95797061920166,265986,5f357a87-545a-49aa-b69d-b36f27932329,True
FCN,Earthquakes,time_series,e11,0,uniform,completeness,0.9,0.5862893462181091,0.7482014298439026,0.5862893462181091,1.0,1.0,0.7482014298439026,0.7482014298439026,0.8093783855438232,0.7482014298439026,266,288,0.8944099378881988,322,Sensor,2,SIMPLE_CNN,512,1,1,0.000411270041456019,60.373921155929565,265986,263040f6-2444-4e37-8d8a-9bfd768bf1cf,True
FCN,Earthquakes,time_series,e11,0,uniform,completeness,0.8,0.6490399837493896,0.7410072088241577,0.6490399837493896,1.0,1.0,0.7410072088241577,0.7410072088241577,0.8062729835510254,0.7410072088241577,289,254,0.7888198757763976,322,Sensor,2,SIMPLE_CNN,512,1,1,0.00039358884795862644,59.40406584739685,265986,716fedfb-1599-4f1a-93da-50e410f39ef2,True
FCN,Earthquakes,time_series,e11,0,uniform,completeness,0.7,0.5963372588157654,0.7482014298439026,0.5963372588157654,1.0,1.0,0.7482014298439026,0.7482014298439026,0.7776511907577515,0.7482014298439026,267,224,0.6956521739130435,322,Sensor,2,SIMPLE_CNN,512,1,1,0.0003488239088988944,49.9843065738678,265986,ce042d89-ea80-4e98-9c89-a97ff686ea2e,True
FCN,Earthquakes,time_series,e11,0,uniform,completeness,0.6,0.5315476655960083,0.7482014298439026,0.5315476655960083,1.0,1.0,0.7482014298439026,0.7482014298439026,0.8147611618041992,0.7482014298439026,254,191,0.593167701863354,322,Sensor,2,SIMPLE_CNN,512,1,1,0.000301804641816436,41.65148329734802,265986,3e682813-4c18-4521-bf23-22b967c842b1,True
FCN,Earthquakes,time_series,e11,0,uniform,completeness,0.5,0.5487484335899353,0.7482014298439026,0.5487484335899353,1.0,1.0,0.7482014298439026,0.7482014298439026,0.8222141265869141,0.7482014298439026,244,144,0.4472049689440994,322,Sensor,2,SIMPLE_CNN,512,1,1,0.0002175676587464125,34.172268867492676,265986,f66839a6-7227-4d87-bb84-7f5822898d37,True
FCN,Earthquakes,time_series,e11,0,uniform,completeness,0.4,0.7120594382286072,0.7482014298439026,0.7120594382286072,1.0,1.0,0.7482014298439026,0.7482014298439026,0.8111381530761719,0.7482014298439026,257,148,0.45962732919254656,322,Sensor,2,SIMPLE_CNN,512,1,1,0.0002497609217313948,36.75106334686279,265986,ab4a85d4-62de-4aaa-9d7c-2af11e2cfaa7,True
FCN,Earthquakes,time_series,e11,0,uniform,completeness,0.3,5.6015191078186035,0.7482014298439026,5.6015191078186035,1.0,1.0,0.7482014298439026,0.7482014298439026,0.7482014298439026,0.7482014298439026,319,89,0.27639751552795033,322,Sensor,2,SIMPLE_CNN,512,1,1,0.00020728737637356202,35.5911910533905,265986,af1463b4-a1d9-4622-bed8-8b1cd1af387e,True
FCN,Earthquakes,time_series,e11,0,uniform,completeness,0.2,4.733467102050781,0.7482014298439026,4.733467102050781,1.0,1.0,0.7482014298439026,0.7482014298439026,0.7482014298439026,0.7482014298439026,305,64,0.19875776397515527,322,Sensor,2,SIMPLE_CNN,512,1,1,0.00020560283309813436,38.068673849105835,265986,9fe74c31-8b1d-4ccd-9526-8acaeb4be073,True
RESNET,Earthquakes,time_series,e11,0,uniform,completeness,1.0,0.5328064560890198,0.7482014298439026,0.5328064560890198,1.0,1.0,0.7482014298439026,0.7482014298439026,0.8124837875366211,0.7482014298439026,202,322,1.0,322,Sensor,2,RESNET,512,1,1,0.0005652900989715117,85.95339608192444,506818,787e1cda-8b85-4cfa-b3b0-abd6be8c2956,True
RESNET,Earthquakes,time_series,e11,0,uniform,completeness,0.9,0.6210300922393799,0.7482014298439026,0.6210300922393799,1.0,1.0,0.7482014298439026,0.7482014298439026,0.787122905254364,0.7482014298439026,213,295,0.9161490683229814,322,Sensor,2,RESNET,512,1,1,0.0005571780728631919,85.41520571708679,506818,e9a2b96c-147a-451a-bf15-d5f65aebf54f,True
RESNET,Earthquakes,time_series,e11,0,uniform,completeness,0.8,0.6110059022903442,0.7266187071800232,0.6110059022903442,1.0,1.0,0.7266187071800232,0.7266187071800232,0.7814295291900635,0.7266187071800232,220,241,0.7484472049689441,322,Sensor,2,RESNET,512,1,1,0.0005053090057852357,72.46564745903015,506818,7528be74-8097-4a8c-8c4d-6cc8cdb5f5ad,True
RESNET,Earthquakes,time_series,e11,0,uniform,completeness,0.7,0.5568049550056458,0.7482014298439026,0.5568049550056458,1.0,1.0,0.7482014298439026,0.7482014298439026,0.800165593624115,0.7482014298439026,199,230,0.7142857142857143,322,Sensor,2,RESNET,512,1,1,0.0004122309691173922,64.85161852836609,506818,ae26350f-ef11-4747-9086-c891c09b1878,True
RESNET,Earthquakes,time_series,e11,0,uniform,completeness,0.6,0.9649938941001892,0.7410072088241577,0.9649938941001892,1.0,1.0,0.7410072088241577,0.7410072088241577,0.7831892967224121,0.7410072088241577,207,194,0.6024844720496895,322,Sensor,2,RESNET,512,1,1,0.0003817855402240305,64.29718971252441,506818,d331c48e-4223-4ae9-879e-c91e2438ff98,True
RESNET,Earthquakes,time_series,e11,0,uniform,completeness,0.5,0.5418093204498291,0.7482014298439026,0.5418093204498291,1.0,1.0,0.7482014298439026,0.7482014298439026,0.7999586462974548,0.7482014298439026,199,147,0.45652173913043476,322,Sensor,2,RESNET,512,1,1,0.0003357789256582749,53.02582001686096,506818,5a997677-b511-42d1-9288-bd97b89acef2,True
RESNET,Earthquakes,time_series,e11,0,uniform,completeness,0.4,0.6113213300704956,0.7482014298439026,0.6113213300704956,1.0,1.0,0.7482014298439026,0.7482014298439026,0.8057553768157959,0.7482014298439026,192,117,0.36335403726708076,322,Sensor,2,RESNET,512,1,1,0.0002908189780821574,46.778321981430054,506818,b8f709cc-1f74-408d-896a-f791c044bfa0,True
RESNET,Earthquakes,time_series,e11,0,uniform,completeness,0.3,0.5568755269050598,0.7482014298439026,0.5568755269050598,1.0,1.0,0.7482014298439026,0.7482014298439026,0.8087572455406189,0.7482014298439026,204,99,0.30745341614906835,322,Sensor,2,RESNET,512,1,1,0.0003136756644388217,47.73260736465454,506818,71fac68a-00f7-4c9b-9f62-acd132bc119f,True
RESNET,Earthquakes,time_series,e11,0,uniform,completeness,0.2,0.5849024057388306,0.7482014298439026,0.5849024057388306,1.0,1.0,0.7482014298439026,0.7482014298439026,0.8153822422027588,0.7482014298439026,197,81,0.2515527950310559,322,Sensor,2,RESNET,512,1,1,0.00019945333052226084,34.873658657073975,506818,77a3f7d6-9740-4046-86ce-2870e0dbc8f4,True
MLP,Earthquakes,time_series,e11,0,uniform,completeness,1.0,0.6181154847145081,0.7482014298439026,0.6181154847145081,1.0,1.0,0.7482014298439026,0.7482014298439026,0.7317426800727844,0.7482014298439026,404,322,1.0,322,Sensor,2,SIMPLE_MLP,512,1,1,0.00024514278122484713,52.17143392562866,758502,97c6894b-0470-4dea-a329-75501275a938,True
MLP,Earthquakes,time_series,e11,0,uniform,completeness,0.9,0.6190314292907715,0.7482014298439026,0.6190314292907715,1.0,1.0,0.7482014298439026,0.7482014298439026,0.7261010408401489,0.7482014298439026,505,288,0.8944099378881988,322,Sensor,2,SIMPLE_MLP,512,1,1,0.0002852220499650905,59.57414770126343,758502,125502cb-c473-4b14-8475-07eac0adccd7,True
