model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
FCN,ElectricDevices,time_series,e11,0,uniform,completeness,1.0,1.2345396280288696,0.6888859868049622,1.2345396280288696,0.923226535320282,0.9888470768928528,0.7098251581192017,0.6633380651473999,0.9132518172264099,0.6888859868049622,250,8926,1.0,8926,Device,7,SIMPLE_CNN,96,1,1,0.0050055699341657505,923.9181795120239,266631,4c098a5e-a3f7-4180-bf66-70ed88efbb15,True
FCN,ElectricDevices,time_series,e11,0,uniform,completeness,0.9,1.2533869743347168,0.7150823473930359,1.2533869743347168,0.9162235856056213,0.9870315194129944,0.7389664649963379,0.6861626505851746,0.9253963828086853,0.7150823473930359,256,8065,0.9035402195832399,8926,Device,7,SIMPLE_CNN,96,1,1,0.004642495429417644,842.5328924655914,266631,d1b328e8-0b79-46f0-a4a5-009d7fdf1d23,True
FCN,ElectricDevices,time_series,e11,0,uniform,completeness,0.8,1.4482308626174927,0.6632084250450134,1.4482308626174927,0.9179095029830933,0.9901439547538757,0.6771804690361023,0.6403838396072388,0.9002266526222229,0.6632084250450134,252,7191,0.8056240197176787,8926,Device,7,SIMPLE_CNN,96,1,1,0.0041438904080342755,753.8447580337524,266631,0ff8408f-5c45-4c51-955c-5eea49d6299d,True
FCN,ElectricDevices,time_series,e11,0,uniform,completeness,0.7,1.5208710432052612,0.6667098999023438,1.5208710432052612,0.8874335289001465,0.9544805884361267,0.6929466128349304,0.6383088827133179,0.9100207686424255,0.6667098999023438,255,6273,0.7027784001792516,8926,Device,7,SIMPLE_CNN,96,1,1,0.0036285703643420095,662.0072033405304,266631,a02d10ca-5c92-4283-a9a7-710918cd3bc0,True
FCN,ElectricDevices,time_series,e11,0,uniform,completeness,0.6,1.5262115001678467,0.6742315888404846,1.5262115001678467,0.888081967830658,0.9468291997909546,0.7036824822425842,0.6368823647499084,0.9073351621627808,0.6742315888404846,258,5382,0.6029576518037195,8926,Device,7,SIMPLE_CNN,96,1,1,0.0031374119622852776,570.9176542758942,266631,8c7ac17d-5cba-40d1-9a8a-391e8a8edb8a,True
FCN,ElectricDevices,time_series,e11,0,uniform,completeness,0.5,1.4202412366867065,0.6774737238883972,1.4202412366867065,0.891453742980957,0.954610288143158,0.7240912914276123,0.6252107620239258,0.9142974615097046,0.6774737238883972,260,4468,0.500560161326462,8926,Device,7,SIMPLE_CNN,96,1,1,0.0026623962349005556,485.51499032974243,266631,2ebf1e5c-0c15-4ea6-808b-05a814c7b43d,True
FCN,ElectricDevices,time_series,e11,0,uniform,completeness,0.4,1.7117807865142822,0.7009466886520386,1.7117807865142822,0.9063675403594971,0.9753598570823669,0.7152777910232544,0.68123459815979,0.9121589064598083,0.7009466886520386,304,3527,0.39513779968630963,8926,Device,7,SIMPLE_CNN,96,1,1,0.002483670450483548,452.95136308670044,266631,5505b611-25ac-4627-adb1-b78f2f5e40b6,True
FCN,ElectricDevices,time_series,e11,0,uniform,completeness,0.3,1.5841542482376099,0.6508883237838745,1.5841542482376099,0.8788743615150452,0.9477369785308838,0.6858444809913635,0.6245623230934143,0.9007335901260376,0.6508883237838745,278,2663,0.2983419224736724,8926,Device,7,SIMPLE_CNN,96,1,1,0.001719997523975488,316.21761298179626,266631,4c43d7f1-9dfa-44eb-b64e-0438c4ea3ff1,True
FCN,ElectricDevices,time_series,e11,0,uniform,completeness,0.2,1.9658353328704834,0.5965504050254822,1.9658353328704834,0.8910647034645081,0.9443652033805847,0.6224651336669922,0.5612760782241821,0.8742531538009644,0.5965504050254822,254,1790,0.20053775487340353,8926,Device,7,SIMPLE_CNN,96,1,1,0.001069795338344868,197.54645013809204,266631,673fe4bb-1162-4aee-bd0a-4315aa83fa07,True
RESNET,ElectricDevices,time_series,e11,0,uniform,completeness,1.0,1.7765777111053467,0.5965504050254822,1.7765777111053467,0.9006614089012146,0.985605001449585,0.6203246116638184,0.5699650049209595,0.8803613185882568,0.5965504050254822,185,8926,1.0,8926,Device,7,RESNET,96,1,1,0.003183895500214823,470.5038650035858,507463,3d4544ef-f9f1-494f-9317-0655b5a14a8c,True
RESNET,ElectricDevices,time_series,e11,0,uniform,completeness,0.9,1.3519020080566406,0.6813642978668213,1.3519020080566406,0.9162235856056213,0.9909220337867737,0.705372154712677,0.6538711190223694,0.9099829196929932,0.6813642978668213,185,8055,0.9024198969303159,8926,Device,7,RESNET,96,1,1,0.002899434456383451,424.5896303653717,507463,adbba093-abf0-41dc-82a4-563021f92cef,True
RESNET,ElectricDevices,time_series,e11,0,uniform,completeness,0.8,1.5601094961166382,0.692257821559906,1.5601094961166382,0.8844507932662964,0.968227207660675,0.7176894545555115,0.671897292137146,0.9036651849746704,0.692257821559906,205,7187,0.8051758906565091,8926,Device,7,RESNET,96,1,1,0.002898330681065413,421.2138617038727,507463,b30ab1bf-fc78-42ee-8508-2d5d22e67600,True
RESNET,ElectricDevices,time_series,e11,0,uniform,completeness,0.7,2.07204270362854,0.544287383556366,2.07204270362854,0.8298534750938416,0.9562962055206299,0.5829354524612427,0.49085721373558044,0.8292919993400574,0.544287383556366,184,6240,0.6990813354246023,8926,Device,7,RESNET,96,1,1,0.002234192357142337,327.8723814487457,507463,e36dd352-2588-4a92-9f66-b2d937cf19ef,True
RESNET,ElectricDevices,time_series,e11,0,uniform,completeness,0.6,1.448280692100525,0.6492024660110474,1.448280692100525,0.9125924110412598,0.9692646861076355,0.697174608707428,0.6016080975532532,0.9014747738838196,0.6492024660110474,186,5355,0.5999327806408246,8926,Device,7,RESNET,96,1,1,0.002001711282463021,288.26399183273315,507463,314d28a3-1a29-4541-af14-c3533522b0a9,True
RESNET,ElectricDevices,time_series,e11,0,uniform,completeness,0.5,1.2792961597442627,0.6502399444580078,1.2792961597442627,0.9293217658996582,0.993645429611206,0.6796256303787231,0.6121125817298889,0.9079871773719788,0.6502399444580078,188,4492,0.5032489356934797,8926,Device,7,RESNET,96,1,1,0.0017034334120645382,247.08137917518616,507463,c255ae30-9b39-40ad-9396-858c869d50db,True
RESNET,ElectricDevices,time_series,e11,0,uniform,completeness,0.4,2.1048812866210938,0.5667228698730469,2.1048812866210938,0.8568279147148132,0.9709506034851074,0.5915454030036926,0.5534949898719788,0.8558955788612366,0.5667228698730469,197,3530,0.3954738964821869,8926,Device,7,RESNET,96,1,1,0.0013758504871913117,204.6367027759552,507463,5c1afcd8-9eb3-4339-a43f-2dcc46226119,True
RESNET,ElectricDevices,time_series,e11,0,uniform,completeness,0.3,1.9018375873565674,0.5247049927711487,1.9018375873565674,0.8945661783218384,0.9857346415519714,0.5416727066040039,0.4863182604312897,0.8437718152999878,0.5247049927711487,189,2672,0.29935021286130403,8926,Device,7,RESNET,96,1,1,0.0010488220015441104,154.995525598526,507463,df07f25f-0bd3-4966-b542-f40012833bdd,True
