model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
FCN,EthanolLevel,time_series,e11,0,uniform,completeness,1.0,2.1829140186309814,0.2800000011920929,2.1829140186309814,0.9160000085830688,1.0,0.30365297198295593,0.26600000262260437,0.6758440136909485,0.2800000011920929,1000,504,1.0,504,Spectro,4,SIMPLE_CNN,1751,1,1,0.006164523893615164,904.183084487915,266244,972406b7-8a85-43b9-ae98-a29f9c5d1659,True
FCN,EthanolLevel,time_series,e11,0,uniform,completeness,0.9,1.3316950798034668,0.3659999966621399,1.3316950798034668,0.9779999852180481,1.0,0.37665197253227234,0.34200000762939453,0.7681694030761719,0.3659999966621399,1000,450,0.8928571428571429,504,Spectro,4,SIMPLE_CNN,1751,1,1,0.005795205358638971,863.4491622447968,266244,a6b3aa24-13d4-48f2-a610-668d410905e9,True
FCN,EthanolLevel,time_series,e11,0,uniform,completeness,0.8,3.9349632263183594,0.257999986410141,3.9349632263183594,0.7620000243186951,1.0,0.2751091718673706,0.25200000405311584,0.5548552870750427,0.257999986410141,1000,419,0.8313492063492064,504,Spectro,4,SIMPLE_CNN,1751,1,1,0.00524235634382282,755.8837282657623,266244,036c1b5a-a2c6-474b-b6f9-93a5116188f3,True
FCN,EthanolLevel,time_series,e11,0,uniform,completeness,0.7,0.7177464365959167,0.6959999799728394,0.7177464365959167,0.9980000257492065,1.0,0.8081395626068115,0.5559999942779541,0.9139173030853271,0.6959999799728394,1000,360,0.7142857142857143,504,Spectro,4,SIMPLE_CNN,1751,1,1,0.004605579929564141,683.5193464756012,266244,4ece8f11-cf8f-4a00-ac0d-45ae182d1222,True
FCN,EthanolLevel,time_series,e11,0,uniform,completeness,0.6,13.254158020019531,0.24799999594688416,13.254158020019531,0.7480000257492065,1.0,0.24799999594688416,0.24799999594688416,0.49724000692367554,0.24799999594688416,1000,320,0.6349206349206349,504,Spectro,4,SIMPLE_CNN,1751,1,1,0.003934760661840352,567.841222524643,266244,2a5c782a-fe56-49c0-8213-c68befeac036,True
FCN,EthanolLevel,time_series,e11,0,uniform,completeness,0.5,3.5668623447418213,0.25200000405311584,3.5668623447418213,0.7680000066757202,1.0,0.26595744490623474,0.25,0.5823400020599365,0.25200000405311584,1000,254,0.503968253968254,504,Spectro,4,SIMPLE_CNN,1751,1,1,0.0033768764101063777,503.51569747924805,266244,68ebef4f-29c5-43a5-8cc9-1a0d7b78ef4d,True
FCN,EthanolLevel,time_series,e11,0,uniform,completeness,0.4,5.385891437530518,0.25200000405311584,5.385891437530518,0.7519999742507935,1.0,0.25250500440597534,0.25200000405311584,0.5105246305465698,0.25200000405311584,1000,202,0.4007936507936508,504,Spectro,4,SIMPLE_CNN,1751,1,1,0.0025598704467191605,384.9300000667572,266244,f97341e2-6ebe-4fc3-916e-be1ac88cc7c6,True
FCN,EthanolLevel,time_series,e11,0,uniform,completeness,0.3,3.72031307220459,0.24799999594688416,3.72031307220459,0.7480000257492065,1.0,0.2505050599575043,0.24799999594688416,0.5675047039985657,0.24799999594688416,1000,139,0.2757936507936508,504,Spectro,4,SIMPLE_CNN,1751,1,1,0.001927095304647154,287.706423997879,266244,f090174b-fcd8-47ec-b963-185444bf6317,True
FCN,EthanolLevel,time_series,e11,0,uniform,completeness,0.2,2.7234513759613037,0.24799999594688416,2.7234513759613037,0.7519999742507935,1.0,0.26724138855934143,0.24799999594688416,0.5646173357963562,0.24799999594688416,1000,100,0.1984126984126984,504,Spectro,4,SIMPLE_CNN,1751,1,1,0.0014654354940824765,205.84766674041748,266244,4ea27e47-71ec-4c66-b937-276499bc6acb,True
RESNET,EthanolLevel,time_series,e11,0,uniform,completeness,1.0,1.0902341604232788,0.492000013589859,1.0902341604232788,0.9900000095367432,1.0,0.4936440587043762,0.4659999907016754,0.8400467038154602,0.492000013589859,1000,504,1.0,504,Spectro,4,RESNET,1751,1,1,0.011857384115514546,1725.0372428894043,507076,4b4023bd-a4aa-45fe-936a-2b3b697f7614,True
RESNET,EthanolLevel,time_series,e11,0,uniform,completeness,0.9,0.5594000816345215,0.777999997138977,0.5594000816345215,1.0,1.0,0.7896907329559326,0.765999972820282,0.9517265558242798,0.777999997138977,972,459,0.9107142857142857,504,Spectro,4,RESNET,1751,1,1,0.01068660735523156,1541.095338344574,507076,1fa66929-c4e7-4861-81d4-3bc2de49961c,True
RESNET,EthanolLevel,time_series,e11,0,uniform,completeness,0.8,0.662013590335846,0.722000002861023,0.662013590335846,1.0,1.0,0.739130437374115,0.7139999866485596,0.9322986602783203,0.722000002861023,973,406,0.8055555555555556,504,Spectro,4,RESNET,1751,1,1,0.009487663826581448,1377.6198620796204,507076,0bdb6264-66cb-4d11-86d1-828e18228e0f,True
RESNET,EthanolLevel,time_series,e11,0,uniform,completeness,0.7,0.4852018654346466,0.7940000295639038,0.4852018654346466,1.0,1.0,0.8054968118667603,0.7620000243186951,0.95552659034729,0.7940000295639038,1000,363,0.7202380952380952,504,Spectro,4,RESNET,1751,1,1,0.008722600649167132,1272.4682195186615,507076,d13227d0-d85b-40ed-8fe3-3a38a230b45a,True
RESNET,EthanolLevel,time_series,e11,0,uniform,completeness,0.6,1.0294935703277588,0.7379999756813049,1.0294935703277588,0.9879999756813049,1.0,0.7448132634162903,0.7179999947547913,0.9026473760604858,0.7379999160766602,970,279,0.5535714285714286,504,Spectro,4,RESNET,1751,1,1,0.006600496831626731,973.9487183094025,507076,36911fe7-257b-49c4-ac08-a8a216495607,True
RESNET,EthanolLevel,time_series,e11,0,uniform,completeness,0.5,1.0338361263275146,0.6980000138282776,1.0338361263275146,0.9800000190734863,1.0,0.7122153043746948,0.6880000233650208,0.8942400217056274,0.6980000138282776,789,241,0.4781746031746032,504,Spectro,4,RESNET,1751,1,1,0.004611423526069024,683.3372943401337,507076,ae8f6229-dd8d-4003-8c79-7a33b72fe317,True
FCN,EthanolLevel,time_series,e11,1,uniform,completeness,1.0,1.5044561624526978,0.3240000009536743,1.5044561624526978,0.9599999785423279,1.0,0.3866666555404663,0.28999999165534973,0.7093018889427185,0.3240000009536743,1000,504,1.0,504,Spectro,4,SIMPLE_CNN,1751,1,1,0.006361052928593738,924.1428744792938,266244,d9398848-5fee-4e65-9125-dc91f660d168,True
