model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
FCN,FaceFour,time_series,e11,0,uniform,completeness,1.0,0.9011611938476562,0.6590909361839294,0.9011611938476562,0.9772727489471436,1.0,0.6705882549285889,0.6477272510528564,0.8946280479431152,0.6590909361839294,540,24,1.0,24,Image,4,SIMPLE_CNN,350,1,1,0.00028766321962782804,63.97066855430603,266244,d5b8479e-6df9-465f-a756-6b12eb50d64e,True
FCN,FaceFour,time_series,e11,0,uniform,completeness,0.9,0.7223638296127319,0.75,0.7223638296127319,0.9886363744735718,1.0,0.7411764860153198,0.7159090638160706,0.9234891533851624,0.75,488,20,0.8333333333333334,24,Image,4,SIMPLE_CNN,350,1,1,0.00019231563848638565,42.867478370666504,266244,870f3da9-06d6-413f-84a7-6de987e09ef4,True
FCN,FaceFour,time_series,e11,0,uniform,completeness,0.8,0.736531674861908,0.7159090638160706,0.736531674861908,0.9318181872367859,1.0,0.7272727489471436,0.6363636255264282,0.9125558733940125,0.7159090638160706,530,20,0.8333333333333334,24,Image,4,SIMPLE_CNN,350,1,1,0.00021587609727023916,46.27537155151367,266244,5250d66c-3725-42d1-87f6-c326f1e103f2,True
FCN,FaceFour,time_series,e11,0,uniform,completeness,0.7,1.843754529953003,0.17045454680919647,1.843754529953003,0.6363636255264282,1.0,0.20338982343673706,0.13636364042758942,0.36017125844955444,0.17045454680919647,480,16,0.6666666666666666,24,Image,4,SIMPLE_CNN,350,1,1,0.00024626643287271134,54.78862404823303,266244,b297260f-fff3-49c9-9c54-baf9ee8fe8c3,True
FCN,FaceFour,time_series,e11,0,uniform,completeness,0.6,3.4334464073181152,0.4204545319080353,3.4334464073181152,0.7045454382896423,1.0,0.4285714328289032,0.40909090638160706,0.5402892231941223,0.4204545319080353,399,15,0.625,24,Image,4,SIMPLE_CNN,350,1,1,0.0001953223642254323,43.62237334251404,266244,1c528274-9319-4144-b2f6-732871297a6d,True
FCN,FaceFour,time_series,e11,0,uniform,completeness,0.5,1.3849550485610962,0.40909090638160706,1.3849550485610962,0.7045454382896423,1.0,0.0,0.0,0.5999053120613098,0.40909090638160706,309,9,0.375,24,Image,4,SIMPLE_CNN,350,1,1,6.918615905405908e-05,15.479164123535156,266244,e867c837-5a21-4dd5-ad0f-2bf009f88c42,True
FCN,FaceFour,time_series,e11,0,uniform,completeness,0.4,2.067216634750366,0.375,2.067216634750366,0.7045454382896423,1.0,0.0833333358168602,0.011363636702299118,0.5282369256019592,0.375,359,11,0.4583333333333333,24,Image,4,SIMPLE_CNN,350,1,1,0.00014892240331808141,33.281373023986816,266244,b1da9e70-322c-4f14-a932-b3cfb85e046d,True
FCN,FaceFour,time_series,e11,0,uniform,completeness,0.3,1.9018877744674683,0.1818181872367859,1.9018877744674683,0.7045454382896423,1.0,0.19718310236930847,0.15909090638160706,0.45882830023765564,0.1818181872367859,440,5,0.20833333333333334,24,Image,4,SIMPLE_CNN,350,1,1,9.412727961396843e-05,20.962409496307373,266244,32f1ee02-3af2-42ed-bf68-5cd3f01eb90b,True
FCN,FaceFour,time_series,e11,0,uniform,completeness,0.2,1.4018274545669556,0.15909090638160706,1.4018274545669556,0.7045454382896423,1.0,0.0,0.0,0.45187675952911377,0.15909090638160706,301,10,0.4166666666666667,24,Image,4,SIMPLE_CNN,350,1,1,0.00011784090896045912,26.28011393547058,266244,f33a7797-0889-42ca-b3a4-7362555fe32e,True
RESNET,FaceFour,time_series,e11,0,uniform,completeness,1.0,0.2856563329696655,0.9090909361839294,0.2856563329696655,0.9886363744735718,1.0,0.9176470637321472,0.8863636255264282,0.9859461188316345,0.9090909361839294,298,24,1.0,24,Image,4,RESNET,350,1,1,0.0002891949233489481,61.76331448554993,507076,fc22cba1-a8b2-4d27-afe6-b7c8ccef0594,True
