model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
FCN,FacesUCR,time_series,e11,0,uniform,completeness,1.0,0.26649877429008484,0.9336585402488708,0.26649877429008484,0.9741463661193848,0.9868292808532715,0.9543172717094421,0.9273170828819275,0.9924898147583008,0.9336585402488708,625,200,1.0,200,Image,14,SIMPLE_CNN,131,1,1,0.00044905894497994153,88.58263158798218,267534,6ea321ec-088c-481b-b7a2-59ab40e7f624,True
FCN,FacesUCR,time_series,e11,0,uniform,completeness,0.9,0.2681637108325958,0.9321951270103455,0.2681637108325958,0.9702439308166504,0.9809756278991699,0.9501761198043823,0.9209756255149841,0.9924164414405823,0.9321951270103455,631,178,0.89,200,Image,14,SIMPLE_CNN,131,1,1,0.00035602877379641327,68.94463443756104,267534,a34f949e-2353-4352-a2c3-6f5d51476996,True
FCN,FacesUCR,time_series,e11,0,uniform,completeness,0.8,0.3722389042377472,0.9204878211021423,0.3722389042377472,0.9595121741294861,0.9770731925964355,0.9429892301559448,0.8956097364425659,0.9865625500679016,0.9204878211021423,596,158,0.79,200,Image,14,SIMPLE_CNN,131,1,1,0.00037191281455373345,71.99134016036987,267534,55305354-c886-4535-9e3c-b576a7260c4d,True
FCN,FacesUCR,time_series,e11,0,uniform,completeness,0.7,0.458980917930603,0.8609756231307983,0.458980917930603,0.9614633917808533,0.9795122146606445,0.8994114398956299,0.8199999928474426,0.9877052307128906,0.8609756231307983,462,136,0.68,200,Image,14,SIMPLE_CNN,131,1,1,0.00028383591066335275,56.20609211921692,267534,dbe1ceb3-32c8-4958-8e9a-dc02cf9b8111,True
FCN,FacesUCR,time_series,e11,0,uniform,completeness,0.6,0.5942257642745972,0.8585366010665894,0.5942257642745972,0.9219512343406677,0.9487804770469666,0.9250832200050354,0.8131707310676575,0.9760171175003052,0.8585366010665894,693,122,0.61,200,Image,14,SIMPLE_CNN,131,1,1,0.00041766872187122284,82.83521318435669,267534,c6d2920f-cfdc-49f7-a744-7ca8139187f4,True
FCN,FacesUCR,time_series,e11,0,uniform,completeness,0.5,0.698792040348053,0.8321951031684875,0.698792040348053,0.9297561049461365,0.9609755873680115,0.864203929901123,0.8102439045906067,0.967224657535553,0.8321951031684875,753,106,0.53,200,Image,14,SIMPLE_CNN,131,1,1,0.00044811083838435883,87.76543259620667,267534,bb72259d-4f64-47c2-a7ef-69edff059d0c,True
FCN,FacesUCR,time_series,e11,0,uniform,completeness,0.4,0.6545088887214661,0.8331707119941711,0.6545088887214661,0.9287804961204529,0.968780517578125,0.8746708631515503,0.8102439045906067,0.9728615880012512,0.8331707119941711,1000,81,0.405,200,Image,14,SIMPLE_CNN,131,1,1,0.00048579146742469174,96.81151080131531,267534,d88ccf31-35e8-482d-96f3-b3251fe219e9,True
FCN,FacesUCR,time_series,e11,0,uniform,completeness,0.3,0.6827152371406555,0.8082926869392395,0.6827152371406555,0.9136585593223572,0.9619511961936951,0.8998829126358032,0.7497560977935791,0.9734307527542114,0.8082926869392395,576,64,0.32,200,Image,14,SIMPLE_CNN,131,1,1,0.0003256106334202435,65.482994556427,267534,5f33dcfe-911e-473c-8c5b-1b96b6cc587c,True
FCN,FacesUCR,time_series,e11,0,uniform,completeness,0.2,0.9290117621421814,0.712195098400116,0.9290117621421814,0.9214634299278259,0.9595121741294861,0.7955527901649475,0.6282926797866821,0.9606761336326599,0.712195098400116,469,39,0.195,200,Image,14,SIMPLE_CNN,131,1,1,0.0002994704591966657,60.54143023490906,267534,14afb103-eb6a-41d6-8800-1b5c9d73280e,True
RESNET,FacesUCR,time_series,e11,0,uniform,completeness,1.0,0.23258881270885468,0.9375609755516052,0.23258881270885468,0.9785366058349609,0.9873170852661133,0.9575328826904297,0.9239024519920349,0.995457649230957,0.9375609755516052,381,200,1.0,200,Image,14,RESNET,131,1,1,0.00039212460473300796,56.09557485580444,508366,5c4bb5e1-19c8-4042-adbf-dd7d4fdc14a9,True
RESNET,FacesUCR,time_series,e11,0,uniform,completeness,0.9,0.2493765652179718,0.9297561049461365,0.2493765652179718,0.971219539642334,0.9853658676147461,0.9606339335441589,0.916585385799408,0.9951825141906738,0.9297561049461365,325,181,0.905,200,Image,14,RESNET,131,1,1,0.0003447359342896583,52.10682821273804,508366,49827447-9fd5-4a23-932e-bb0aa64d6eaf,True
RESNET,FacesUCR,time_series,e11,0,uniform,completeness,0.8,0.7824084162712097,0.826341450214386,0.7824084162712097,0.9370731711387634,0.9614633917808533,0.8523315787315369,0.8024390339851379,0.965092122554779,0.826341450214386,404,152,0.76,200,Image,14,RESNET,131,1,1,0.0004336922063860916,81.02954339981079,508366,91427610-9ba2-4c6b-98dd-71bf70fdf2ab,True
RESNET,FacesUCR,time_series,e11,0,uniform,completeness,0.7,0.4833783209323883,0.9058536291122437,0.4833783209323883,0.947804868221283,0.9546341300010681,0.9377233386039734,0.8960975408554077,0.9756240844726562,0.9058536887168884,531,129,0.645,200,Image,14,RESNET,131,1,1,0.0005552813497540747,104.67849826812744,508366,a2855c37-c608-4c21-872c-f276513d597b,True
RESNET,FacesUCR,time_series,e11,0,uniform,completeness,0.6,0.3037826418876648,0.9204878211021423,0.3037826418876648,0.9741463661193848,0.9853658676147461,0.9448979496955872,0.9034146070480347,0.9912865161895752,0.9204878211021423,625,122,0.61,200,Image,14,RESNET,131,1,1,0.0006345307180271952,121.29551982879639,508366,6e29ebc5-f2a8-4390-b195-5b62cb39b049,True
