model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
FCN,Fish,time_series,e11,0,uniform,completeness,1.0,0.447752982378006,0.9485714435577393,0.447752982378006,1.0,1.0,0.9485714435577393,0.9485714435577393,0.9889795184135437,0.9485714435577393,1000,175,1.0,175,Image,7,SIMPLE_CNN,463,1,1,0.0009268577802952505,143.65376782417297,266631,c6191308-4de7-482e-a66f-2e71da426238,True
FCN,Fish,time_series,e11,0,uniform,completeness,0.9,0.35788220167160034,0.9485714435577393,0.35788220167160034,0.9942857027053833,1.0,0.9482758641242981,0.9428571462631226,0.9940707683563232,0.9485714435577393,1000,157,0.8971428571428571,175,Image,7,SIMPLE_CNN,463,1,1,0.000964775254284705,143.657776594162,266631,2240a998-b465-444c-9ba3-018da1f89d5f,True
FCN,Fish,time_series,e11,0,uniform,completeness,0.8,0.3273758292198181,0.9428571462631226,0.3273758292198181,1.0,1.0,0.9534883499145508,0.9371428489685059,0.9879862666130066,0.9428571462631226,1000,139,0.7942857142857143,175,Image,7,SIMPLE_CNN,463,1,1,0.0009421173937023119,144.03405499458313,266631,558577fa-d8db-4bc8-9551-eafca84a4ccd,True
FCN,Fish,time_series,e11,0,uniform,completeness,0.7,0.5843268632888794,0.845714271068573,0.5843268632888794,0.9885714054107666,1.0,0.857988178730011,0.8285714387893677,0.9804898500442505,0.845714271068573,1000,115,0.6571428571428571,175,Image,7,SIMPLE_CNN,463,1,1,0.0008380825871062864,126.33157753944397,266631,aee9ce87-c649-455d-a3d7-491099c50b05,True
FCN,Fish,time_series,e11,0,uniform,completeness,0.6,0.40733081102371216,0.9142857193946838,0.40733081102371216,0.9942857027053833,1.0,0.9235293865203857,0.8971428275108337,0.9911073446273804,0.9142857193946838,1000,103,0.5885714285714285,175,Image,7,SIMPLE_CNN,463,1,1,0.0008060898682316213,143.67368078231812,266631,e0978948-e09d-45af-aa36-d477b6702e6c,True
FCN,Fish,time_series,e11,0,uniform,completeness,0.5,0.5834337472915649,0.8914285898208618,0.5834337472915649,0.9942857027053833,1.0,0.8914285898208618,0.8914285898208618,0.9731319546699524,0.8914285898208618,1000,90,0.5142857142857142,175,Image,7,SIMPLE_CNN,463,1,1,0.0006049810502009695,99.35397291183472,266631,3003b351-d882-40f1-aadb-6f657b2ed06b,True
FCN,Fish,time_series,e11,1,uniform,completeness,1.0,0.3637675344944,0.9428571462631226,0.3637675344944,0.9942857027053833,1.0,0.9425287246704102,0.9371428489685059,0.9914775490760803,0.9428571462631226,1000,175,1.0,175,Image,7,SIMPLE_CNN,463,1,1,0.0009609093587333155,144.13162088394165,266631,cfb40349-a8e6-4869-bdc6-93ccbd0bf8a0,True
FCN,Fish,time_series,e11,1,uniform,completeness,0.9,0.3608195185661316,0.9599999785423279,0.3608195185661316,1.0,1.0,0.9599999785423279,0.9599999785423279,0.9947673678398132,0.9599999785423279,1000,157,0.8971428571428571,175,Image,7,SIMPLE_CNN,463,1,1,0.0008557300403587479,129.7203643321991,266631,0db4a8c0-e813-41d5-b435-5c772f431a70,True
FCN,Fish,time_series,e11,1,uniform,completeness,0.8,0.3812251389026642,0.954285740852356,0.3812251389026642,0.9942857027053833,1.0,0.9537572264671326,0.9428571462631226,0.991172730922699,0.954285740852356,930,144,0.8228571428571428,175,Image,7,SIMPLE_CNN,463,1,1,0.0008440472418461892,119.01182842254639,266631,f870eb63-5e07-4ebc-90c5-258c28415784,True
FCN,Fish,time_series,e11,1,uniform,completeness,0.7,0.3283776640892029,0.9314285516738892,0.3283776640892029,0.9942857027053833,1.0,0.9349112510681152,0.9028571248054504,0.9927728772163391,0.9314285516738892,884,133,0.76,175,Image,7,SIMPLE_CNN,463,1,1,0.0006880742044817028,110.75156044960022,266631,e5e14617-559c-4b70-a355-62fe174d88c1,True
