model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
FCN,RefrigerationDevices,time_series,e11,0,uniform,completeness,1.0,2.6391186714172363,0.4933333396911621,2.6391186714172363,1.0,1.0,0.49162012338638306,0.46933332085609436,0.6333528757095337,0.4933333396911621,550,375,1.0,375,Device,3,SIMPLE_CNN,720,1,1,0.0013177483649712538,193.41461753845215,266115,a0a44f11-c9cd-405b-b4f8-cbf07567b051,True
FCN,RefrigerationDevices,time_series,e11,0,uniform,completeness,0.9,4.289698123931885,0.42399999499320984,4.289698123931885,1.0,1.0,0.4220430254936218,0.41866666078567505,0.6025298237800598,0.42399999499320984,564,346,0.9226666666666666,375,Device,3,SIMPLE_CNN,720,1,1,0.0012123833740668433,180.03454566001892,266115,025dad08-3e27-4395-a0b0-8e202821e671,True
FCN,RefrigerationDevices,time_series,e11,0,uniform,completeness,0.8,3.3486533164978027,0.41066667437553406,3.3486533164978027,1.0,1.0,0.40489131212234497,0.3973333239555359,0.5997723937034607,0.41066664457321167,613,311,0.8293333333333334,375,Device,3,SIMPLE_CNN,720,1,1,0.001187601014027057,175.65114998817444,266115,8cb52d85-3c77-42f6-8cdd-80d941a76dd2,True
FCN,RefrigerationDevices,time_series,e11,0,uniform,completeness,0.7,1.209445595741272,0.41600000858306885,1.209445595741272,1.0,1.0,0.37106919288635254,0.31466665863990784,0.5886719822883606,0.41600000858306885,315,262,0.6986666666666667,375,Device,3,SIMPLE_CNN,720,1,1,0.0005455377273669188,79.50491547584534,266115,46f4bd5a-867a-45aa-abf8-72eaa67ae4d8,True
FCN,RefrigerationDevices,time_series,e11,0,uniform,completeness,0.6,4.2379374504089355,0.42133334279060364,4.2379374504089355,1.0,1.0,0.4216216206550598,0.41600000858306885,0.6244214177131653,0.42133334279060364,683,230,0.6133333333333333,375,Device,3,SIMPLE_CNN,720,1,1,0.0010763844527364465,150.31821823120117,266115,0320bbde-e2e8-4b58-867c-a9cdc8c062e2,True
FCN,RefrigerationDevices,time_series,e11,0,uniform,completeness,0.5,2.4275882244110107,0.4586666524410248,2.4275882244110107,1.0,1.0,0.4542936384677887,0.437333345413208,0.6372249126434326,0.4586666524410248,563,192,0.512,375,Device,3,SIMPLE_CNN,720,1,1,0.0007338762108023461,108.60895037651062,266115,71d65f57-5368-4079-a36f-610ab8eead04,True
FCN,RefrigerationDevices,time_series,e11,0,uniform,completeness,0.4,4.630490779876709,0.36000001430511475,4.630490779876709,1.0,1.0,0.36021506786346436,0.35733333230018616,0.5611163973808289,0.35999998450279236,673,150,0.4,375,Device,3,SIMPLE_CNN,720,1,1,0.0007319273446216806,106.26766109466553,266115,3cd75fd0-e3b9-4950-927c-793501aa180e,True
FCN,RefrigerationDevices,time_series,e11,0,uniform,completeness,0.3,1.0827322006225586,0.36266666650772095,1.0827322006225586,1.0,1.0,0.0,0.0,0.5719502568244934,0.36266666650772095,301,102,0.272,375,Device,3,SIMPLE_CNN,720,1,1,0.00030010442884277703,42.281054735183716,266115,8afad4d0-8e99-41f4-bf3a-38bc4e806d14,True
FCN,RefrigerationDevices,time_series,e11,0,uniform,completeness,0.2,1.0712366104125977,0.3973333239555359,1.0712366104125977,1.0,1.0,0.0,0.0,0.6484995484352112,0.3973333239555359,301,74,0.19733333333333333,375,Device,3,SIMPLE_CNN,720,1,1,0.0002476360642059373,37.87537455558777,266115,350ccb19-5dea-4a7f-b4b3-025259828f34,True
RESNET,RefrigerationDevices,time_series,e11,0,uniform,completeness,1.0,1.0803956985473633,0.4986666738986969,1.0803956985473633,1.0,1.0,0.0,0.0,0.7029955983161926,0.4986666738986969,251,375,1.0,375,Device,3,RESNET,720,1,1,0.0010457744937297008,154.4730703830719,506947,5fd133ec-a88f-41ca-a7bb-7d976bee4b12,True
RESNET,RefrigerationDevices,time_series,e11,0,uniform,completeness,0.9,1.2792627811431885,0.4026666581630707,1.2792627811431885,1.0,1.0,0.44805195927619934,0.36800000071525574,0.6344996094703674,0.40266668796539307,270,337,0.8986666666666666,375,Device,3,RESNET,720,1,1,0.0010230805249952224,152.81137013435364,506947,51cc9e03-23c1-47f8-ae60-1e2065df38e3,True
RESNET,RefrigerationDevices,time_series,e11,0,uniform,completeness,0.8,1.8445923328399658,0.37599998712539673,1.8445923328399658,1.0,1.0,0.37254902720451355,0.35466668009757996,0.5977137684822083,0.37599998712539673,280,310,0.8266666666666667,375,Device,3,RESNET,720,1,1,0.0009622498529582063,139.82014441490173,506947,3cf29695-5498-4dfc-b548-d80fbcbb5909,True
RESNET,RefrigerationDevices,time_series,e11,0,uniform,completeness,0.7,2.2350494861602783,0.4399999976158142,2.2350494861602783,1.0,1.0,0.44999998807907104,0.40799999237060547,0.6458613276481628,0.4399999976158142,297,251,0.6693333333333333,375,Device,3,RESNET,720,1,1,0.0008730875332543038,128.0549178123474,506947,7a518fa4-a14b-4cde-85c4-c1e3c72321e0,True
RESNET,RefrigerationDevices,time_series,e11,0,uniform,completeness,0.6,1.0967787504196167,0.4480000138282776,1.0967787504196167,1.0,1.0,0.0,0.0,0.5820817947387695,0.4480000138282776,251,218,0.5813333333333334,375,Device,3,RESNET,720,1,1,0.0006914339377005964,100.73675441741943,506947,43d55402-e29d-4e69-ae20-3b37eaf5095b,True
RESNET,RefrigerationDevices,time_series,e11,0,uniform,completeness,0.5,1.0870269536972046,0.5146666765213013,1.0870269536972046,1.0,1.0,0.0,0.0,0.6686933636665344,0.5146666765213013,251,190,0.5066666666666667,375,Device,3,RESNET,720,1,1,0.0006103010975959788,88.39561820030212,506947,988a7c2f-ce76-4a60-80be-20e6895d05e8,True
RESNET,RefrigerationDevices,time_series,e11,0,uniform,completeness,0.4,5.249937534332275,0.41866666078567505,5.249937534332275,1.0,1.0,0.41978609561920166,0.41866666078567505,0.6254470944404602,0.41866666078567505,405,148,0.39466666666666667,375,Device,3,RESNET,720,1,1,0.0008034301521868347,121.08849906921387,506947,8806bb1c-d1ca-48f9-8cdd-c9a98eb11873,True
RESNET,RefrigerationDevices,time_series,e11,0,uniform,completeness,0.3,1.8644555807113647,0.4346666634082794,1.8644555807113647,1.0,1.0,0.44602271914482117,0.41866666078567505,0.6307769417762756,0.43466663360595703,296,102,0.272,375,Device,3,RESNET,720,1,1,0.0004956178825308319,75.0468180179596,506947,5f0e7e6f-f661-4f15-90bd-89630f702dfd,True
RESNET,RefrigerationDevices,time_series,e11,0,uniform,completeness,0.2,1.18441903591156,0.36000001430511475,1.18441903591156,1.0,1.0,0.3636363744735718,0.2666666805744171,0.5931288599967957,0.35999998450279236,269,74,0.19733333333333333,375,Device,3,RESNET,720,1,1,0.00034526055654935956,58.232351541519165,506947,0f4e8fc4-43f1-43c8-b42e-c327eaec2a95,True
MLP,RefrigerationDevices,time_series,e11,0,uniform,completeness,1.0,1.1220242977142334,0.3253333270549774,1.1220242977142334,1.0,1.0,0.3333333432674408,0.029333332553505898,0.5108515620231628,0.3253333270549774,301,375,1.0,375,Device,3,SIMPLE_MLP,720,1,1,0.00022361845815829754,46.51520133018494,863003,870fca21-fd49-44b7-b3ab-b6f6500b32b0,True
MLP,RefrigerationDevices,time_series,e11,0,uniform,completeness,0.9,1.150749921798706,0.3440000116825104,1.150749921798706,1.0,1.0,0.34188035130500793,0.1066666692495346,0.5184124112129211,0.3440000116825104,301,340,0.9066666666666666,375,Device,3,SIMPLE_MLP,720,1,1,0.00020010115676253123,42.52744150161743,863003,b441bd27-bc79-43c6-bc68-f8983f80ac70,True
MLP,RefrigerationDevices,time_series,e11,0,uniform,completeness,0.8,1.1848047971725464,0.3226666748523712,1.1848047971725464,1.0,1.0,0.3361344635486603,0.1066666692495346,0.5096942782402039,0.3226666748523712,301,290,0.7733333333333333,375,Device,3,SIMPLE_MLP,720,1,1,0.00016827186975049008,36.42502021789551,863003,fba22061-b4a1-4a2a-ae36-deb726850fe1,True
MLP,RefrigerationDevices,time_series,e11,0,uniform,completeness,0.7,1.1556713581085205,0.3333333432674408,1.1556713581085205,1.0,1.0,0.3235294222831726,0.08799999952316284,0.5081849098205566,0.3333333432674408,992,272,0.7253333333333334,375,Device,3,SIMPLE_MLP,720,1,1,0.0005159718405212101,112.95064115524292,863003,9e17b247-bf96-40b0-92a1-303486eaf69b,True
MLP,RefrigerationDevices,time_series,e11,0,uniform,completeness,0.6,1.171042799949646,0.36533331871032715,1.171042799949646,1.0,1.0,0.3461538553237915,0.09600000083446503,0.49852269887924194,0.36533331871032715,305,222,0.592,375,Device,3,SIMPLE_MLP,720,1,1,0.00014347329981431178,31.18970251083374,863003,5c066234-593d-4a35-87ed-27186e21a7c7,True
MLP,RefrigerationDevices,time_series,e11,0,uniform,completeness,0.5,1.1719638109207153,0.2800000011920929,1.1719638109207153,1.0,1.0,0.23943662643432617,0.04533333331346512,0.4705315828323364,0.2800000011920929,365,184,0.49066666666666664,375,Device,3,SIMPLE_MLP,720,1,1,0.00015262004696040023,33.43756413459778,863003,5bee2f0c-694d-45f4-80d2-1148da5d5af3,True
MLP,RefrigerationDevices,time_series,e11,0,uniform,completeness,0.4,1.1800881624221802,0.3306666612625122,1.1800881624221802,1.0,1.0,0.35779815912246704,0.10400000214576721,0.4991644322872162,0.3306666612625122,301,154,0.4106666666666667,375,Device,3,SIMPLE_MLP,720,1,1,0.00012426382371005893,27.46732497215271,863003,0d22728e-8d85-41b9-8aae-63cb379ebc9f,True
