model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
FCN,ScreenType,time_series,e11,0,uniform,completeness,1.0,4.119963645935059,0.3440000116825104,4.119963645935059,1.0,1.0,0.3440000116825104,0.3440000116825104,0.5564337968826294,0.3440000116825104,692,375,1.0,375,Device,3,SIMPLE_CNN,720,1,1,0.0016707300764802699,241.62726068496704,266115,b968e1a3-3d41-4e3e-b445-7cf61e04e74e,True
FCN,ScreenType,time_series,e11,0,uniform,completeness,0.9,4.459914207458496,0.29866665601730347,4.459914207458496,1.0,1.0,0.29946523904800415,0.29866665601730347,0.5455430746078491,0.29866665601730347,827,341,0.9093333333333333,375,Device,3,SIMPLE_CNN,720,1,1,0.0017102589462338327,257.39899826049805,266115,1a2d80cd-c30a-4388-a58b-fc04fa8fe8dd,True
FCN,ScreenType,time_series,e11,0,uniform,completeness,0.8,2.3984546661376953,0.3440000116825104,2.3984546661376953,1.0,1.0,0.342318058013916,0.3386666774749756,0.5473848581314087,0.3440000116825104,470,298,0.7946666666666666,375,Device,3,SIMPLE_CNN,720,1,1,0.0008849844084086078,128.11859846115112,266115,27d92829-7209-45a7-8b30-01c27d7e41fc,True
FCN,ScreenType,time_series,e11,0,uniform,completeness,0.7,7.786995887756348,0.3253333270549774,7.786995887756348,1.0,1.0,0.3235294222831726,0.3226666748523712,0.5020675659179688,0.3253333270549774,768,269,0.7173333333333334,375,Device,3,SIMPLE_CNN,720,1,1,0.001248585319065522,193.79543590545654,266115,7edbdc24-e4da-40df-96af-fe1af80c9a5e,True
FCN,ScreenType,time_series,e11,0,uniform,completeness,0.6,1.9142711162567139,0.335999995470047,1.9142711162567139,1.0,1.0,0.34188035130500793,0.3199999928474426,0.599048912525177,0.335999995470047,556,218,0.5813333333333334,375,Device,3,SIMPLE_CNN,720,1,1,0.0007494196635975786,117.6789391040802,266115,bed3ada8-3028-41a1-a40c-3191231f678c,True
FCN,ScreenType,time_series,e11,0,uniform,completeness,0.5,1.3970710039138794,0.3840000033378601,1.3970710039138794,1.0,1.0,0.3956386148929596,0.3386666774749756,0.6010115146636963,0.3840000033378601,408,179,0.47733333333333333,375,Device,3,SIMPLE_CNN,720,1,1,0.0005278139092492732,77.0918550491333,266115,c008fa2c-2c30-4681-839c-2a226367b10b,True
FCN,ScreenType,time_series,e11,0,uniform,completeness,0.4,4.644717216491699,0.3333333432674408,4.644717216491699,1.0,1.0,0.3333333432674408,0.3333333432674408,0.5314649343490601,0.3333333432674408,545,149,0.3973333333333333,375,Device,3,SIMPLE_CNN,720,1,1,0.0005562167272339276,87.22406363487244,266115,d4181d50-b596-4b02-92cd-d84e9a11d4b6,True
FCN,ScreenType,time_series,e11,0,uniform,completeness,0.3,4.630457401275635,0.3466666638851166,4.630457401275635,1.0,1.0,0.3466666638851166,0.3466666638851166,0.5066151022911072,0.3466666638851166,603,122,0.3253333333333333,375,Device,3,SIMPLE_CNN,720,1,1,0.0005756513685623488,87.72907567024231,266115,fbfc7633-d883-453d-bcfc-1b04dd2e919c,True
FCN,ScreenType,time_series,e11,0,uniform,completeness,0.2,3.4916396141052246,0.2639999985694885,3.4916396141052246,1.0,1.0,0.2639999985694885,0.2639999985694885,0.4627324342727661,0.2639999985694885,609,75,0.2,375,Device,3,SIMPLE_CNN,720,1,1,0.0004978892959332367,74.98467206954956,266115,a41aff8b-b93b-4def-9fd7-645fec026ed8,True
RESNET,ScreenType,time_series,e11,0,uniform,completeness,1.0,3.5747287273406982,0.36800000071525574,3.5747287273406982,1.0,1.0,0.3689839541912079,0.36800000071525574,0.5610595941543579,0.36800000071525574,309,375,1.0,375,Device,3,RESNET,720,1,1,0.001255014501808285,182.58563923835754,506947,e5fbd05f-9a97-4189-918b-746a8c1a22fc,True
RESNET,ScreenType,time_series,e11,0,uniform,completeness,0.9,1.320207953453064,0.47999998927116394,1.320207953453064,1.0,1.0,0.48830410838127136,0.445333331823349,0.6785954833030701,0.47999998927116394,287,340,0.9066666666666666,375,Device,3,RESNET,720,1,1,0.0010358163296472665,150.8583025932312,506947,cab63d1c-92f4-4d6e-8010-6ba1d658d677,True
