model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
FCN,Wine,time_series,e11,0,uniform,completeness,1.0,1.9589563608169556,0.5,1.9589563608169556,1.0,1.0,0.5,0.5,0.6484910845756531,0.5,589,57,1.0,57,Spectro,2,SIMPLE_CNN,234,1,1,0.0003458219514276208,70.72852778434753,265986,d6850ab1-40f5-4b90-8f07-b70a45d631f8,True
FCN,Wine,time_series,e11,0,uniform,completeness,0.9,3.675978422164917,0.5,3.675978422164917,1.0,1.0,0.5,0.5,0.5,0.5,510,49,0.8596491228070176,57,Spectro,2,SIMPLE_CNN,234,1,1,0.00026737591980014564,54.4218966960907,265986,e0b311f2-72df-473d-9c5a-68445fdfad8f,True
FCN,Wine,time_series,e11,0,uniform,completeness,0.8,4.660704612731934,0.5,4.660704612731934,1.0,1.0,0.5,0.5,0.5,0.5,754,45,0.7894736842105263,57,Spectro,2,SIMPLE_CNN,234,1,1,0.00037397123169258446,76.10584664344788,265986,49198876-e31b-4c85-95a9-6803be19e040,True
FCN,Wine,time_series,e11,0,uniform,completeness,0.7,2.1323766708374023,0.5,2.1323766708374023,1.0,1.0,0.5,0.5,0.6059670448303223,0.5,635,38,0.6666666666666666,57,Spectro,2,SIMPLE_CNN,234,1,1,0.0003812986660658723,78.55951952934265,265986,352feda5-5573-42d0-92a5-1e18eea2a349,True
FCN,Wine,time_series,e11,0,uniform,completeness,0.6,1.0064942836761475,0.5,1.0064942836761475,1.0,1.0,0.5,0.5,0.5449245572090149,0.5,685,28,0.49122807017543857,57,Spectro,2,SIMPLE_CNN,234,1,1,0.00042437108920495966,87.10134816169739,265986,85100325-f6c8-4609-8aa2-7fbfd1e29bda,True
FCN,Wine,time_series,e11,0,uniform,completeness,0.5,1.781780481338501,0.5,1.781780481338501,1.0,1.0,0.5,0.5,0.6265432238578796,0.5,703,27,0.47368421052631576,57,Spectro,2,SIMPLE_CNN,234,1,1,0.0003665271088998614,74.51889562606812,265986,4e7af69c-115f-4a46-9b4f-060cb1af81e9,True
FCN,Wine,time_series,e11,0,uniform,completeness,0.4,1.2458953857421875,0.5,1.2458953857421875,1.0,1.0,0.5,0.5,0.6409465074539185,0.5,611,25,0.43859649122807015,57,Spectro,2,SIMPLE_CNN,234,1,1,0.00030083217536701947,60.96352791786194,265986,39d10f97-c0c1-4291-912b-18d1fd129459,True
FCN,Wine,time_series,e11,0,uniform,completeness,0.3,0.6935593485832214,0.5,0.6935593485832214,1.0,1.0,0.5,0.5,0.5,0.5,301,21,0.3684210526315789,57,Spectro,2,SIMPLE_CNN,234,1,1,0.00013713224530091685,28.12877893447876,265986,10621465-8e2f-45ab-9001-964bf1cfe73e,True
FCN,Wine,time_series,e11,0,uniform,completeness,0.2,0.7968835234642029,0.5,0.7968835234642029,1.0,1.0,0.5,0.5,0.5,0.5,338,11,0.19298245614035087,57,Spectro,2,SIMPLE_CNN,234,1,1,0.00014715655014375633,30.29017925262451,265986,d83626e9-261e-43bf-87c0-fb0db6958704,True
RESNET,Wine,time_series,e11,0,uniform,completeness,1.0,6.6754021644592285,0.5,6.6754021644592285,1.0,1.0,0.5,0.5,0.5,0.5,509,57,1.0,57,Spectro,2,RESNET,234,1,1,0.0005216698046634751,102.49400305747986,506818,cc2edb58-bd47-44ae-80b1-6c030a5ba853,True
RESNET,Wine,time_series,e11,0,uniform,completeness,0.9,5.479248523712158,0.5,5.479248523712158,1.0,1.0,0.5,0.5,0.5,0.5,770,52,0.9122807017543859,57,Spectro,2,RESNET,234,1,1,0.0007165226600270132,141.96404695510864,506818,3dc0a12a-5fa4-4f16-8b40-28b181293ff8,True
RESNET,Wine,time_series,e11,0,uniform,completeness,0.8,6.840479373931885,0.5,6.840479373931885,1.0,1.0,0.5,0.5,0.5,0.5,715,45,0.7894736842105263,57,Spectro,2,RESNET,234,1,1,0.0005531214431068871,104.36178636550903,506818,1a20d8bf-3e3e-4c9f-909e-12159a25a9d8,True
RESNET,Wine,time_series,e11,0,uniform,completeness,0.7,5.0832953453063965,0.5,5.0832953453063965,1.0,1.0,0.5,0.5,0.5,0.5,436,41,0.7192982456140351,57,Spectro,2,RESNET,234,1,1,0.000325958838690586,61.83453178405762,506818,f09a57e1-359e-4b75-ba01-17dd41d96ee2,True
