model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
FCN,Worms,time_series,e11,0,uniform,completeness,1.0,1.0384048223495483,0.6883116960525513,1.0384048223495483,0.9350649118423462,1.0,0.7083333134651184,0.6623376607894897,0.8957454562187195,0.6883116960525513,907,181,1.0,181,Motion,5,SIMPLE_CNN,900,1,1,0.001210127238236751,192.08715629577637,266373,712c1a4f-e2bf-46cf-996b-ca71be089c80,True
FCN,Worms,time_series,e11,0,uniform,completeness,0.9,0.9289023876190186,0.701298713684082,0.9289023876190186,0.948051929473877,1.0,0.7301587462425232,0.5974025726318359,0.9051482677459717,0.701298713684082,654,163,0.9005524861878453,181,Motion,5,SIMPLE_CNN,900,1,1,0.0009001060305848104,128.86268544197083,266373,8728702b-e4d9-46ad-b18e-c8fb4c6c826a,True
FCN,Worms,time_series,e11,0,uniform,completeness,0.8,2.7832107543945312,0.10389610379934311,2.7832107543945312,0.701298713684082,1.0,0.10526315867900848,0.10389610379934311,0.5155169367790222,0.10389610379934311,324,138,0.7624309392265194,181,Motion,5,SIMPLE_CNN,900,1,1,0.0003942284747351425,59.458092212677,266373,3b9e2552-757b-4a16-a5a0-5a4aaa14a489,True
FCN,Worms,time_series,e11,0,uniform,completeness,0.7,0.9597651362419128,0.6363636255264282,0.9597651362419128,0.948051929473877,1.0,0.6769230961799622,0.5714285969734192,0.8932366967201233,0.6363636255264282,573,138,0.7624309392265194,181,Motion,5,SIMPLE_CNN,900,1,1,0.0006868400202017927,102.18939757347107,266373,7945b7e6-dbe2-45e7-b9d4-dd2871b087a9,True
FCN,Worms,time_series,e11,0,uniform,completeness,0.6,0.9912845492362976,0.5844155550003052,0.9912845492362976,0.9220778942108154,1.0,0.75,0.4285714328289032,0.8693708777427673,0.5844155550003052,372,111,0.6132596685082873,181,Motion,5,SIMPLE_CNN,900,1,1,0.0003066648914296476,55.201170206069946,266373,ab73a1ce-2f89-44fb-bf7d-3d29c2264121,True
FCN,Worms,time_series,e11,0,uniform,completeness,0.5,1.9263349771499634,0.11688311398029327,1.9263349771499634,0.7142857313156128,1.0,0.11940298229455948,0.10389610379934311,0.6145851016044617,0.11688311398029327,326,88,0.4861878453038674,181,Motion,5,SIMPLE_CNN,900,1,1,0.0003237337500640828,46.39632701873779,266373,3c6b771a-1e6f-4a02-aa0f-9ab9a76c6a40,True
FCN,Worms,time_series,e11,0,uniform,completeness,0.4,2.1467607021331787,0.10389610379934311,2.1467607021331787,0.7142857313156128,1.0,0.1568627506494522,0.10389610379934311,0.5391086339950562,0.10389610379934311,334,69,0.3812154696132597,181,Motion,5,SIMPLE_CNN,900,1,1,0.00028890183255671193,45.73515820503235,266373,bd5fcb4a-4c92-4564-b756-8f465a52ef07,True
FCN,Worms,time_series,e11,0,uniform,completeness,0.3,1.2277905941009521,0.5714285969734192,1.2277905941009521,0.9350649118423462,1.0,0.6000000238418579,0.5064935088157654,0.8536641597747803,0.5714285969734192,766,53,0.292817679558011,181,Motion,5,SIMPLE_CNN,900,1,1,0.0006002800625369199,92.21570706367493,266373,4722171a-ffdd-4653-9ac3-11d29c0c5f2d,True
FCN,Worms,time_series,e11,0,uniform,completeness,0.2,1.5368273258209229,0.5324675440788269,1.5368273258209229,0.8961039185523987,1.0,0.5652173757553101,0.5064935088157654,0.7925661206245422,0.5324675440788269,566,40,0.22099447513812154,181,Motion,5,SIMPLE_CNN,900,1,1,0.00030682896869263363,52.250155448913574,266373,d250a039-3016-4891-9485-ed8fb10bac3d,True
RESNET,Worms,time_series,e11,0,uniform,completeness,1.0,0.9376057982444763,0.6103895902633667,0.9376057982444763,0.9740259647369385,1.0,0.6730769276618958,0.4545454680919647,0.8834541440010071,0.6103895902633667,285,181,1.0,181,Motion,5,RESNET,900,1,1,0.0007297161522815678,111.51390814781189,507205,1e3127e4-e0dd-491d-8b08-d4077f25ae4e,True
