model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
MLP,ChlorineConcentration,time_series,e11,0,uniform,completeness,1.0,1.0253220796585083,0.5325520634651184,1.0253220796585083,1.0,1.0,0.5288000106811523,0.516406238079071,0.6544662117958069,0.5325520634651184,380,467,1.0,467,Sensor,3,SIMPLE_MLP,166,1,1,0.00031368808557403636,70.90596604347229,586003,adedadd0-7040-4d4b-be69-038b274ec9ec,True
MLP,ChlorineConcentration,time_series,e11,0,uniform,completeness,0.9,1.0197014808654785,0.5354166626930237,1.0197014808654785,1.0,1.0,0.5431276559829712,0.4033854305744171,0.6482595205307007,0.5354166626930237,279,419,0.8972162740899358,467,Sensor,3,SIMPLE_MLP,166,1,1,0.0002065486939346973,46.850616455078125,586003,cadb465c-ae49-4277-9d2b-f96beca25de5,True
MLP,ChlorineConcentration,time_series,e11,0,uniform,completeness,0.8,1.0314868688583374,0.5330728888511658,1.0314868688583374,1.0,1.0,0.5369491577148438,0.20624999701976776,0.6433257460594177,0.5330728888511658,258,379,0.8115631691648822,467,Sensor,3,SIMPLE_MLP,166,1,1,0.0001802237495095222,40.39635252952576,586003,7e80b390-5138-4ac8-afaa-075ada0a93eb,True
MLP,ChlorineConcentration,time_series,e11,0,uniform,completeness,0.7,1.0140368938446045,0.5390625,1.0140368938446045,1.0,1.0,0.561308741569519,0.46015626192092896,0.6825709939002991,0.5390625,2000,333,0.7130620985010707,467,Sensor,3,SIMPLE_MLP,166,1,1,0.0012154884851688222,271.73471546173096,586003,0284d590-2315-4e1c-a26b-4cd1cf1289d2,True
MLP,ChlorineConcentration,time_series,e11,0,uniform,completeness,0.6,1.0164210796356201,0.534375011920929,1.0164210796356201,1.0,1.0,0.5400069355964661,0.4059895873069763,0.6533825397491455,0.534375011920929,293,274,0.5867237687366167,467,Sensor,3,SIMPLE_MLP,166,1,1,0.00016099122863300972,35.91417741775513,586003,07815cf3-2e21-4877-a402-39b60c13a17d,True
MLP,ChlorineConcentration,time_series,e11,0,uniform,completeness,0.5,1.0143672227859497,0.5338541865348816,1.0143672227859497,1.0,1.0,0.5392932295799255,0.5325520634651184,0.6603330373764038,0.5338541865348816,303,244,0.5224839400428265,467,Sensor,3,SIMPLE_MLP,166,1,1,0.00015790896397603068,35.18500733375549,586003,4ea23448-7ddf-4546-838a-6219dba0e0db,True
MLP,ChlorineConcentration,time_series,e11,0,uniform,completeness,0.4,1.0167170763015747,0.5325520634651184,1.0167170763015747,1.0,1.0,0.5390924215316772,0.5135416388511658,0.6630051136016846,0.5325520634651184,474,197,0.42184154175588867,467,Sensor,3,SIMPLE_MLP,166,1,1,0.00021719413532829128,48.65915608406067,586003,952ea0e5-bff2-4e24-82ac-67a241de98f0,True
MLP,ChlorineConcentration,time_series,e11,0,uniform,completeness,0.3,1.0295289754867554,0.5333333611488342,1.0295289754867554,1.0,1.0,0.5473501086235046,0.1640625,0.6432725787162781,0.5333333611488342,328,132,0.2826552462526767,467,Sensor,3,SIMPLE_MLP,166,1,1,0.00013564911171079377,30.286911487579346,586003,ecfb771e-9fee-4e1c-ad52-bbc7475113c6,True
MLP,ChlorineConcentration,time_series,e11,0,uniform,completeness,0.2,1.060562252998352,0.4950520694255829,1.060562252998352,1.0,1.0,0.0,0.0,0.6362771987915039,0.4950520694255829,275,98,0.20985010706638116,467,Sensor,3,SIMPLE_MLP,166,1,1,0.0001141970830538702,25.6562979221344,586003,f3e2044b-16ca-455d-a988-d84c4197878e,True
MLP,PhalangesOutlinesCorrect,time_series,e11,0,uniform,completeness,1.0,0.6454858779907227,0.616550087928772,0.6454858779907227,1.0,1.0,0.616550087928772,0.616550087928772,0.7106092572212219,0.616550087928772,497,1800,1.0,1800,Image,2,SIMPLE_MLP,80,1,1,0.0012682102249746716,282.309903383255,542502,46ce9172-46d0-45d4-8d70-5fab987d8f5c,True
