model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
RESNET,Adiac,time_series,e11,0,uniform,completeness,0.4,1.1174306869506836,0.5984655022621155,1.1174306869506836,0.861892580986023,0.9335038065910339,0.7765151262283325,0.5242967009544373,0.9764708280563354,0.5984655022621155,289,150,0.38461538461538464,390,Image,37,RESNET,176,1,1,0.0003342222753073792,54.71249985694885,511333,18694fea-c447-4f55-bcd0-b9416bd63bd4,True
RESNET,Adiac,time_series,e11,1,uniform,completeness,0.4,1.0432642698287964,0.7570332288742065,1.0432642698287964,0.8900255560874939,0.928388774394989,0.805084764957428,0.7289002537727356,0.9598855376243591,0.7570332288742065,508,161,0.4128205128205128,390,Image,37,RESNET,176,1,1,0.000505027519222747,74.24733138084412,511333,1e033004-1ecb-4530-a27f-21491c3658a2,True
RESNET,Adiac,time_series,e11,2,uniform,completeness,0.4,1.930586814880371,0.6751918196678162,1.930586814880371,0.8209718465805054,0.8797953724861145,0.7168141603469849,0.6214833855628967,0.9443966746330261,0.6751918196678162,500,147,0.3769230769230769,390,Image,37,RESNET,176,1,1,0.0005720925629663314,96.02191853523254,511333,22d09eb3-63bc-4d72-b835-30591d546f29,True
RESNET,Adiac,time_series,e11,3,uniform,completeness,0.4,2.2663421630859375,0.5140665173530579,2.2663421630859375,0.710997462272644,0.7877237796783447,0.8103448152542114,0.3606138229370117,0.898405909538269,0.5140665173530579,244,146,0.37435897435897436,390,Image,37,RESNET,176,1,1,0.0002835472411543456,48.843085289001465,511333,8e63c1db-14ca-4e44-9dc9-86b34ae21250,True
RESNET,Adiac,time_series,e11,4,uniform,completeness,0.4,0.9418736100196838,0.7493606209754944,0.9418736100196838,0.8951406478881836,0.9309462904930115,0.7897727489471436,0.710997462272644,0.9714564085006714,0.7493606209754944,503,169,0.43333333333333335,390,Image,37,RESNET,176,1,1,0.000637745226298617,97.72761631011963,511333,8158ef3d-d76d-4c7f-a952-afde03b8ba2a,True
RESNET,Adiac,time_series,e11,0,uniform,completeness,0.7,0.7563992738723755,0.8005114793777466,0.7563992738723755,0.9207161068916321,0.9641943573951721,0.8347339034080505,0.7621483206748962,0.9830847978591919,0.8005115389823914,589,286,0.7333333333333333,390,Image,37,RESNET,176,1,1,0.0008592450000378596,127.370436668396,511333,240f0b9f-b09c-457e-962b-ddadcb71e68d,True
RESNET,Adiac,time_series,e11,1,uniform,completeness,0.7,0.6186926960945129,0.8312020301818848,0.6186926960945129,0.9386188983917236,0.9846547245979309,0.8677685856819153,0.8056265711784363,0.9838336110115051,0.8312020301818848,510,271,0.6948717948717948,390,Image,37,RESNET,176,1,1,0.0005634105581555617,89.87140393257141,511333,f5ddb8b6-c3e2-4643-a427-94e470976ab3,True
RESNET,Adiac,time_series,e11,2,uniform,completeness,0.7,0.7350398898124695,0.7928388714790344,0.7350398898124695,0.9335038065910339,0.9616368412971497,0.8169398903846741,0.7647058963775635,0.9796348214149475,0.7928389310836792,454,277,0.7102564102564103,390,Image,37,RESNET,176,1,1,0.0006480825218312338,97.03629040718079,511333,aaa41359-acd9-4b97-9429-1dfd0c7135d2,True
RESNET,Adiac,time_series,e11,3,uniform,completeness,0.7,0.8652321100234985,0.7442455291748047,0.8652321100234985,0.9002557396888733,0.95652174949646,0.8202898502349854,0.7237851619720459,0.9772495031356812,0.7442455887794495,689,276,0.7076923076923077,390,Image,37,RESNET,176,1,1,0.0010015484536976614,145.70344972610474,511333,cb176549-17ac-4470-9fb6-141f4d68224d,True
RESNET,Adiac,time_series,e11,4,uniform,completeness,0.7,0.6741786599159241,0.8081841468811035,0.6741786599159241,0.9309462904930115,0.9667519330978394,0.8539325594902039,0.7774935960769653,0.9853712320327759,0.8081842064857483,473,279,0.7153846153846154,390,Image,37,RESNET,176,1,1,0.0006840832975374879,100.71903610229492,511333,a8963dac-6119-4611-b507-095285b6ca0d,True
