model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
FCN,ArrowHead,time_series,e11,0,uniform,completeness,1.0,0.5420675873756409,0.8399999737739563,0.5420675873756409,1.0,1.0,0.8439306616783142,0.8342857360839844,0.9362611770629883,0.8399999737739563,1000,36,1.0,36,Image,3,SIMPLE_CNN,251,1,1,0.0005753466838609186,116.6579577922821,266115,dbd369d4-76ae-4df3-a6ca-70cd58c5aadf,True
FCN,ArrowHead,time_series,e11,0,uniform,completeness,0.9,0.3401315212249756,0.8914285898208618,0.3401315212249756,1.0,1.0,0.8965517282485962,0.8914285898208618,0.9698694348335266,0.8914285898208618,1000,32,0.8888888888888888,36,Image,3,SIMPLE_CNN,251,1,1,0.0005328973797473489,108.73242950439453,266115,b03b17ed-1589-4e61-9255-fc6c554b2fe9,True
FCN,ArrowHead,time_series,e11,0,uniform,completeness,0.8,0.6986445188522339,0.822857141494751,0.6986445188522339,1.0,1.0,0.8265895843505859,0.8171428442001343,0.9256817102432251,0.822857141494751,1000,28,0.7777777777777778,36,Image,3,SIMPLE_CNN,251,1,1,0.0006937494489764767,143.49568462371826,266115,f5885cc3-3507-485f-94b8-60cac3e9e737,True
FCN,ArrowHead,time_series,e11,0,uniform,completeness,0.7,0.3831830620765686,0.8742856979370117,0.3831830620765686,1.0,1.0,0.8895348906517029,0.8742856979370117,0.9627591967582703,0.8742857575416565,1000,30,0.8333333333333334,36,Image,3,SIMPLE_CNN,251,1,1,0.0004080295447418142,83.48310923576355,266115,d84d9f4e-fec8-4043-bdad-8262789f362b,True
FCN,ArrowHead,time_series,e11,0,uniform,completeness,0.6,0.9394786953926086,0.6742857098579407,0.9394786953926086,1.0,1.0,0.6904761791229248,0.6628571152687073,0.856653094291687,0.6742857098579407,605,25,0.6944444444444444,36,Image,3,SIMPLE_CNN,251,1,1,0.0002932646503052554,59.738919258117676,266115,785f8fab-ef85-40ad-b9fb-8fa6b3f6c0b9,True
FCN,ArrowHead,time_series,e11,0,uniform,completeness,0.5,1.2156352996826172,0.5657142996788025,1.2156352996826172,1.0,1.0,0.5680473446846008,0.5485714077949524,0.6890203952789307,0.5657142996788025,534,16,0.4444444444444444,36,Image,3,SIMPLE_CNN,251,1,1,0.00029354350011682594,60.64767265319824,266115,5fdd6eb5-60cd-412c-b59a-04ecb3c3bc45,True
FCN,ArrowHead,time_series,e11,0,uniform,completeness,0.4,1.0599712133407593,0.5257142782211304,1.0599712133407593,1.0,1.0,0.5138888955116272,0.4228571355342865,0.7450857162475586,0.5257142782211304,775,13,0.3611111111111111,36,Image,3,SIMPLE_CNN,251,1,1,0.0003576783003781175,73.99694585800171,266115,08b966e9-64e6-430e-afb6-80a4c5db62f5,True
FCN,ArrowHead,time_series,e11,0,uniform,completeness,0.3,0.9013825058937073,0.48571428656578064,0.9013825058937073,1.0,1.0,0.5044247508049011,0.3257142901420593,0.7540816068649292,0.48571428656578064,449,14,0.3888888888888889,36,Image,3,SIMPLE_CNN,251,1,1,0.00022395437291799803,46.46767592430115,266115,b5131127-3eda-46ae-b619-a789e7192a30,True
FCN,ArrowHead,time_series,e11,0,uniform,completeness,0.2,1.1012526750564575,0.3028571307659149,1.1012526750564575,1.0,1.0,0.0,0.0,0.5398938655853271,0.3028571307659149,242,6,0.16666666666666666,36,Image,3,SIMPLE_CNN,251,1,1,6.136886575844876e-05,12.628535032272339,266115,766da690-ae53-469b-b156-ac9cf0bbe2e7,True
RESNET,ArrowHead,time_series,e11,0,uniform,completeness,1.0,0.6201131939888,0.800000011920929,0.6201131939888,1.0,1.0,0.8045976758003235,0.800000011920929,0.9340980648994446,0.8000000715255737,463,36,1.0,36,Image,3,RESNET,251,1,1,0.00047135225415236725,94.70777034759521,506947,6ed14ad4-fe12-4a68-b950-e155ae1a3c28,True
RESNET,ArrowHead,time_series,e11,0,uniform,completeness,0.9,0.5560042858123779,0.7771428823471069,0.5560042858123779,1.0,1.0,0.802395224571228,0.7657142877578735,0.9316734671592712,0.7771428823471069,313,33,0.9166666666666666,36,Image,3,RESNET,251,1,1,0.000303399013017388,60.72862100601196,506947,20fcf133-a3c1-49ba-a6ec-140893719a91,True
RESNET,ArrowHead,time_series,e11,0,uniform,completeness,0.8,0.9087008833885193,0.6800000071525574,0.9087008833885193,1.0,1.0,0.6909090876579285,0.6514285802841187,0.8242612481117249,0.6800000071525574,239,32,0.8888888888888888,36,Image,3,RESNET,251,1,1,0.00023200030749645248,47.39746427536011,506947,c605a6ef-c012-4055-a86b-8c87f7a08289,True
RESNET,ArrowHead,time_series,e11,0,uniform,completeness,0.7,0.892493724822998,0.7657142877578735,0.892493724822998,1.0,1.0,0.7660818696022034,0.7485714554786682,0.8651590943336487,0.7657142877578735,299,23,0.6388888888888888,36,Image,3,RESNET,251,1,1,0.0002268431434920492,43.96998405456543,506947,ec3d508a-1ce6-4a63-aa40-babb0c3c4bdc,True
RESNET,ArrowHead,time_series,e11,0,uniform,completeness,0.6,2.359537363052368,0.3142857253551483,2.359537363052368,1.0,1.0,0.3142857253551483,0.3142857253551483,0.5828652381896973,0.3142857253551483,235,19,0.5277777777777778,36,Image,3,RESNET,251,1,1,0.0002637598530790957,54.039146900177,506947,d7ae147b-a792-427f-9e51-f9a30cf6316f,True
RESNET,ArrowHead,time_series,e11,0,uniform,completeness,0.5,1.2208104133605957,0.47428572177886963,1.2208104133605957,1.0,1.0,0.47058823704719543,0.36571428179740906,0.5909795165061951,0.47428572177886963,238,15,0.4166666666666667,36,Image,3,RESNET,251,1,1,0.00021323568625101455,43.441521406173706,506947,5e8ac9a0-f4eb-499b-9c6b-d4969bcbd03e,True
RESNET,ArrowHead,time_series,e11,0,uniform,completeness,0.4,1.7816842794418335,0.3028571307659149,1.7816842794418335,1.0,1.0,0.29885056614875793,0.2971428632736206,0.549893856048584,0.3028571307659149,200,17,0.4722222222222222,36,Image,3,RESNET,251,1,1,0.00020109524842917088,41.0707106590271,506947,d0699b6a-90b0-4da5-97b0-81dbdffa0984,True
RESNET,ArrowHead,time_series,e11,0,uniform,completeness,0.3,0.9394318461418152,0.5828571319580078,0.9394318461418152,1.0,1.0,0.6397058963775635,0.49714285135269165,0.7422448992729187,0.5828571319580078,302,11,0.3055555555555556,36,Image,3,RESNET,251,1,1,0.00021009000166472895,43.18823766708374,506947,196b158b-e093-4d37-8673-c17ea61c9172,True
RESNET,ArrowHead,time_series,e11,0,uniform,completeness,0.2,2.1340298652648926,0.3028571307659149,2.1340298652648926,1.0,1.0,0.3028571307659149,0.3028571307659149,0.5319591760635376,0.3028571307659149,245,8,0.2222222222222222,36,Image,3,RESNET,251,1,1,9.611834847507747e-05,18.998710870742798,506947,34621585-d169-4f17-adb1-f622cc28e363,True
MLP,ArrowHead,time_series,e11,0,uniform,completeness,1.0,0.8002064824104309,0.6000000238418579,0.8002064824104309,1.0,1.0,0.6277372241020203,0.49142858386039734,0.809395968914032,0.6000000238418579,1910,36,1.0,36,Image,3,SIMPLE_MLP,251,1,1,0.0007797651151737488,163.10559368133545,628503,eba1ac2d-6349-4ffb-8801-7e214060a5c4,True
MLP,ArrowHead,time_series,e11,0,uniform,completeness,0.9,0.7576075792312622,0.6114285588264465,0.7576075792312622,1.0,1.0,0.6423357725143433,0.5028571486473083,0.833869457244873,0.6114285588264465,2000,30,0.8333333333333334,36,Image,3,SIMPLE_MLP,251,1,1,0.0006751411254396687,141.46882891654968,628503,9a4a1bb7-a00d-4d2d-94c0-cf4c9d6cbc4a,True
MLP,ArrowHead,time_series,e11,0,uniform,completeness,0.8,0.8493209481239319,0.6171428561210632,0.8493209481239319,1.0,1.0,0.6274510025978088,0.5485714077949524,0.8097061514854431,0.6171428561210632,2000,30,0.8333333333333334,36,Image,3,SIMPLE_MLP,251,1,1,0.0006796506453829105,142.95678877830505,628503,2d30d2fa-f7ba-40ea-b390-2dd1cbae27db,True
MLP,ArrowHead,time_series,e11,0,uniform,completeness,0.7,0.9910112619400024,0.508571445941925,0.9910112619400024,1.0,1.0,0.5197368264198303,0.4514285624027252,0.7216081023216248,0.508571445941925,1839,22,0.6111111111111112,36,Image,3,SIMPLE_MLP,251,1,1,0.0007298330657792692,153.19774651527405,628503,77c99a9f-034e-44fd-91ea-75e3ccb4e271,True
MLP,ArrowHead,time_series,e11,0,uniform,completeness,0.6,0.9384204745292664,0.5428571701049805,0.9384204745292664,1.0,1.0,0.6060606241226196,0.4571428596973419,0.7412816286087036,0.5428571701049805,1491,21,0.5833333333333334,36,Image,3,SIMPLE_MLP,251,1,1,0.0005275620212527547,110.39819717407227,628503,becf35de-115f-4d9a-84d0-c864099f825d,True
MLP,ArrowHead,time_series,e11,0,uniform,completeness,0.5,0.9384172558784485,0.5257142782211304,0.9384172558784485,1.0,1.0,0.54666668176651,0.46857142448425293,0.7509306073188782,0.5257142782211304,1488,19,0.5277777777777778,36,Image,3,SIMPLE_MLP,251,1,1,0.0007156370296408867,149.79949855804443,628503,4c1752fa-d29a-496c-a04c-c1939fe30886,True
MLP,ArrowHead,time_series,e11,0,uniform,completeness,0.4,0.8183006644248962,0.668571412563324,0.8183006644248962,1.0,1.0,0.8550724387168884,0.33714285492897034,0.8356571197509766,0.668571412563324,2000,13,0.3611111111111111,36,Image,3,SIMPLE_MLP,251,1,1,0.0007217925145550591,151.46574568748474,628503,762ff3f1-0f51-4e78-b550-a19a4a1d9207,True
MLP,ArrowHead,time_series,e11,0,uniform,completeness,0.3,0.9343947768211365,0.4514285624027252,0.9343947768211365,1.0,1.0,0.7714285850524902,0.3085714280605316,0.7287836670875549,0.4514285624027252,782,11,0.3055555555555556,36,Image,3,SIMPLE_MLP,251,1,1,0.00026003287032037197,54.592135190963745,628503,224dd468-93dc-4ac4-b413-79b02ef56b0c,True
MLP,ArrowHead,time_series,e11,0,uniform,completeness,0.2,0.910880446434021,0.4571428596973419,0.910880446434021,1.0,1.0,0.7023809552192688,0.33714285492897034,0.737869381904602,0.4571428596973419,2000,5,0.1388888888888889,36,Image,3,SIMPLE_MLP,251,1,1,0.00038239551074869247,80.8195731639862,628503,960fa9ba-302e-4211-a3f2-c18e011425c3,True
FCN,ArrowHead,time_series,e11,1,uniform,completeness,1.0,0.5004352927207947,0.800000011920929,0.5004352927207947,1.0,1.0,0.8165680766105652,0.7885714173316956,0.9416898488998413,0.8000000715255737,832,36,1.0,36,Image,3,SIMPLE_CNN,251,1,1,0.0004576785837739199,94.14747405052185,266115,eae415c2-eef0-4643-9aa0-27d3d6553e74,True
FCN,ArrowHead,time_series,e11,1,uniform,completeness,0.9,0.595912754535675,0.8114285469055176,0.595912754535675,1.0,1.0,0.8502994179725647,0.8114285469055176,0.9237714409828186,0.8114285469055176,1000,33,0.9166666666666666,36,Image,3,SIMPLE_CNN,251,1,1,0.000694094208186617,143.45536828041077,266115,34484f62-e715-4851-90d0-e60afe684771,True
FCN,ArrowHead,time_series,e11,1,uniform,completeness,0.8,1.292657494544983,0.6800000071525574,1.292657494544983,1.0,1.0,0.676300585269928,0.668571412563324,0.8128978610038757,0.6800000071525574,1000,24,0.6666666666666666,36,Image,3,SIMPLE_CNN,251,1,1,0.0005425743377370643,111.54756808280945,266115,46731d2c-b114-4309-ad21-9dee0f729cd0,True
FCN,ArrowHead,time_series,e11,1,uniform,completeness,0.7,0.9365392327308655,0.7085714340209961,0.9365392327308655,1.0,1.0,0.7126436829566956,0.7085714340209961,0.8838040828704834,0.7085714340209961,1000,25,0.6944444444444444,36,Image,3,SIMPLE_CNN,251,1,1,0.0006877239883703764,143.4099793434143,266115,31927b98-b2ce-4a32-be0d-ec8cb91297f5,True
FCN,ArrowHead,time_series,e11,1,uniform,completeness,0.6,0.6104736924171448,0.7599999904632568,0.6104736924171448,1.0,1.0,0.7674418687820435,0.7542856931686401,0.924359142780304,0.7599999904632568,1000,25,0.6944444444444444,36,Image,3,SIMPLE_CNN,251,1,1,0.0004768013764783231,96.84162545204163,266115,7fb0e82b-c4dd-4064-8acd-60d12db7e77e,True
FCN,ArrowHead,time_series,e11,1,uniform,completeness,0.5,1.263676404953003,0.4514285624027252,1.263676404953003,1.0,1.0,0.475862056016922,0.3942857086658478,0.6074367165565491,0.4514285624027252,469,17,0.4722222222222222,36,Image,3,SIMPLE_CNN,251,1,1,0.0002688084208233726,55.8200249671936,266115,52a39c70-f370-40a1-a37c-f427520f9dd7,True
FCN,ArrowHead,time_series,e11,1,uniform,completeness,0.4,1.516156554222107,0.37714284658432007,1.516156554222107,1.0,1.0,0.38650307059288025,0.36000001430511475,0.5919346809387207,0.37714284658432007,575,15,0.4166666666666667,36,Image,3,SIMPLE_CNN,251,1,1,0.00029785797711730065,61.509881019592285,266115,b7607af3-3535-4e49-89bb-c0ccdf5f50cd,True
FCN,ArrowHead,time_series,e11,1,uniform,completeness,0.3,6.608321189880371,0.3028571307659149,6.608321189880371,1.0,1.0,0.3028571307659149,0.3028571307659149,0.460857093334198,0.3028571307659149,699,17,0.4722222222222222,36,Image,3,SIMPLE_CNN,251,1,1,0.00039655253107626564,82.20705032348633,266115,8b0440f3-be6b-4514-adef-2495f380ebb4,True
FCN,ArrowHead,time_series,e11,1,uniform,completeness,0.2,1.0980472564697266,0.3085714280605316,1.0980472564697266,1.0,1.0,0.0,0.0,0.5029877424240112,0.3085714280605316,241,7,0.19444444444444445,36,Image,3,SIMPLE_CNN,251,1,1,6.036760552509271e-05,12.758716106414795,266115,ec5f85e5-96d5-4db9-b39a-a02083cea25a,True
RESNET,ArrowHead,time_series,e11,1,uniform,completeness,1.0,0.5817669034004211,0.8571428656578064,0.5817669034004211,1.0,1.0,0.8654970526695251,0.845714271068573,0.9510123133659363,0.8571428656578064,1000,36,1.0,36,Image,3,RESNET,251,1,1,0.0009496914695538888,192.865216255188,506947,307ccfdb-26b3-45f0-9ca1-5150ea5147c8,True
RESNET,ArrowHead,time_series,e11,1,uniform,completeness,0.9,0.5089949369430542,0.845714271068573,0.5089949369430542,1.0,1.0,0.8588235378265381,0.8342857360839844,0.9425632953643799,0.845714271068573,426,36,1.0,36,Image,3,RESNET,251,1,1,0.0004229963768114628,84.17636299133301,506947,c4541785-a7c4-4a9c-9816-6f4f1fc43bac,True
RESNET,ArrowHead,time_series,e11,1,uniform,completeness,0.8,0.8396764993667603,0.7599999904632568,0.8396764993667603,1.0,1.0,0.7732558250427246,0.7599999904632568,0.906449019908905,0.7599999904632568,598,26,0.7222222222222222,36,Image,3,RESNET,251,1,1,0.0006147839580184409,125.09971714019775,506947,8647ebd3-5bed-4153-a5b0-0239043bd768,True
FCN,ArrowHead,time_series,e11,2,uniform,completeness,1.0,0.43004417419433594,0.8571428656578064,0.43004417419433594,1.0,1.0,0.8654970526695251,0.845714271068573,0.9564653038978577,0.8571428656578064,1000,36,1.0,36,Image,3,SIMPLE_CNN,251,1,1,0.0006534379578944251,144.06405448913574,266115,60e7b76d-fc04-4cf8-b851-b830a78a2307,True
FCN,ArrowHead,time_series,e11,2,uniform,completeness,0.9,0.6774513125419617,0.7942857146263123,0.6774513125419617,1.0,1.0,0.8176470398902893,0.7942857146263123,0.9123020172119141,0.7942857146263123,1000,31,0.8611111111111112,36,Image,3,SIMPLE_CNN,251,1,1,0.000664828958479062,143.34925389289856,266115,c6dcfc8c-4dca-453f-85d5-a092571a2e70,True
FCN,ArrowHead,time_series,e11,2,uniform,completeness,0.8,2.18131947517395,0.3199999928474426,2.18131947517395,1.0,1.0,0.3179190754890442,0.3142857253551483,0.6084734201431274,0.3199999928474426,429,26,0.7222222222222222,36,Image,3,SIMPLE_CNN,251,1,1,0.0002527597871030109,54.30741548538208,266115,44fc2f7f-b7ef-435a-8680-a17d94ea3224,True
FCN,ArrowHead,time_series,e11,2,uniform,completeness,0.7,1.0432689189910889,0.6514285802841187,1.0432689189910889,1.0,1.0,0.6445783376693726,0.6114285588264465,0.8021551370620728,0.6514285802841187,623,26,0.7222222222222222,36,Image,3,SIMPLE_CNN,251,1,1,0.00037416955530402617,79.02944922447205,266115,e4a3514b-5af9-47d5-a257-86b5b51737fa,True
FCN,ArrowHead,time_series,e11,2,uniform,completeness,0.6,0.5694431662559509,0.8399999737739563,0.5694431662559509,1.0,1.0,0.8666666746139526,0.8171428442001343,0.9344652891159058,0.8399999737739563,1000,24,0.6666666666666666,36,Image,3,SIMPLE_CNN,251,1,1,0.0006891843940962527,143.47777605056763,266115,9ff88b25-6d5e-4388-90cb-964116f4acfd,True
FCN,ArrowHead,time_series,e11,2,uniform,completeness,0.5,1.1538081169128418,0.48571428656578064,1.1538081169128418,1.0,1.0,0.5033556818962097,0.4285714328289032,0.6924163103103638,0.48571428656578064,419,13,0.3611111111111111,36,Image,3,SIMPLE_CNN,251,1,1,0.00020392853925361193,42.36989641189575,266115,a2d89038-0c51-4330-bbd5-5d533f97bc75,True
FCN,ArrowHead,time_series,e11,2,uniform,completeness,0.4,1.151617407798767,0.48571428656578064,1.151617407798767,1.0,1.0,0.4585987329483032,0.4114285707473755,0.6992735266685486,0.48571428656578064,781,12,0.3333333333333333,36,Image,3,SIMPLE_CNN,251,1,1,0.00034581831965107787,71.44526767730713,266115,e6d9b16e-85ce-4bfa-af12-10d17aa79120,True
FCN,ArrowHead,time_series,e11,2,uniform,completeness,0.3,2.3480429649353027,0.2857142984867096,2.3480429649353027,1.0,1.0,0.29012346267700195,0.2685714364051819,0.5245876908302307,0.2857142984867096,762,13,0.3611111111111111,36,Image,3,SIMPLE_CNN,251,1,1,0.00035126885068475984,72.87877917289734,266115,2feeeefd-b623-4cae-b90e-f372a15b4d22,True
FCN,ArrowHead,time_series,e11,2,uniform,completeness,0.2,1.0974735021591187,0.3942857086658478,1.0974735021591187,1.0,1.0,0.0,0.0,0.5227265357971191,0.3942857086658478,242,5,0.1388888888888889,36,Image,3,SIMPLE_CNN,251,1,1,6.009833663105087e-05,12.527952671051025,266115,f38e762f-2029-46ed-925f-74c2a2d9aef7,True
RESNET,ArrowHead,time_series,e11,2,uniform,completeness,1.0,0.5752882957458496,0.822857141494751,0.5752882957458496,1.0,1.0,0.8372092843055725,0.822857141494751,0.9460081458091736,0.822857141494751,562,36,1.0,36,Image,3,RESNET,251,1,1,0.0005703585423616459,113.3760929107666,506947,8b5fab3c-c9c6-4e82-8209-4edd9ed3b9ae,True
RESNET,ArrowHead,time_series,e11,2,uniform,completeness,0.9,0.7617616653442383,0.7142857313156128,0.7617616653442383,1.0,1.0,0.7560975551605225,0.7085714340209961,0.8936815857887268,0.714285671710968,297,35,0.9722222222222222,36,Image,3,RESNET,251,1,1,0.0003166969793115637,62.2361741065979,506947,72424fa2-f773-4222-8794-dadbe320467b,True
RESNET,ArrowHead,time_series,e11,2,uniform,completeness,0.8,1.6425861120224,0.7142857313156128,1.6425861120224,1.0,1.0,0.7167630195617676,0.7085714340209961,0.828628659248352,0.714285671710968,526,28,0.7777777777777778,36,Image,3,RESNET,251,1,1,0.0005960384470685347,119.13260173797607,506947,3490c7bb-75f6-45d4-aedd-5c0e6aa90f13,True
RESNET,ArrowHead,time_series,e11,1,uniform,completeness,0.7,0.613538920879364,0.7599999904632568,0.613538920879364,1.0,1.0,0.7647058963775635,0.7428571581840515,0.9064653515815735,0.7599999904632568,259,21,0.5833333333333334,36,Image,3,RESNET,251,1,1,0.00019601567563961458,36.40815281867981,506947,bb99c0c2-0890-465e-9199-1302ad5f0f41,True
RESNET,ArrowHead,time_series,e11,1,uniform,completeness,0.6,4.400987148284912,0.6514285802841187,4.400987148284912,1.0,1.0,0.6514285802841187,0.6514285802841187,0.702261209487915,0.6514285802841187,233,25,0.6944444444444444,36,Image,3,RESNET,251,1,1,0.0002031870417234697,38.890822649002075,506947,fd9d0454-b05f-4d5a-aaa5-a99102f8fedf,True
RESNET,ArrowHead,time_series,e11,1,uniform,completeness,0.5,1.8767870664596558,0.49714285135269165,1.8767870664596558,1.0,1.0,0.5029239654541016,0.49142858386039734,0.7068816423416138,0.49714285135269165,296,20,0.5555555555555556,36,Image,3,RESNET,251,1,1,0.00021451490447469735,40.426366090774536,506947,a0aef0f2-1efd-4ea1-9761-99bd2e0a6c5f,True
RESNET,ArrowHead,time_series,e11,1,uniform,completeness,0.4,0.9653951525688171,0.5542857050895691,0.9653951525688171,1.0,1.0,0.604938268661499,0.2800000011920929,0.7300816178321838,0.5542857050895691,410,17,0.4722222222222222,36,Image,3,RESNET,251,1,1,0.0004044740440851747,79.50691413879395,506947,17cc577d-23f2-48f5-bbae-dbdf4035fe50,True
RESNET,ArrowHead,time_series,e11,1,uniform,completeness,0.3,1.145650863647461,0.3942857086658478,1.145650863647461,1.0,1.0,0.3692307770252228,0.1371428519487381,0.5402775406837463,0.3942857086658478,201,10,0.2777777777777778,36,Image,3,RESNET,251,1,1,0.00014061423041810992,27.989455223083496,506947,82dc3eef-3f1d-424b-8060-8a15c0fbb66d,True
RESNET,ArrowHead,time_series,e11,1,uniform,completeness,0.2,1.0999336242675781,0.3028571307659149,1.0999336242675781,1.0,1.0,0.0,0.0,0.49788570404052734,0.3028571307659149,182,9,0.25,36,Image,3,RESNET,251,1,1,7.89086604031862e-05,15.138705968856812,506947,53977705-7170-4524-9ede-984786b762a9,True
MLP,ArrowHead,time_series,e11,1,uniform,completeness,1.0,0.8024057149887085,0.6399999856948853,0.8024057149887085,1.0,1.0,0.6643356680870056,0.5428571701049805,0.8140081763267517,0.6399999856948853,2000,36,1.0,36,Image,3,SIMPLE_MLP,251,1,1,0.000991937971973937,203.03089237213135,628503,ac5c5945-b7e3-4ccf-af3b-e2657acf341f,True
