model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
FCN,Beef,time_series,e11,0,uniform,completeness,1.0,2.089972972869873,0.20000000298023224,2.089972972869873,0.6000000238418579,1.0,1.0,0.03333333507180214,0.511388897895813,0.20000001788139343,264,30,1.0,30,Spectro,5,SIMPLE_CNN,470,1,1,0.00012965205242998032,26.377065896987915,266373,258e58b0-9d91-45f9-bd64-0ebc5a872481,True
FCN,Beef,time_series,e11,0,uniform,completeness,0.9,1.2041105031967163,0.46666666865348816,1.2041105031967163,0.8333333134651184,1.0,0.692307710647583,0.30000001192092896,0.8012500405311584,0.46666666865348816,589,27,0.9,30,Spectro,5,SIMPLE_CNN,470,1,1,0.00033368579992029717,68.61519026756287,266373,08aeb8f8-89ec-4487-8a29-c7fcfe4b989d,True
FCN,Beef,time_series,e11,0,uniform,completeness,0.8,1.6035233736038208,0.23333333432674408,1.6035233736038208,0.6666666865348816,1.0,0.0,0.0,0.5625,0.23333333432674408,241,25,0.8333333333333334,30,Spectro,5,SIMPLE_CNN,470,1,1,0.00013400660048977893,28.167104244232178,266373,4ace88d0-a5dd-440f-80ba-3915fad40a69,True
FCN,Beef,time_series,e11,0,uniform,completeness,0.7,2.1225767135620117,0.20000000298023224,2.1225767135620117,0.6000000238418579,1.0,0.0,0.0,0.5105555653572083,0.20000001788139343,263,23,0.7666666666666667,30,Spectro,5,SIMPLE_CNN,470,1,1,0.0001396976615107345,28.71693706512451,266373,68c7353c-d001-4ff6-8e86-4274b3fc8616,True
FCN,Beef,time_series,e11,0,uniform,completeness,0.6,1.6188215017318726,0.20000000298023224,1.6188215017318726,0.6000000238418579,1.0,0.0,0.0,0.5286111235618591,0.20000001788139343,241,16,0.5333333333333333,30,Spectro,5,SIMPLE_CNN,470,1,1,0.00014747607394407323,30.322617530822754,266373,f55eddf8-3997-4a8f-8923-c18a22e2e84c,True
FCN,Beef,time_series,e11,0,uniform,completeness,0.5,1.6963951587677002,0.2666666805744171,1.6963951587677002,0.6000000238418579,1.0,0.0,0.0,0.555555522441864,0.2666666805744171,457,15,0.5,30,Spectro,5,SIMPLE_CNN,470,1,1,0.00025226274700748945,52.08710837364197,266373,40ac4e66-fed2-4862-b2ac-8afedf302fa9,True
FCN,Beef,time_series,e11,0,uniform,completeness,0.4,2.6186420917510986,0.20000000298023224,2.6186420917510986,0.699999988079071,1.0,0.2222222238779068,0.20000000298023224,0.5515277981758118,0.20000001788139343,589,8,0.26666666666666666,30,Spectro,5,SIMPLE_CNN,470,1,1,0.0001394515220248407,29.25233817100525,266373,0274de6c-4fe2-42f1-8478-8d23a4149e50,True
FCN,Beef,time_series,e11,0,uniform,completeness,0.3,1.7868810892105103,0.30000001192092896,1.7868810892105103,0.6000000238418579,1.0,0.6666666865348816,0.06666667014360428,0.5295833349227905,0.30000001192092896,333,9,0.3,30,Spectro,5,SIMPLE_CNN,470,1,1,8.745615395932296e-05,18.13033175468445,266373,3cc7ffbe-8f09-4934-b4ee-b11c77c25b91,True
FCN,Beef,time_series,e11,0,uniform,completeness,0.2,9.046939849853516,0.20000000298023224,9.046939849853516,0.6666666865348816,1.0,0.20000000298023224,0.20000000298023224,0.5083333253860474,0.20000001788139343,660,9,0.3,30,Spectro,5,SIMPLE_CNN,470,1,1,0.00016275941649528545,34.08954453468323,266373,fdf8adbf-1367-4842-b9ce-2d6c8bb1d024,True
RESNET,Beef,time_series,e11,0,uniform,completeness,1.0,1.0283759832382202,0.6333333253860474,1.0283759832382202,0.9333333373069763,1.0,0.6399999856948853,0.5333333611488342,0.8755555152893066,0.6333333253860474,286,30,1.0,30,Spectro,5,RESNET,470,1,1,0.0002427671065302926,42.8524432182312,507205,a9c006a7-f62f-40f7-9090-dd60042a8079,True
