model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
FCN,BeetleFly,time_series,e11,0,uniform,completeness,1.0,1.130254864692688,0.5,1.130254864692688,1.0,1.0,0.5,0.5,0.7124999761581421,0.5,506,20,1.0,20,Image,2,SIMPLE_CNN,512,1,1,0.00022950452464757777,47.03261733055115,265986,b0b5c4ee-9392-4bea-983f-8007db23518f,True
FCN,BeetleFly,time_series,e11,0,uniform,completeness,0.9,2.0003111362457275,0.5,2.0003111362457275,1.0,1.0,0.5,0.5,0.6599999666213989,0.5,432,16,0.8,20,Image,2,SIMPLE_CNN,512,1,1,0.00025238908837211437,51.79487061500549,265986,47d393db-4adf-43bd-b4f8-26c1711abea0,True
FCN,BeetleFly,time_series,e11,0,uniform,completeness,0.8,2.22401762008667,0.5,2.22401762008667,1.0,1.0,0.5,0.5,0.5649999976158142,0.5,522,17,0.85,20,Image,2,SIMPLE_CNN,512,1,1,0.0003127945086434082,64.93995070457458,265986,dac74f25-8199-4322-84d0-6faeaae87b59,True
FCN,BeetleFly,time_series,e11,0,uniform,completeness,0.7,0.3841516375541687,0.800000011920929,0.3841516375541687,1.0,1.0,0.800000011920929,0.800000011920929,0.9275000095367432,0.8000000715255737,702,15,0.75,20,Image,2,SIMPLE_CNN,512,1,1,0.00039038187121315075,80.13059425354004,265986,2ea52ba7-c5d9-4ed2-b51e-14052acb412e,True
FCN,BeetleFly,time_series,e11,0,uniform,completeness,0.6,0.6159286499023438,0.550000011920929,0.6159286499023438,1.0,1.0,0.550000011920929,0.550000011920929,0.6974999904632568,0.550000011920929,444,14,0.7,20,Image,2,SIMPLE_CNN,512,1,1,0.0002359700281289991,48.54177236557007,265986,2e46969a-d322-4bd9-bbd3-0ec04001aca6,True
FCN,BeetleFly,time_series,e11,0,uniform,completeness,0.5,0.9335192441940308,0.44999998807907104,0.9335192441940308,1.0,1.0,0.44999998807907104,0.44999998807907104,0.45749998092651367,0.44999998807907104,372,10,0.5,20,Image,2,SIMPLE_CNN,512,1,1,0.0001636527860406091,33.99280619621277,265986,57695f63-f3d6-46a0-87a7-90b6d23715f5,True
FCN,BeetleFly,time_series,e11,0,uniform,completeness,0.4,0.48349809646606445,0.699999988079071,0.48349809646606445,1.0,1.0,0.699999988079071,0.699999988079071,0.8375000953674316,0.699999988079071,474,10,0.5,20,Image,2,SIMPLE_CNN,512,1,1,0.0002043854341943301,42.45487332344055,265986,f00f1a0d-9a15-4f17-a711-405f4dcde04c,True
FCN,BeetleFly,time_series,e11,0,uniform,completeness,0.3,3.6011054515838623,0.5,3.6011054515838623,1.0,1.0,0.5,0.5,0.5,0.5,689,6,0.3,20,Image,2,SIMPLE_CNN,512,1,1,0.00017596528392686315,36.89783954620361,265986,6c20de07-5089-4bfc-8917-c76976a68dda,True
FCN,BeetleFly,time_series,e11,0,uniform,completeness,0.2,3.761594295501709,0.5,3.761594295501709,1.0,1.0,0.5,0.5,0.5,0.5,1000,2,0.1,20,Image,2,SIMPLE_CNN,512,1,1,0.00039742890477311615,84.0753870010376,265986,646336c6-e3c2-4e56-9a4f-e6d5c7aed19c,True
RESNET,BeetleFly,time_series,e11,0,uniform,completeness,1.0,8.06948184967041,0.5,8.06948184967041,1.0,1.0,0.5,0.5,0.5,0.5,267,20,1.0,20,Image,2,RESNET,512,1,1,0.0002157091763148156,40.692057847976685,506818,30de5b82-dae4-4ce7-8768-3a9fde41952d,True
