model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
FCN,CinCECGTorso,time_series,e11,0,uniform,completeness,1.0,2.028211832046509,0.25652173161506653,2.028211832046509,0.8231884241104126,1.0,0.24842484295368195,0.20000000298023224,0.5555624961853027,0.25652173161506653,258,40,1.0,40,Sensor,4,SIMPLE_CNN,1639,1,1,0.00026087660110111046,39.720141649246216,266244,81410f5a-ff6f-419b-bdaf-9560640bcbdd,True
FCN,CinCECGTorso,time_series,e11,0,uniform,completeness,0.9,1.2542526721954346,0.47753623127937317,1.2542526721954346,0.9195652008056641,1.0,0.5059406161308289,0.3702898621559143,0.7596532702445984,0.47753623127937317,329,36,0.9,40,Sensor,4,SIMPLE_CNN,1639,1,1,0.00028305612242722337,43.109729051589966,266244,42a091bd-5e71-44fb-b180-87dd1735aaa9,True
FCN,CinCECGTorso,time_series,e11,0,uniform,completeness,0.8,1.7170240879058838,0.2550724744796753,1.7170240879058838,0.752173900604248,1.0,0.2978723347187042,0.23333333432674408,0.5465266108512878,0.2550724744796753,251,36,0.9,40,Sensor,4,SIMPLE_CNN,1639,1,1,0.00021784592489559388,33.60400605201721,266244,9b1749e5-7c3c-4e0c-9df3-15acbbc8d226,True
FCN,CinCECGTorso,time_series,e11,0,uniform,completeness,0.7,1.0369181632995605,0.6391304135322571,1.0369181632995605,0.9753623008728027,1.0,0.658748984336853,0.6028985381126404,0.8641754984855652,0.6391304135322571,771,30,0.75,40,Sensor,4,SIMPLE_CNN,1639,1,1,0.00048403298970629735,76.44161128997803,266244,ce2cd4a6-2e6f-4cf6-9851-a887ee355e77,True
FCN,CinCECGTorso,time_series,e11,0,uniform,completeness,0.6,1.052551507949829,0.5949275493621826,1.052551507949829,0.9826086759567261,1.0,0.6146938800811768,0.5456521511077881,0.8499625325202942,0.5949275493621826,543,29,0.725,40,Sensor,4,SIMPLE_CNN,1639,1,1,0.00041585222864071246,63.26687526702881,266244,0ef77106-2976-4972-9631-9edf5f7f4c78,True
FCN,CinCECGTorso,time_series,e11,0,uniform,completeness,0.5,1.3897947072982788,0.33478260040283203,1.3897947072982788,0.7326086759567261,1.0,0.0,0.0,0.5097551345825195,0.33478260040283203,241,18,0.45,40,Sensor,4,SIMPLE_CNN,1639,1,1,0.0001661800753748606,32.124632835388184,266244,aa25a9e4-64b4-487f-81bf-5d95eb0ce3b7,True
FCN,CinCECGTorso,time_series,e11,0,uniform,completeness,0.4,1.5577385425567627,0.2659420371055603,1.5577385425567627,0.769565224647522,1.0,0.3137499988079071,0.1818840652704239,0.5338870286941528,0.2659420371055603,260,22,0.55,40,Sensor,4,SIMPLE_CNN,1639,1,1,0.00017891507918033002,31.37386131286621,266244,a8237be0-7529-444a-b14c-feb047cbc27b,True
FCN,CinCECGTorso,time_series,e11,0,uniform,completeness,0.3,1.3854272365570068,0.31594201922416687,1.3854272365570068,0.7355072498321533,1.0,0.0,0.0,0.5188674926757812,0.31594201922416687,241,12,0.3,40,Sensor,4,SIMPLE_CNN,1639,1,1,0.00012612769212976314,25.132696628570557,266244,62fbaa8b-2790-41a5-adea-061959f91578,True
FCN,CinCECGTorso,time_series,e11,0,uniform,completeness,0.2,6.9714555740356445,0.28985506296157837,6.9714555740356445,0.6398550868034363,1.0,0.29261156916618347,0.28985506296157837,0.547269880771637,0.28985506296157837,814,8,0.2,40,Sensor,4,SIMPLE_CNN,1639,1,1,0.0002502752382162134,48.42675161361694,266244,7f8c688b-d5d9-4056-8443-df615a3e7afc,True
RESNET,CinCECGTorso,time_series,e11,0,uniform,completeness,1.0,0.7647374868392944,0.7115942239761353,0.7647374868392944,0.9644927382469177,1.0,0.7307990789413452,0.6826087236404419,0.9139457941055298,0.7115941643714905,428,40,1.0,40,Sensor,4,RESNET,1639,1,1,0.0005347373185946423,85.27535676956177,507076,defa5b60-24e6-4c82-b029-bc16648dc799,True
RESNET,CinCECGTorso,time_series,e11,0,uniform,completeness,0.9,1.6297125816345215,0.2557970881462097,1.6297125816345215,0.7572463750839233,1.0,0.3333333432674408,0.20652173459529877,0.550733745098114,0.2557970881462097,189,37,0.925,40,Sensor,4,RESNET,1639,1,1,0.00024244322528256507,39.327752113342285,507076,1eb370c5-d0c8-4d86-bccd-e2695b479332,True
RESNET,CinCECGTorso,time_series,e11,0,uniform,completeness,0.8,1.3393375873565674,0.34202897548675537,1.3393375873565674,0.8463768362998962,1.0,0.4630071520805359,0.1405797153711319,0.6425971984863281,0.34202897548675537,194,30,0.75,40,Sensor,4,RESNET,1639,1,1,0.0002049951408969836,33.35595178604126,507076,7a26c26c-7ad7-4af7-ac58-746e69451598,True
RESNET,CinCECGTorso,time_series,e11,0,uniform,completeness,0.7,1.5496189594268799,0.25362318754196167,1.5496189594268799,0.7652173638343811,1.0,0.34201955795288086,0.22826087474822998,0.5325142741203308,0.25362318754196167,186,23,0.575,40,Sensor,4,RESNET,1639,1,1,0.00020840341866799406,31.214709043502808,507076,9e7ffae5-ab42-47a8-a5ce-99b0338eb279,True
RESNET,CinCECGTorso,time_series,e11,0,uniform,completeness,0.6,1.8989447355270386,0.47826087474823,1.8989447355270386,0.915217399597168,1.0,0.5013405084609985,0.406521737575531,0.6839484572410583,0.47826087474823,281,22,0.55,40,Sensor,4,RESNET,1639,1,1,0.00034205737199982645,55.30458855628967,507076,52929c45-3d4d-4bf8-a7d3-fc045a72a660,True
RESNET,CinCECGTorso,time_series,e11,0,uniform,completeness,0.5,1.9245319366455078,0.2963768243789673,1.9245319366455078,0.77173912525177,1.0,0.3043022155761719,0.21014492213726044,0.5297747254371643,0.2963768243789673,201,18,0.45,40,Sensor,4,RESNET,1639,1,1,0.0002607957002706897,42.131125926971436,507076,36fc8e5c-d0a6-4daf-9b59-1f9cb4eee9c7,True
RESNET,CinCECGTorso,time_series,e11,0,uniform,completeness,0.4,3.5097529888153076,0.24782608449459076,3.5097529888153076,0.7463768124580383,1.0,0.24927113950252533,0.24782608449459076,0.5652190446853638,0.24782608449459076,200,12,0.3,40,Sensor,4,RESNET,1639,1,1,0.0001902270033474779,31.494905710220337,507076,11fc662b-c1cb-4f87-acad-0ed3ef90e500,True
RESNET,CinCECGTorso,time_series,e11,0,uniform,completeness,0.3,1.7572405338287354,0.31014493107795715,1.7572405338287354,0.7463768124580383,1.0,0.10305343568325043,0.03913043439388275,0.4790687561035156,0.31014493107795715,193,11,0.275,40,Sensor,4,RESNET,1639,1,1,0.00018410591097879658,27.517563104629517,507076,be4b82d5-7dec-4f0f-af74-d413481dbd33,True
RESNET,CinCECGTorso,time_series,e11,0,uniform,completeness,0.2,1.3847116231918335,0.25,1.3847116231918335,0.7333333492279053,1.0,0.0,0.0,0.5164839625358582,0.25,181,8,0.2,40,Sensor,4,RESNET,1639,1,1,8.900167152637479e-05,15.646583557128906,507076,f7c86269-ae74-4fc2-a3a6-610acbfefaac,True
MLP,CinCECGTorso,time_series,e11,0,uniform,completeness,1.0,1.2369544506072998,0.47608694434165955,1.2369544506072998,0.8268116116523743,1.0,0.7068965435028076,0.08913043141365051,0.7116130590438843,0.47608694434165955,458,40,1.0,40,Sensor,4,SIMPLE_MLP,1639,1,1,0.00015757250702423607,33.17141008377075,1323004,127b5ccb-cd74-48e3-8189-70e7e4a256cd,True
MLP,CinCECGTorso,time_series,e11,0,uniform,completeness,0.9,0.8768692016601562,0.7246376872062683,0.8768692016601562,0.8608695864677429,1.0,0.8458197712898254,0.5644927620887756,0.8628001809120178,0.7246376276016235,1137,36,0.9,40,Sensor,4,SIMPLE_MLP,1639,1,1,0.00047811609900326636,102.74793028831482,1323004,da00ff31-206a-4210-a105-d864e3388a4b,True
MLP,CinCECGTorso,time_series,e11,0,uniform,completeness,0.8,1.099678874015808,0.6485507488250732,1.099678874015808,0.7971014380455017,1.0,0.844011127948761,0.43913042545318604,0.7836785316467285,0.6485507488250732,827,36,0.9,40,Sensor,4,SIMPLE_MLP,1639,1,1,0.0003391932778502233,73.53320646286011,1323004,16baa110-08d6-4cce-8c58-1fb132402465,True
MLP,CinCECGTorso,time_series,e11,0,uniform,completeness,0.7,1.006538987159729,0.6094202995300293,1.006538987159729,0.8471014499664307,1.0,0.8328651785850525,0.42971014976501465,0.8186021447181702,0.6094202995300293,948,29,0.725,40,Sensor,4,SIMPLE_MLP,1639,1,1,0.000399995063039476,86.4226462841034,1323004,5ac766ed-178f-410f-ab36-4ff5cc3b9697,True
MLP,CinCECGTorso,time_series,e11,0,uniform,completeness,0.6,1.2638192176818848,0.5811594128608704,1.2638192176818848,0.7862318754196167,1.0,0.6488616466522217,0.5369565486907959,0.7933759689331055,0.5811594128608704,2000,24,0.6,40,Sensor,4,SIMPLE_MLP,1639,1,1,0.0009346537776596159,202.96602630615234,1323004,18776b09-132c-4d2f-87e9-13bf207d2875,True
MLP,CinCECGTorso,time_series,e11,0,uniform,completeness,0.5,1.2464697360992432,0.6311594247817993,1.2464697360992432,0.7463768124580383,1.0,0.7183098793029785,0.554347813129425,0.7803573608398438,0.6311594247817993,1532,21,0.525,40,Sensor,4,SIMPLE_MLP,1639,1,1,0.0005212640213305834,112.49879622459412,1323004,d5d36c90-9dbd-4a98-a12b-3f02a6e92655,True
MLP,CinCECGTorso,time_series,e11,0,uniform,completeness,0.4,1.8937315940856934,0.4420289993286133,1.8937315940856934,0.7115942239761353,1.0,0.47646573185920715,0.4181159436702728,0.6756876111030579,0.44202902913093567,2000,20,0.5,40,Sensor,4,SIMPLE_MLP,1639,1,1,0.0006329163951866352,138.15391540527344,1323004,a7b3242c-9acb-49c2-9253-81c0def07539,True
