model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
FCN,Coffee,time_series,e11,0,uniform,completeness,1.0,2.650764226913452,0.4642857015132904,2.650764226913452,1.0,1.0,0.4642857015132904,0.4642857015132904,0.6466836929321289,0.4642857015132904,404,28,1.0,28,Spectro,2,SIMPLE_CNN,286,1,1,0.00033362499253968263,68.58401584625244,265986,1ba626d0-9ab9-4fc1-86c4-7c6b02eccfca,True
FCN,Coffee,time_series,e11,0,uniform,completeness,0.9,4.968729496002197,0.4642857015132904,4.968729496002197,1.0,1.0,0.4642857015132904,0.4642857015132904,0.4642857015132904,0.4642857015132904,448,23,0.8214285714285714,28,Spectro,2,SIMPLE_CNN,286,1,1,0.00021657812977700282,44.12785506248474,265986,188c3e12-eacf-4e1c-8541-0aa772900c10,True
FCN,Coffee,time_series,e11,0,uniform,completeness,0.8,8.773423194885254,0.4642857015132904,8.773423194885254,1.0,1.0,0.4642857015132904,0.4642857015132904,0.4642857015132904,0.4642857015132904,689,23,0.8214285714285714,28,Spectro,2,SIMPLE_CNN,286,1,1,0.000330423033408371,66.70979118347168,265986,0a0e6d96-6dea-4f77-9a24-e4acf587794b,True
FCN,Coffee,time_series,e11,0,uniform,completeness,0.7,5.872030735015869,0.4642857015132904,5.872030735015869,1.0,1.0,0.4642857015132904,0.4642857015132904,0.4642857015132904,0.4642857015132904,323,22,0.7857142857142857,28,Spectro,2,SIMPLE_CNN,286,1,1,0.00018102138734060185,36.9238440990448,265986,66ba79af-be2b-4a9d-a45d-a4bccba48de9,True
FCN,Coffee,time_series,e11,0,uniform,completeness,0.6,6.726376056671143,0.4642857015132904,6.726376056671143,1.0,1.0,0.4642857015132904,0.4642857015132904,0.4642857015132904,0.4642857015132904,395,22,0.7857142857142857,28,Spectro,2,SIMPLE_CNN,286,1,1,0.00022400643506832957,45.70468282699585,265986,de54ea3a-58b5-4341-b1f3-fd95fdeaf74a,True
FCN,Coffee,time_series,e11,0,uniform,completeness,0.5,7.210240840911865,0.4642857015132904,7.210240840911865,1.0,1.0,0.4642857015132904,0.4642857015132904,0.4642857015132904,0.4642857015132904,354,20,0.7142857142857143,28,Spectro,2,SIMPLE_CNN,286,1,1,0.0001544103651362642,31.26942491531372,265986,cd99d0da-3e6e-45be-a1f8-3b09b632b8bf,True
FCN,Coffee,time_series,e11,0,uniform,completeness,0.4,2.1031999588012695,0.4285714328289032,2.1031999588012695,1.0,1.0,0.4285714328289032,0.4285714328289032,0.21556124091148376,0.4285714328289032,597,15,0.5357142857142857,28,Spectro,2,SIMPLE_CNN,286,1,1,0.00032288092887644587,66.33937382698059,265986,b179312a-24e6-4ca1-88c2-ae2f582cd879,True
FCN,Coffee,time_series,e11,0,uniform,completeness,0.3,0.6922919154167175,0.5357142686843872,0.6922919154167175,1.0,1.0,0.5357142686843872,0.5357142686843872,0.7238520383834839,0.5357142686843872,243,6,0.21428571428571427,28,Spectro,2,SIMPLE_CNN,286,1,1,6.099644819982917e-05,12.452834129333496,265986,8215e9cd-01d0-4e9d-bc44-09974cf3f04e,True
FCN,Coffee,time_series,e11,0,uniform,completeness,0.2,6.316040515899658,0.4642857015132904,6.316040515899658,1.0,1.0,0.4642857015132904,0.4642857015132904,0.4642857015132904,0.4642857015132904,438,4,0.14285714285714285,28,Spectro,2,SIMPLE_CNN,286,1,1,0.00010587637698557613,21.95735192298889,265986,e8906150-bad9-4d00-af53-6d2cceb54340,True
RESNET,Coffee,time_series,e11,0,uniform,completeness,1.0,5.370625019073486,0.4642857015132904,5.370625019073486,1.0,1.0,0.4642857015132904,0.4642857015132904,0.4642857015132904,0.4642857015132904,219,28,1.0,28,Spectro,2,RESNET,286,1,1,0.00026793391316855394,54.315908670425415,506818,6af179a7-06ac-49b8-9ef0-898c1615e2b2,True
RESNET,Coffee,time_series,e11,0,uniform,completeness,0.9,0.0003054183325730264,1.0,0.0003054183325730264,1.0,1.0,1.0,1.0,1.0,1.0,1000,22,0.7857142857142857,28,Spectro,2,RESNET,286,1,1,0.0009246842622970547,187.02843284606934,506818,dca0b58a-b065-4f9f-a47f-0cc7ec719578,True
RESNET,Coffee,time_series,e11,0,uniform,completeness,0.8,0.01915716752409935,1.0,0.01915716752409935,1.0,1.0,1.0,1.0,0.9999999403953552,1.0,377,23,0.8214285714285714,28,Spectro,2,RESNET,286,1,1,0.00029680605422060814,58.17085266113281,506818,75c853c6-7a68-43d1-9eea-ac5a2eb459c4,True
RESNET,Coffee,time_series,e11,0,uniform,completeness,0.7,0.0034573215525597334,1.0,0.0034573215525597334,1.0,1.0,1.0,1.0,0.9999999403953552,1.0,339,25,0.8928571428571429,28,Spectro,2,RESNET,286,1,1,0.0002829280223799642,55.41716432571411,506818,70a49a4a-9e38-40ec-a99b-bff423306239,True
RESNET,Coffee,time_series,e11,0,uniform,completeness,0.6,0.0026942368131130934,1.0,0.0026942368131130934,1.0,1.0,1.0,1.0,1.0,1.0,1000,21,0.75,28,Spectro,2,RESNET,286,1,1,0.0007218931728103813,144.81305050849915,506818,f29ffd74-d4e9-4f44-ad1e-06ccd4f862dc,True
RESNET,Coffee,time_series,e11,0,uniform,completeness,0.5,0.7204414010047913,0.4642857015132904,0.7204414010047913,1.0,1.0,0.4642857015132904,0.4642857015132904,0.455357164144516,0.4642857015132904,181,14,0.5,28,Spectro,2,RESNET,286,1,1,0.00016623662997121858,33.895630836486816,506818,8d975235-e694-4ee5-b6ac-4aec88455d68,True
RESNET,Coffee,time_series,e11,0,uniform,completeness,0.4,0.2914133667945862,1.0,0.2914133667945862,1.0,1.0,1.0,1.0,1.0,1.0,361,10,0.35714285714285715,28,Spectro,2,RESNET,286,1,1,0.00024093312390267637,49.290600538253784,506818,72892362-580b-4fad-b263-81fddd5f113a,True
RESNET,Coffee,time_series,e11,0,uniform,completeness,0.3,0.7074587941169739,0.4642857015132904,0.7074587941169739,1.0,1.0,0.4642857015132904,0.4642857015132904,0.4642857015132904,0.4642857015132904,181,9,0.32142857142857145,28,Spectro,2,RESNET,286,1,1,6.996203754426034e-05,14.41976523399353,506818,718036ca-17e7-46c0-a700-a72c32c72dde,True
RESNET,Coffee,time_series,e11,0,uniform,completeness,0.2,0.6906871795654297,0.5357142686843872,0.6906871795654297,1.0,1.0,0.5357142686843872,0.5357142686843872,0.5076531171798706,0.5357142686843872,181,3,0.10714285714285714,28,Spectro,2,RESNET,286,1,1,6.748495560563442e-05,13.86001467704773,506818,38593a89-b995-4fe5-9733-52f965245c7d,True
MLP,Coffee,time_series,e11,0,uniform,completeness,1.0,0.4547124207019806,0.9285714030265808,0.4547124207019806,1.0,1.0,0.9285714030265808,0.9285714030265808,0.9897959232330322,0.9285714030265808,2000,28,1.0,28,Spectro,2,SIMPLE_MLP,286,1,1,0.0009195207636328136,190.99162912368774,645502,bd9df432-e30f-4605-8796-0aa384f5e155,True
MLP,Coffee,time_series,e11,0,uniform,completeness,0.9,0.7475455403327942,0.4642857015132904,0.7475455403327942,1.0,1.0,0.4642857015132904,0.4642857015132904,0.4859693944454193,0.4642857015132904,241,25,0.8928571428571429,28,Spectro,2,SIMPLE_MLP,286,1,1,9.805095789317714e-05,20.424317598342896,645502,7b372f0f-56d2-4863-84c8-7a8a14a154de,True
MLP,Coffee,time_series,e11,0,uniform,completeness,0.8,0.7836967706680298,0.4642857015132904,0.7836967706680298,1.0,1.0,0.4642857015132904,0.4642857015132904,0.29336732625961304,0.4642857015132904,241,25,0.8928571428571429,28,Spectro,2,SIMPLE_MLP,286,1,1,9.964732211086465e-05,20.747614860534668,645502,3746f95a-9056-4c5b-add1-472aa1f4b6a0,True
MLP,Coffee,time_series,e11,0,uniform,completeness,0.7,0.6892988085746765,0.5357142686843872,0.6892988085746765,1.0,1.0,0.5357142686843872,0.5357142686843872,0.5854592323303223,0.5357142686843872,241,23,0.8214285714285714,28,Spectro,2,SIMPLE_MLP,286,1,1,9.451704386324529e-05,19.410346746444702,645502,4e3f9bc1-5c57-429d-896b-4f14cc401d80,True
MLP,Coffee,time_series,e11,0,uniform,completeness,0.6,0.7828937768936157,0.4642857015132904,0.7828937768936157,1.0,1.0,0.4642857015132904,0.4642857015132904,0.6772959232330322,0.4642857015132904,241,18,0.6428571428571429,28,Spectro,2,SIMPLE_MLP,286,1,1,0.00011610567453539241,24.117514610290527,645502,c2b93ba7-1dc7-4c44-80db-d236ae3e1603,True
MLP,Coffee,time_series,e11,0,uniform,completeness,0.5,0.7058519721031189,0.3214285671710968,0.7058519721031189,1.0,1.0,0.3214285671710968,0.3214285671710968,0.3258928656578064,0.3214285671710968,241,17,0.6071428571428571,28,Spectro,2,SIMPLE_MLP,286,1,1,0.00011301662248877449,23.275136470794678,645502,40865ef8-6380-4a27-b711-4b29431bff6b,True
MLP,Coffee,time_series,e11,0,uniform,completeness,0.4,0.7068600654602051,0.4642857015132904,0.7068600654602051,1.0,1.0,0.4642857015132904,0.4642857015132904,0.4808673560619354,0.4642857015132904,241,9,0.32142857142857145,28,Spectro,2,SIMPLE_MLP,286,1,1,5.795737843846775e-05,12.148027658462524,645502,ccfcd8bc-3458-4d30-88e4-67f1e3cf953d,True
MLP,Coffee,time_series,e11,0,uniform,completeness,0.3,0.7903593182563782,0.4642857015132904,0.7903593182563782,1.0,1.0,0.4642857015132904,0.4642857015132904,0.6938775181770325,0.4642857015132904,241,10,0.35714285714285715,28,Spectro,2,SIMPLE_MLP,286,1,1,8.447050512886953e-05,17.387243032455444,645502,2dc8fa62-df6a-4efe-95a9-bccea7f7bb1f,True
MLP,Coffee,time_series,e11,0,uniform,completeness,0.2,0.6949343681335449,0.4642857015132904,0.6949343681335449,1.0,1.0,0.4642857015132904,0.4642857015132904,0.6237244606018066,0.4642857015132904,241,6,0.21428571428571427,28,Spectro,2,SIMPLE_MLP,286,1,1,5.054309029262698e-05,10.52899432182312,645502,c8b14316-9a98-493b-bdbe-ecf2c30d1353,True
FCN,Coffee,time_series,e11,1,uniform,completeness,1.0,5.7784881591796875,0.4642857015132904,5.7784881591796875,1.0,1.0,0.4642857015132904,0.4642857015132904,0.4642857015132904,0.4642857015132904,436,28,1.0,28,Spectro,2,SIMPLE_CNN,286,1,1,0.00028050143900882235,57.49151849746704,265986,44bbfd46-f0a8-4f11-8217-da682e3546ef,True
FCN,Coffee,time_series,e11,1,uniform,completeness,0.9,4.239939212799072,0.4642857015132904,4.239939212799072,1.0,1.0,0.4642857015132904,0.4642857015132904,0.4642857015132904,0.4642857015132904,346,26,0.9285714285714286,28,Spectro,2,SIMPLE_CNN,286,1,1,0.0002184985809837737,44.23578143119812,265986,74e9babf-6c9c-4f7a-b70c-534de8cc30b1,True
FCN,Coffee,time_series,e11,1,uniform,completeness,0.8,4.953537464141846,0.4642857015132904,4.953537464141846,1.0,1.0,0.4642857015132904,0.4642857015132904,0.4642857015132904,0.4642857015132904,393,20,0.7142857142857143,28,Spectro,2,SIMPLE_CNN,286,1,1,0.00016637515212221963,33.807995080947876,265986,72676fff-d342-45f4-a4b2-0e7267c842c6,True
FCN,Coffee,time_series,e11,1,uniform,completeness,0.7,11.34809398651123,0.4642857015132904,11.34809398651123,1.0,1.0,0.4642857015132904,0.4642857015132904,0.4642857015132904,0.4642857015132904,440,22,0.7857142857142857,28,Spectro,2,SIMPLE_CNN,286,1,1,0.0002398275145170726,48.97926473617554,265986,2dfd6744-ee6d-468e-9e65-af0296c2c0e7,True
FCN,Coffee,time_series,e11,1,uniform,completeness,0.6,12.976727485656738,0.4642857015132904,12.976727485656738,1.0,1.0,0.4642857015132904,0.4642857015132904,0.4642857015132904,0.4642857015132904,767,16,0.5714285714285714,28,Spectro,2,SIMPLE_CNN,286,1,1,0.0004296540874127134,88.49308395385742,265986,8bec1240-8282-4829-9b1b-88c3b12d2cbb,True
FCN,Coffee,time_series,e11,1,uniform,completeness,0.5,4.131444454193115,0.4642857015132904,4.131444454193115,1.0,1.0,0.4642857015132904,0.4642857015132904,0.4642857015132904,0.4642857015132904,701,16,0.5714285714285714,28,Spectro,2,SIMPLE_CNN,286,1,1,0.0003923294207091777,80.42871451377869,265986,9e3b018a-99c4-4f35-8f13-ab44f6def93c,True
FCN,Coffee,time_series,e11,1,uniform,completeness,0.4,1.6014622449874878,0.4642857015132904,1.6014622449874878,1.0,1.0,0.4642857015132904,0.4642857015132904,0.2818877398967743,0.4642857015132904,315,12,0.42857142857142855,28,Spectro,2,SIMPLE_CNN,286,1,1,0.00015215922067944772,31.3085196018219,265986,c071a4c6-4de3-4893-98e6-18ddc1c0a911,True
FCN,Coffee,time_series,e11,1,uniform,completeness,0.3,0.6902579069137573,0.5357142686843872,0.6902579069137573,1.0,1.0,0.5357142686843872,0.5357142686843872,0.5357142686843872,0.5357142686843872,241,6,0.21428571428571427,28,Spectro,2,SIMPLE_CNN,286,1,1,5.8704250138493054e-05,12.216507196426392,265986,fa796f95-dacb-4c5e-afa5-797630034da8,True
FCN,Coffee,time_series,e11,1,uniform,completeness,0.2,0.886439859867096,0.4642857015132904,0.886439859867096,1.0,1.0,0.4642857015132904,0.4642857015132904,0.7130101919174194,0.4642857015132904,872,6,0.21428571428571427,28,Spectro,2,SIMPLE_CNN,286,1,1,0.0001952381379581048,40.60181283950806,265986,d183ed0a-30e5-4e0d-b24f-b64490aa8125,True
RESNET,Coffee,time_series,e11,1,uniform,completeness,1.0,0.022827643901109695,1.0,0.022827643901109695,1.0,1.0,1.0,1.0,1.0,1.0,329,28,1.0,28,Spectro,2,RESNET,286,1,1,0.0003931730970578192,79.0030677318573,506818,65347abb-d0ec-4782-9155-ea3e968821d9,True
RESNET,Coffee,time_series,e11,1,uniform,completeness,0.9,44.31055450439453,0.4642857015132904,44.31055450439453,1.0,1.0,0.4642857015132904,0.4642857015132904,0.4642857015132904,0.4642857015132904,296,26,0.9285714285714286,28,Spectro,2,RESNET,286,1,1,0.00033261053997119975,67.48154520988464,506818,92f1e9c7-ec17-450c-a0a7-d2c61799482f,True
RESNET,Coffee,time_series,e11,1,uniform,completeness,0.8,0.0013293744996190071,1.0,0.0013293744996190071,1.0,1.0,1.0,1.0,0.9999999403953552,1.0,1000,23,0.8214285714285714,28,Spectro,2,RESNET,286,1,1,0.001019066417343801,204.88513779640198,506818,7a94dea0-612a-4dc8-af3c-d298e07383eb,True
RESNET,Coffee,time_series,e11,1,uniform,completeness,0.7,0.001897303736768663,1.0,0.001897303736768663,1.0,1.0,1.0,1.0,0.9999999403953552,1.0,373,23,0.8214285714285714,28,Spectro,2,RESNET,286,1,1,0.0002921822037164524,57.23681378364563,506818,07c6fdb7-f88b-4097-9d9d-e13de560cd02,True
RESNET,Coffee,time_series,e11,1,uniform,completeness,0.6,0.0020142621360719204,1.0,0.0020142621360719204,1.0,1.0,1.0,1.0,1.0,1.0,396,20,0.7142857142857143,28,Spectro,2,RESNET,286,1,1,0.0002830727375046514,55.492663621902466,506818,db75ed90-7abb-4b3d-97ca-f3d5055232e1,True
RESNET,Coffee,time_series,e11,1,uniform,completeness,0.5,0.9220820069313049,0.4642857015132904,0.9220820069313049,1.0,1.0,0.4642857015132904,0.4642857015132904,0.6492347121238708,0.4642857015132904,216,14,0.5,28,Spectro,2,RESNET,286,1,1,0.0001927234642906953,38.62612509727478,506818,90890c33-b81e-4f8b-a0ed-a98a4b621336,True
RESNET,Coffee,time_series,e11,1,uniform,completeness,0.4,0.49168965220451355,0.5714285969734192,0.49168965220451355,1.0,1.0,0.5714285969734192,0.5714285969734192,0.7372449040412903,0.5714285969734192,1000,11,0.39285714285714285,28,Spectro,2,RESNET,286,1,1,0.000682827451330363,138.66858577728271,506818,3e785af5-bce9-4d77-b1ab-571ceba850fe,True
RESNET,Coffee,time_series,e11,1,uniform,completeness,0.3,0.5379219055175781,0.5357142686843872,0.5379219055175781,1.0,1.0,0.5357142686843872,0.5357142686843872,0.7844387292861938,0.5357142686843872,276,10,0.35714285714285715,28,Spectro,2,RESNET,286,1,1,0.00019162930109661435,38.53017210960388,506818,188362f0-0377-45ce-ae54-7a361122348e,True
