model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
FCN,Computers,time_series,e11,0,uniform,completeness,1.0,1.6203322410583496,0.5080000162124634,1.6203322410583496,1.0,1.0,0.5080000162124634,0.5080000162124634,0.4795520305633545,0.5080000162124634,253,250,1.0,250,Device,2,SIMPLE_CNN,720,1,1,0.0004168568948506033,61.56062602996826,265986,30f8c39b-2b9f-4d96-9819-9d7d90bb3bd7,True
FCN,Computers,time_series,e11,0,uniform,completeness,0.9,1.4694463014602661,0.5799999833106995,1.4694463014602661,1.0,1.0,0.5799999833106995,0.5799999833106995,0.6569439768791199,0.5799999833106995,340,219,0.876,250,Device,2,SIMPLE_CNN,720,1,1,0.0004979242252897111,72.17762589454651,265986,7e6307d1-e693-49e3-8448-0112d057776f,True
FCN,Computers,time_series,e11,0,uniform,completeness,0.8,1.3870564699172974,0.5,1.3870564699172974,1.0,1.0,0.5,0.5,0.6038720607757568,0.5,257,190,0.76,250,Device,2,SIMPLE_CNN,720,1,1,0.00032084266165796903,49.18116593360901,265986,6cd1a90f-fbc8-4d56-a092-961c6fcf6d74,True
FCN,Computers,time_series,e11,0,uniform,completeness,0.7,2.1921987533569336,0.527999997138977,2.1921987533569336,1.0,1.0,0.527999997138977,0.527999997138977,0.5393280386924744,0.527999997138977,334,175,0.7,250,Device,2,SIMPLE_CNN,720,1,1,0.00041388417513510666,58.91281270980835,265986,2fa12b12-1350-4eee-ae5f-f1700c6b5f9e,True
FCN,Computers,time_series,e11,0,uniform,completeness,0.6,2.336596727371216,0.5479999780654907,2.336596727371216,1.0,1.0,0.5479999780654907,0.5479999780654907,0.6204959750175476,0.5479999780654907,401,151,0.604,250,Device,2,SIMPLE_CNN,720,1,1,0.00044979190009994077,62.41476392745972,265986,4280b920-3118-4e37-8a79-44c9ff68d027,True
FCN,Computers,time_series,e11,0,uniform,completeness,0.5,0.9174208045005798,0.671999990940094,0.9174208045005798,1.0,1.0,0.671999990940094,0.671999990940094,0.7596480250358582,0.671999990940094,608,124,0.496,250,Device,2,SIMPLE_CNN,720,1,1,0.0005423617849575679,86.44065833091736,265986,d6245e0f-683c-472f-a6ea-2c6d3438685f,True
FCN,Computers,time_series,e11,0,uniform,completeness,0.4,1.1203486919403076,0.5199999809265137,1.1203486919403076,1.0,1.0,0.5199999809265137,0.5199999809265137,0.4352000057697296,0.5199999809265137,252,102,0.408,250,Device,2,SIMPLE_CNN,720,1,1,0.00023311489639899464,34.31053352355957,265986,85026344-1995-409c-a180-9ae7527c0d1d,True
FCN,Computers,time_series,e11,0,uniform,completeness,0.3,8.495156288146973,0.4959999918937683,8.495156288146973,1.0,1.0,0.4959999918937683,0.4959999918937683,0.5018720030784607,0.4959999918937683,455,75,0.3,250,Device,2,SIMPLE_CNN,720,1,1,0.0003699548292547337,53.64868497848511,265986,29cddc24-ccd0-4212-86e1-eae4d98c78fe,True
FCN,Computers,time_series,e11,0,uniform,completeness,0.2,1.314984917640686,0.5,1.314984917640686,1.0,1.0,0.5,0.5,0.5932320356369019,0.5,254,46,0.184,250,Device,2,SIMPLE_CNN,720,1,1,0.0001729553567058658,31.649895668029785,265986,cae602c2-55fb-4252-9104-3531323579ec,True
RESNET,Computers,time_series,e11,0,uniform,completeness,1.0,3.895552158355713,0.5759999752044678,3.895552158355713,1.0,1.0,0.5759999752044678,0.5759999752044678,0.5914880037307739,0.5759999752044678,286,250,1.0,250,Device,2,RESNET,720,1,1,0.0008304573748222323,119.73012900352478,506818,4259fea5-a464-453f-b15c-3c279ad5d57c,True
RESNET,Computers,time_series,e11,0,uniform,completeness,0.9,3.50057053565979,0.5239999890327454,3.50057053565979,1.0,1.0,0.5239999890327454,0.5239999890327454,0.5657280087471008,0.5239999890327454,211,218,0.872,250,Device,2,RESNET,720,1,1,0.0005733717394286743,83.74945259094238,506818,1644061f-db19-4e6e-8311-68ea8275fe05,True
RESNET,Computers,time_series,e11,0,uniform,completeness,0.8,6.422317981719971,0.527999997138977,6.422317981719971,1.0,1.0,0.527999997138977,0.527999997138977,0.5463039875030518,0.527999997138977,311,198,0.792,250,Device,2,RESNET,720,1,1,0.0007554605377952585,114.88073873519897,506818,3e44915f-fede-4648-a53e-945a3c83e94c,True
RESNET,Computers,time_series,e11,0,uniform,completeness,0.7,6.170924186706543,0.5080000162124634,6.170924186706543,1.0,1.0,0.5080000162124634,0.5080000162124634,0.5023840665817261,0.5080000162124634,201,176,0.704,250,Device,2,RESNET,720,1,1,0.0004971472171368307,68.02538704872131,506818,98f6c618-a639-4114-8dea-698aa2754e73,True
