model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
FCN,CricketX,time_series,e11,0,uniform,completeness,1.0,0.7628234624862671,0.7846153974533081,0.7628234624862671,0.9435897469520569,0.9743589758872986,0.8027397394180298,0.7512820363044739,0.9656897187232971,0.7846153974533081,451,390,1.0,390,Motion,12,SIMPLE_CNN,300,1,1,0.0006655496360367304,102.24606704711914,267276,d388418a-ca38-46a7-a606-a687951b5575,True
FCN,CricketX,time_series,e11,0,uniform,completeness,0.9,0.7349966764450073,0.7769230604171753,0.7349966764450073,0.9333333373069763,0.971794843673706,0.800000011920929,0.7384615540504456,0.9692131280899048,0.7769230604171753,497,360,0.9230769230769231,390,Motion,12,SIMPLE_CNN,300,1,1,0.0006953693143543171,109.34952640533447,267276,627c5db2-80ad-432d-9474-49ca92e40f2a,True
FCN,CricketX,time_series,e11,0,uniform,completeness,0.8,0.8908183574676514,0.7538461685180664,0.8908183574676514,0.9128205180168152,0.9846153855323792,0.7877094745635986,0.7230769395828247,0.9581140279769897,0.7538461685180664,491,308,0.7897435897435897,390,Motion,12,SIMPLE_CNN,300,1,1,0.0006238852634376933,93.45332503318787,267276,97df79af-1059-4f51-a034-7a148322201e,True
FCN,CricketX,time_series,e11,0,uniform,completeness,0.7,1.0705372095108032,0.6820513010025024,1.0705372095108032,0.9128205180168152,0.9666666388511658,0.736389696598053,0.6589743494987488,0.9448538422584534,0.6820513010025024,425,283,0.7256410256410256,390,Motion,12,SIMPLE_CNN,300,1,1,0.0005015658458244291,74.89705801010132,267276,8e5870e8-2a39-46be-aa10-fb28dc9fce1a,True
FCN,CricketX,time_series,e11,0,uniform,completeness,0.6,0.8719647526741028,0.7179487347602844,0.8719647526741028,0.9076923131942749,0.9692307710647583,0.7993826866149902,0.6641025543212891,0.9663386344909668,0.7179486751556396,427,220,0.5641025641025641,390,Motion,12,SIMPLE_CNN,300,1,1,0.0004129671478552161,63.456135272979736,267276,d53df093-7dbc-4fd9-98f0-be8c4c4d8c43,True
FCN,CricketX,time_series,e11,0,uniform,completeness,0.5,0.8798120617866516,0.7307692170143127,0.8798120617866516,0.9076923131942749,0.9692307710647583,0.7828571200370789,0.7025641202926636,0.9579792618751526,0.7307692170143127,457,208,0.5333333333333333,390,Motion,12,SIMPLE_CNN,300,1,1,0.00041795895022295036,65.27127432823181,267276,3cd91c3d-0705-406d-b400-e3118b59757f,True
FCN,CricketX,time_series,e11,0,uniform,completeness,0.4,1.1523748636245728,0.6282051205635071,1.1523748636245728,0.8743589520454407,0.9538461565971375,0.7099999785423279,0.5461538434028625,0.9397977590560913,0.6282051205635071,724,152,0.38974358974358975,390,Motion,12,SIMPLE_CNN,300,1,1,0.0005106980002295374,90.78476023674011,267276,98dd35c1-31f6-4f03-a868-7bbbf3ed9151,True
FCN,CricketX,time_series,e11,0,uniform,completeness,0.3,1.6697176694869995,0.5974358916282654,1.6697176694869995,0.8025640845298767,0.928205132484436,0.6544342637062073,0.5487179756164551,0.8877210021018982,0.5974358916282654,494,119,0.30512820512820515,390,Motion,12,SIMPLE_CNN,300,1,1,0.0003196343208160077,62.23824381828308,267276,fcfa25d7-366e-4907-93cb-f16105d758b5,True
FCN,CricketX,time_series,e11,0,uniform,completeness,0.2,1.623578667640686,0.5512820482254028,1.623578667640686,0.7256410121917725,0.8384615182876587,0.7083333134651184,0.47948718070983887,0.8791273832321167,0.5512820482254028,468,82,0.21025641025641026,390,Motion,12,SIMPLE_CNN,300,1,1,0.0003004001846561394,60.92290234565735,267276,d66530b4-89df-42e5-8447-9f175e137b79,True
RESNET,CricketX,time_series,e11,0,uniform,completeness,1.0,0.7471886277198792,0.7512820363044739,0.7471886277198792,0.928205132484436,0.9692307710647583,0.8231884241104126,0.728205144405365,0.9719516038894653,0.7512820363044739,273,390,1.0,390,Motion,12,RESNET,300,1,1,0.0005485958781931109,81.1768684387207,508108,aad5066d-f7da-499f-89b6-cc182fdc4ee5,True
RESNET,CricketX,time_series,e11,0,uniform,completeness,0.9,1.042801022529602,0.6871795058250427,1.042801022529602,0.8999999761581421,0.971794843673706,0.729106605052948,0.6487179398536682,0.9477397799491882,0.6871795058250427,345,354,0.9076923076923077,390,Motion,12,RESNET,300,1,1,0.0007024569362799432,108.79828643798828,508108,6cfb6c94-a628-4ca6-b16d-f9ef0b6a0d84,True
