model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
FCN,CricketY,time_series,e11,0,uniform,completeness,1.0,0.6893961429595947,0.764102578163147,0.6893961429595947,0.964102566242218,0.9871794581413269,0.7949438095092773,0.7256410121917725,0.9768065810203552,0.764102578163147,437,390,1.0,390,Motion,12,SIMPLE_CNN,300,1,1,0.0006299790854970467,93.8610999584198,267276,3237757f-2a9d-43ef-b0c3-3e6c855f89f3,True
FCN,CricketY,time_series,e11,0,uniform,completeness,0.9,0.8469606041908264,0.7230769395828247,0.8469606041908264,0.9333333373069763,0.9846153855323792,0.7599999904632568,0.6820513010025024,0.9666290283203125,0.7230769395828247,419,348,0.8923076923076924,390,Motion,12,SIMPLE_CNN,300,1,1,0.0005397066653801091,84.76255249977112,267276,6d558b58-60b7-4176-a17f-ce688ca91763,True
FCN,CricketY,time_series,e11,0,uniform,completeness,0.8,0.8069738745689392,0.7230769395828247,0.8069738745689392,0.9461538195610046,0.9820512533187866,0.7790697813034058,0.6871795058250427,0.9690502882003784,0.7230769395828247,494,310,0.7948717948717948,390,Motion,12,SIMPLE_CNN,300,1,1,0.0006095799134187315,89.51066541671753,267276,63ed74d3-e6dd-449a-87a1-1f2e73a6c3f5,True
FCN,CricketY,time_series,e11,0,uniform,completeness,0.7,0.7919451594352722,0.7666666507720947,0.7919451594352722,0.9615384340286255,0.9794871807098389,0.7916666865348816,0.7307692170143127,0.9650481343269348,0.7666666507720947,534,281,0.7205128205128205,390,Motion,12,SIMPLE_CNN,300,1,1,0.0006063184647279135,88.42744636535645,267276,a836a7c2-e80b-4046-9a02-6d7fecdadbb7,True
FCN,CricketY,time_series,e11,0,uniform,completeness,0.6,1.0154973268508911,0.6538461446762085,1.0154973268508911,0.9128205180168152,0.9692307710647583,0.7102803587913513,0.5846154093742371,0.9508896470069885,0.6538461446762085,414,232,0.5948717948717949,390,Motion,12,SIMPLE_CNN,300,1,1,0.00038264688757462295,52.95653223991394,267276,7aca1258-ab61-4f1b-a402-e4c86a87bd3a,True
FCN,CricketY,time_series,e11,0,uniform,completeness,0.5,1.0236338376998901,0.6589743494987488,1.0236338376998901,0.9128205180168152,0.964102566242218,0.7204968929290771,0.5948718190193176,0.9486706256866455,0.6589743494987488,614,197,0.5051282051282051,390,Motion,12,SIMPLE_CNN,300,1,1,0.000545427780889391,80.31957387924194,267276,be6ebd7a-fa2f-4168-ad62-62d29e321fbc,True
FCN,CricketY,time_series,e11,0,uniform,completeness,0.4,1.2379169464111328,0.6641025543212891,1.2379169464111328,0.8717948794364929,0.9307692050933838,0.7259036302566528,0.6179487109184265,0.9286262392997742,0.6641025543212891,619,145,0.3717948717948718,390,Motion,12,SIMPLE_CNN,300,1,1,0.00040741554182995943,71.6282913684845,267276,06a5baba-1386-42e1-97fe-63d921b025ae,True
FCN,CricketY,time_series,e11,0,uniform,completeness,0.3,1.0882631540298462,0.6025640964508057,1.0882631540298462,0.8871794939041138,0.9487179517745972,0.695364236831665,0.5384615659713745,0.9439567923545837,0.6025640964508057,448,128,0.3282051282051282,390,Motion,12,SIMPLE_CNN,300,1,1,0.0002903156997544068,53.151474952697754,267276,efe7189f-7505-4467-961d-5fdbd82dcac1,True
FCN,CricketY,time_series,e11,0,uniform,completeness,0.2,1.7785228490829468,0.47948718070983887,1.7785228490829468,0.7923076748847961,0.8743589520454407,0.5472312569618225,0.4307692348957062,0.8685628771781921,0.47948718070983887,618,72,0.18461538461538463,390,Motion,12,SIMPLE_CNN,300,1,1,0.0003375992307592047,69.75114798545837,267276,8b530421-833e-406e-b24b-82099f3fcc5f,True
RESNET,CricketY,time_series,e11,0,uniform,completeness,1.0,0.5590585470199585,0.7897436022758484,0.5590585470199585,0.9692307710647583,0.9923076629638672,0.8554572463035583,0.7435897588729858,0.9853131771087646,0.7897436022758484,279,390,1.0,390,Motion,12,RESNET,300,1,1,0.0005834458796198812,83.94544720649719,508108,919a84cc-4eb4-4be2-94df-4d579dfac31c,True
