model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
FCN,CricketZ,time_series,e11,0,uniform,completeness,1.0,0.6250827312469482,0.7897436022758484,0.6250827312469482,0.9461538195610046,0.9871794581413269,0.8246575593948364,0.771794855594635,0.9809293150901794,0.7897436022758484,624,390,1.0,390,Motion,12,SIMPLE_CNN,300,1,1,0.0008617952572204182,134.66957688331604,267276,75be2243-fdea-45e1-9c00-c38a1c42241f,True
FCN,CricketZ,time_series,e11,0,uniform,completeness,0.9,0.6875616908073425,0.7897436022758484,0.6875616908073425,0.9358974099159241,0.971794843673706,0.8319559097290039,0.7743589878082275,0.9751847386360168,0.7897436022758484,665,356,0.9128205128205128,390,Motion,12,SIMPLE_CNN,300,1,1,0.0008303997534239079,118.68443512916565,267276,81fcec49-75a4-4565-994b-7b17bffb6c80,True
FCN,CricketZ,time_series,e11,0,uniform,completeness,0.8,0.8026542663574219,0.7435897588729858,0.8026542663574219,0.9384615421295166,0.971794843673706,0.7976539731025696,0.6974359154701233,0.9678786993026733,0.7435896992683411,494,320,0.8205128205128205,390,Motion,12,SIMPLE_CNN,300,1,1,0.0005479189803799912,78.75201392173767,267276,5f8937f8-94df-4762-8895-1a6ac51b40bb,True
FCN,CricketZ,time_series,e11,0,uniform,completeness,0.7,0.8061637878417969,0.7435897588729858,0.8061637878417969,0.9256410002708435,0.9820512533187866,0.8119403123855591,0.6974359154701233,0.9680861830711365,0.7435896992683411,531,277,0.7102564102564103,390,Motion,12,SIMPLE_CNN,300,1,1,0.0005792046410777903,87.32421588897705,267276,ac625359-c746-41a6-9e32-b746a0b5f8e9,True
FCN,CricketZ,time_series,e11,0,uniform,completeness,0.6,0.8972495794296265,0.7487179636955261,0.8972495794296265,0.9256410002708435,0.9769230484962463,0.7937853336334229,0.7205128073692322,0.9608789086341858,0.7487179636955261,903,225,0.5769230769230769,390,Motion,12,SIMPLE_CNN,300,1,1,0.0007995008999387313,127.52713942527771,267276,f686b8bf-056f-4497-a4ff-2f95f028dc3b,True
FCN,CricketZ,time_series,e11,0,uniform,completeness,0.5,0.8396345973014832,0.7410256266593933,0.8396345973014832,0.9102563858032227,0.9666666388511658,0.8005780577659607,0.7102563977241516,0.9641438722610474,0.7410256266593933,594,206,0.5282051282051282,390,Motion,12,SIMPLE_CNN,300,1,1,0.0005052329726895536,80.3633120059967,267276,563f2a09-1fdc-49f3-af92-4f7f7737bd10,True
FCN,CricketZ,time_series,e11,0,uniform,completeness,0.4,0.9454079866409302,0.7025641202926636,0.9454079866409302,0.8999999761581421,0.9615384340286255,0.7740963697433472,0.6589743494987488,0.9575263857841492,0.7025641202926636,1000,156,0.4,390,Motion,12,SIMPLE_CNN,300,1,1,0.0008064120153619625,143.5702383518219,267276,b314c59e-6cc6-4802-b3d2-f2f0651910f0,True
FCN,CricketZ,time_series,e11,0,uniform,completeness,0.3,1.0363672971725464,0.6692307591438293,1.0363672971725464,0.8666666746139526,0.9256410002708435,0.7615894079208374,0.5897436141967773,0.94776850938797,0.6692307591438293,511,125,0.32051282051282054,390,Motion,12,SIMPLE_CNN,300,1,1,0.0003093141180288263,60.98506259918213,267276,2d3f8dd2-ea29-4f5d-82bf-82fe7c392d76,True
FCN,CricketZ,time_series,e11,0,uniform,completeness,0.2,1.7264366149902344,0.47948718070983887,1.7264366149902344,0.7512820363044739,0.8820512890815735,0.57421875,0.3769230842590332,0.8683751821517944,0.47948718070983887,506,62,0.15897435897435896,390,Motion,12,SIMPLE_CNN,300,1,1,0.0002826422874854118,59.65621280670166,267276,ade5fdfe-4c8e-4f9b-9ccf-390af2f59557,True
RESNET,CricketZ,time_series,e11,0,uniform,completeness,1.0,0.7658845782279968,0.7820512652397156,0.7658845782279968,0.9487179517745972,0.9794871807098389,0.800000011920929,0.7589743733406067,0.9715539216995239,0.7820512056350708,1000,390,1.0,390,Motion,12,RESNET,300,1,1,0.0019108357122952972,283.73162865638733,508108,99f07cee-30e6-48c0-bcb0-1b0a57cfc711,True
