model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
FCN,Crop,time_series,e11,0,uniform,completeness,1.0,4.855704307556152,0.0416666679084301,4.855704307556152,0.1721428632736206,0.2879762053489685,0.06988169252872467,0.04148809611797333,0.5329782962799072,0.0416666679084301,301,7200,1.0,7200,Image,24,SIMPLE_CNN,46,1,1,0.003520555387003431,714.5773725509644,268824,2fc8e05a-06f3-497e-aea0-a1a6fd7dc663,True
FCN,Crop,time_series,e11,0,uniform,completeness,0.9,5.887418270111084,0.0416666679084301,5.887418270111084,0.12297619134187698,0.23577381670475006,0.04650853946805,0.0416666679084301,0.5120107531547546,0.0416666679084301,301,6515,0.9048611111111111,7200,Image,24,SIMPLE_CNN,46,1,1,0.003847510714955816,815.0345890522003,268824,8674a7df-f4a3-4153-9b07-6789861ace8d,True
FCN,Crop,time_series,e11,0,uniform,completeness,0.8,3.0285866260528564,0.2824404835700989,3.0285866260528564,0.5524404644966125,0.6997023820877075,0.29675546288490295,0.0669642835855484,0.8043923377990723,0.2824404835700989,302,5771,0.8015277777777777,7200,Image,24,SIMPLE_CNN,46,1,1,0.0034587500090425033,736.5067505836487,268824,1e63ab7a-2288-41e8-8d68-a54027126c48,True
FCN,Crop,time_series,e11,0,uniform,completeness,0.7,2.8496267795562744,0.22083333134651184,2.8496267795562744,0.4933333396911621,0.6290476322174072,0.22645950317382812,0.028630953282117844,0.795420229434967,0.22083333134651184,302,5056,0.7022222222222222,7200,Image,24,SIMPLE_CNN,46,1,1,0.002991092154512293,635.2638754844666,268824,e57c58e4-7188-4425-bd8b-f79ee49397d7,True
FCN,Crop,time_series,e11,0,uniform,completeness,0.6,3.724648952484131,0.08624999970197678,3.724648952484131,0.22505952417850494,0.40386903285980225,0.23356807231903076,0.02369047701358795,0.6751465201377869,0.08624999970197678,302,4308,0.5983333333333334,7200,Image,24,SIMPLE_CNN,46,1,1,0.002613104491780413,553.0814723968506,268824,ba5ffdde-ac58-443b-bb55-727207b672d8,True
FCN,Crop,time_series,e11,0,uniform,completeness,0.5,4.529401779174805,0.05226190388202667,4.529401779174805,0.125,0.24077381193637848,0.0,0.0,0.5075238943099976,0.05226190760731697,301,3616,0.5022222222222222,7200,Image,24,SIMPLE_CNN,46,1,1,0.0023623860117558764,474.098087310791,268824,7188c845-476b-4c32-b2c8-ee349ad4bdba,True
FCN,Crop,time_series,e11,0,uniform,completeness,0.4,5.137179374694824,0.04327381029725075,5.137179374694824,0.14202381670475006,0.27690476179122925,0.09759608656167984,0.04035714268684387,0.5692782998085022,0.04327381029725075,303,2957,0.4106944444444444,7200,Image,24,SIMPLE_CNN,46,1,1,0.0019386339210873884,387.75368070602417,268824,77372e93-a4a2-4208-882d-47e8038fbdec,True
FCN,Crop,time_series,e11,0,uniform,completeness,0.3,4.115455150604248,0.0416666679084301,4.115455150604248,0.125,0.20940476655960083,0.0,0.0,0.5101330280303955,0.0416666679084301,301,2200,0.3055555555555556,7200,Image,24,SIMPLE_CNN,46,1,1,0.0014281615224466385,286.1807498931885,268824,31ebd1cb-cef7-470e-95db-6640e62163cf,True
FCN,Crop,time_series,e11,0,uniform,completeness,0.2,3.6337342262268066,0.0416666679084301,3.6337342262268066,0.125,0.23119047284126282,0.0,0.0,0.5195648670196533,0.0416666679084301,301,1457,0.2023611111111111,7200,Image,24,SIMPLE_CNN,46,1,1,0.0009711622527534443,193.4425084590912,268824,ae1b7ba0-fa45-45e4-88f3-85b62222ea87,True
RESNET,Crop,time_series,e11,0,uniform,completeness,1.0,4.223989486694336,0.034880951046943665,4.223989486694336,0.125,0.2083333283662796,0.0,0.0,0.5226610898971558,0.034880951046943665,251,7200,1.0,7200,Image,24,RESNET,46,1,1,0.002643304522587429,396.79757952690125,509656,f6e6c4b9-1fe1-4894-ad2c-7bf97b87e70e,True
RESNET,Crop,time_series,e11,0,uniform,completeness,0.9,3.6850388050079346,0.0416666679084301,3.6850388050079346,0.125,0.2393452376127243,0.0,0.0,0.5027560591697693,0.0416666679084301,251,6491,0.9015277777777778,7200,Image,24,RESNET,46,1,1,0.002404046509805507,364.4990451335907,509656,1c4efc43-4fd6-493f-aecf-91c7f3e14c31,True
RESNET,Crop,time_series,e11,0,uniform,completeness,0.8,3.458706855773926,0.0416666679084301,3.458706855773926,0.1430952399969101,0.21244047582149506,0.0,0.0,0.526860773563385,0.0416666679084301,251,5703,0.7920833333333334,7200,Image,24,RESNET,46,1,1,0.0020960630652617773,315.1241226196289,509656,fda34d45-ff54-4e0b-973a-9bab9d5308dc,True
RESNET,Crop,time_series,e11,0,uniform,completeness,0.7,3.3038742542266846,0.04244047775864601,3.3038742542266846,0.16404761373996735,0.26726189255714417,0.0,0.0,0.5485635995864868,0.04244047775864601,251,4984,0.6922222222222222,7200,Image,24,RESNET,46,1,1,0.0018461489062479544,277.82859539985657,509656,9b019462-32c2-4d40-b803-b1ecdb8fadc4,True
RESNET,Crop,time_series,e11,0,uniform,completeness,0.6,3.476402521133423,0.05267857015132904,3.476402521133423,0.1433333307504654,0.25482141971588135,0.0,0.0,0.5287691950798035,0.05267857015132904,251,4251,0.5904166666666667,7200,Image,24,RESNET,46,1,1,0.0016203888000093766,244.38719964027405,509656,061d9a42-2d94-4b98-9dd8-4c6b11193568,True
RESNET,Crop,time_series,e11,0,uniform,completeness,0.5,3.263411045074463,0.0416666679084301,3.263411045074463,0.15976190567016602,0.2001785784959793,0.0,0.0,0.5376673340797424,0.0416666679084301,251,3602,0.5002777777777778,7200,Image,24,RESNET,46,1,1,0.0013662236974432615,207.3458957672119,509656,d073fc11-c457-4181-825c-b246e5079f78,True
RESNET,Crop,time_series,e11,0,uniform,completeness,0.4,3.2337934970855713,0.06904762238264084,3.2337934970855713,0.13547618687152863,0.22476190328598022,0.0,0.0,0.5220387578010559,0.06904762238264084,251,2914,0.4047222222222222,7200,Image,24,RESNET,46,1,1,0.001110973970102452,170.68701910972595,509656,d0778f03-f37f-49d7-b1c8-c55cd451ba2a,True
RESNET,Crop,time_series,e11,0,uniform,completeness,0.3,3.165745258331299,0.0791071429848671,3.165745258331299,0.153273805975914,0.24136905372142792,0.0,0.0,0.5446614027023315,0.0791071429848671,251,2162,0.30027777777777775,7200,Image,24,RESNET,46,1,1,0.0008690120132474976,131.041433095932,509656,6ad2cd25-b6f7-4d8a-913a-0dce68a3612c,True
RESNET,Crop,time_series,e11,0,uniform,completeness,0.2,3.1663527488708496,0.047261904925107956,3.1663527488708496,0.18880952894687653,0.31119048595428467,0.0,0.0,0.5391423106193542,0.04726190119981766,251,1401,0.19458333333333333,7200,Image,24,RESNET,46,1,1,0.0005608918743514337,89.08320021629333,509656,b336daf4-6b84-4d31-800a-af07979818c9,True
MLP,Crop,time_series,e11,0,uniform,completeness,1.0,3.167189836502075,0.03761904686689377,3.167189836502075,0.11642856895923615,0.21613095700740814,0.0,0.0,0.5361970663070679,0.03761904686689377,301,7200,1.0,7200,Image,24,SIMPLE_MLP,46,1,1,0.002796452864670336,581.110996723175,536524,55e9fee2-68a3-43be-85b3-efe544adef49,True
MLP,Crop,time_series,e11,0,uniform,completeness,0.9,3.1718239784240723,0.04226190596818924,3.1718239784240723,0.17107142508029938,0.25529763102531433,0.0,0.0,0.5302999019622803,0.04226190596818924,301,6489,0.90125,7200,Image,24,SIMPLE_MLP,46,1,1,0.0025279764847022895,524.3927342891693,536524,ec8f24aa-9a2a-46c9-a56a-f9c2947a0bb6,True
MLP,Crop,time_series,e11,0,uniform,completeness,0.8,3.176992177963257,0.02339285798370838,3.176992177963257,0.10999999940395355,0.1857738047838211,0.0,0.0,0.5208786129951477,0.02339285798370838,301,5766,0.8008333333333333,7200,Image,24,SIMPLE_MLP,46,1,1,0.002468394448383714,513.8551437854767,536524,a970b87a-26c0-4efc-9a65-7df68e68a054,True
MLP,Crop,time_series,e11,0,uniform,completeness,0.7,3.1459648609161377,0.08684524148702621,3.1459648609161377,0.19946429133415222,0.2901190519332886,0.0,0.0,0.5954052209854126,0.08684524148702621,301,5028,0.6983333333333334,7200,Image,24,SIMPLE_MLP,46,1,1,0.0021364691702356834,443.35493516921997,536524,d1ec7d0d-a688-4a25-b819-ec194d8ef5e1,True
MLP,Crop,time_series,e11,0,uniform,completeness,0.6,3.1839656829833984,0.04285714402794838,3.1839656829833984,0.13672618567943573,0.19160714745521545,0.0,0.0,0.5022492408752441,0.04285714402794838,301,4314,0.5991666666666666,7200,Image,24,SIMPLE_MLP,46,1,1,0.001858001084648951,388.2256031036377,536524,fc86cb8d-2d25-44b6-ad35-329ec428f487,True
