model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
FCN,DiatomSizeReduction,time_series,e11,0,uniform,completeness,1.0,3.086723566055298,0.3006536066532135,3.086723566055298,0.8660130500793457,1.0,0.3006536066532135,0.3006536066532135,0.6344177722930908,0.3006536066532135,959,16,1.0,16,Image,4,SIMPLE_CNN,345,1,1,0.0005448938042273865,121.09715342521667,266244,914ac249-d980-4134-8f77-4285c3df0b47,True
FCN,DiatomSizeReduction,time_series,e11,0,uniform,completeness,0.9,2.642228364944458,0.3006536066532135,2.642228364944458,0.8921568393707275,1.0,0.3006536066532135,0.3006536066532135,0.6689698696136475,0.3006536066532135,556,15,0.9375,16,Image,4,SIMPLE_CNN,345,1,1,0.00027530112193777714,60.67939782142639,266244,606398bf-8682-413a-af2d-723b79424e00,True
FCN,DiatomSizeReduction,time_series,e11,0,uniform,completeness,0.8,1.8068281412124634,0.5882353186607361,1.8068281412124634,0.8725489974021912,1.0,0.6579925417900085,0.5784313678741455,0.667239785194397,0.5882353186607361,560,12,0.75,16,Image,4,SIMPLE_CNN,345,1,1,0.0002422979690506903,52.725462198257446,266244,8799cdaa-2009-4b52-a4f1-09f078856465,True
FCN,DiatomSizeReduction,time_series,e11,0,uniform,completeness,0.7,2.1647703647613525,0.584967315196991,2.1647703647613525,0.8660130500793457,1.0,0.5841584205627441,0.5784313678741455,0.6232804656028748,0.584967315196991,926,12,0.75,16,Image,4,SIMPLE_CNN,345,1,1,0.0003902215355082459,84.88902115821838,266244,b2195916-4d38-49b8-acd8-839c5199374f,True
FCN,DiatomSizeReduction,time_series,e11,0,uniform,completeness,0.6,1.3831275701522827,0.30718955397605896,1.3831275701522827,0.6993464231491089,1.0,0.0,0.0,0.5326797366142273,0.30718955397605896,241,7,0.4375,16,Image,4,SIMPLE_CNN,345,1,1,5.81802193465407e-05,12.592848777770996,266244,0f53c01f-dccc-41d8-b4ab-fe93d401d7c3,True
FCN,DiatomSizeReduction,time_series,e11,0,uniform,completeness,0.5,1.3506633043289185,0.30718955397605896,1.3506633043289185,0.8921568393707275,1.0,0.0,0.0,0.6351082921028137,0.30718955397605896,284,7,0.4375,16,Image,4,SIMPLE_CNN,345,1,1,6.765286307994454e-05,14.845064163208008,266244,192eea2d-40d0-47b2-8c3e-240492bc3bc3,True
FCN,DiatomSizeReduction,time_series,e11,0,uniform,completeness,0.4,23.22543716430664,0.3006536066532135,23.22543716430664,0.6928104758262634,1.0,0.3006536066532135,0.3006536066532135,0.5337690711021423,0.3006536066532135,654,8,0.5,16,Image,4,SIMPLE_CNN,345,1,1,0.00015042581586171275,32.74467062950134,266244,24b8d6f4-30b2-4037-9c70-47ba90efee87,True
FCN,DiatomSizeReduction,time_series,e11,0,uniform,completeness,0.3,13.955647468566895,0.3006536066532135,13.955647468566895,0.686274528503418,1.0,0.3006536066532135,0.3006536066532135,0.5337690711021423,0.3006536066532135,425,6,0.375,16,Image,4,SIMPLE_CNN,345,1,1,9.908587858386537e-05,21.391518592834473,266244,2efaa5c2-62d9-4c51-86da-22e6e34e6a2e,True
FCN,DiatomSizeReduction,time_series,e11,0,uniform,completeness,0.2,5.680660724639893,0.3006536066532135,5.680660724639893,0.8921568393707275,1.0,0.3006536066532135,0.3006536066532135,0.5337690711021423,0.3006536066532135,1000,2,0.125,16,Image,4,SIMPLE_CNN,345,1,1,0.0002280663989544752,49.789074659347534,266244,2bdf11b4-3db6-4a0d-afee-bb247c91379f,True
RESNET,DiatomSizeReduction,time_series,e11,0,uniform,completeness,1.0,0.6521314978599548,0.8594771027565002,0.6521314978599548,0.9901960492134094,1.0,0.8877550959587097,0.5686274766921997,0.9489548802375793,0.8594771027565002,282,16,1.0,16,Image,4,RESNET,345,1,1,0.0002661182824501855,56.045632123947144,507076,55ca8c72-2413-4123-92a4-2d01d588cc37,True
RESNET,DiatomSizeReduction,time_series,e11,0,uniform,completeness,0.9,7.769461154937744,0.3006536066532135,7.769461154937744,0.6928104758262634,1.0,0.3006536066532135,0.3006536066532135,0.5337690711021423,0.3006536066532135,221,16,1.0,16,Image,4,RESNET,345,1,1,0.0002083235698151654,43.502498388290405,507076,ad0f5e5d-d237-4e56-8d7b-3b965b593526,True
