model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
FCN,DistalPhalanxTW,time_series,e11,0,uniform,completeness,1.0,0.7440503835678101,0.7338129281997681,0.7440503835678101,0.9784172773361206,1.0,0.7943925261497498,0.6115108132362366,0.9442523121833801,0.7338129281997681,326,400,1.0,400,Image,6,SIMPLE_CNN,80,1,1,0.00037128223198600605,74.28137826919556,266502,7b96a870-5b7f-4227-a8e2-c8a8cbd0778f,True
FCN,DistalPhalanxTW,time_series,e11,0,uniform,completeness,0.9,0.7594025135040283,0.7194244861602783,0.7594025135040283,0.971222996711731,1.0,0.7818182110786438,0.6187050342559814,0.9416075348854065,0.7194244265556335,292,362,0.905,400,Image,6,SIMPLE_CNN,80,1,1,0.00031015019688691555,62.96825194358826,266502,9ab434f5-3d1f-425e-b668-bf7e5ed09e8c,True
FCN,DistalPhalanxTW,time_series,e11,0,uniform,completeness,0.8,0.7139395475387573,0.7266187071800232,0.7139395475387573,0.9784172773361206,0.9928057789802551,0.7711864113807678,0.6546762585639954,0.9478650689125061,0.7266187071800232,353,309,0.7725,400,Image,6,SIMPLE_CNN,80,1,1,0.0003324192528410319,65.16675734519958,266502,292c0c3f-53d1-48c4-85b5-76c55e5238fa,True
FCN,DistalPhalanxTW,time_series,e11,0,uniform,completeness,0.7,0.818336009979248,0.6834532618522644,0.818336009979248,0.971222996711731,1.0,0.7435897588729858,0.6258992552757263,0.9322136044502258,0.6834532618522644,328,292,0.73,400,Image,6,SIMPLE_CNN,80,1,1,0.0003026203978205058,60.95485782623291,266502,31f16154-1271-4572-b1ad-fa8cf1dd2ffb,True
FCN,DistalPhalanxTW,time_series,e11,0,uniform,completeness,0.6,0.9317060708999634,0.6690647602081299,0.9317060708999634,0.935251772403717,1.0,0.7200000286102295,0.6474820375442505,0.9196106791496277,0.6690647602081299,301,247,0.6175,400,Image,6,SIMPLE_CNN,80,1,1,0.0002549932831489094,51.034754514694214,266502,30f14338-d100-410b-ad28-ddd7fafeb0cb,True
FCN,DistalPhalanxTW,time_series,e11,0,uniform,completeness,0.5,0.8781653642654419,0.6906474828720093,0.8781653642654419,0.9784172773361206,1.0,0.7076923251152039,0.6618704795837402,0.9355725049972534,0.6906474828720093,431,206,0.515,400,Image,6,SIMPLE_CNN,80,1,1,0.00029364334230660066,59.24692702293396,266502,1e2c6a2c-837e-48cb-941c-b36429c0ff10,True
FCN,DistalPhalanxTW,time_series,e11,0,uniform,completeness,0.4,0.8789768218994141,0.6618704795837402,0.8789768218994141,0.935251772403717,1.0,0.7542372941970825,0.6402877569198608,0.9236737489700317,0.6618704795837402,305,153,0.3825,400,Image,6,SIMPLE_CNN,80,1,1,0.00019398781838900794,38.43228816986084,266502,a9b1b004-6c38-4c03-a0f3-d574e08ea58c,True
FCN,DistalPhalanxTW,time_series,e11,0,uniform,completeness,0.3,3.5458481311798096,0.5467625856399536,3.5458481311798096,0.8633093237876892,0.9640287756919861,0.55474454164505,0.5467625856399536,0.7957248091697693,0.5467625856399536,470,109,0.2725,400,Image,6,SIMPLE_CNN,80,1,1,0.0002886476196851018,58.07262372970581,266502,126fd92e-7149-4a58-98a2-16ba08ecadc7,True
FCN,DistalPhalanxTW,time_series,e11,0,uniform,completeness,0.2,2.1713006496429443,0.6402877569198608,2.1713006496429443,0.9136690497398376,0.9856114983558655,0.6449275612831116,0.6402877569198608,0.8510636687278748,0.6402877569198608,533,72,0.18,400,Image,6,SIMPLE_CNN,80,1,1,0.0003159188726385156,64.06914830207825,266502,d6f0a432-d7f3-4630-a864-58604c2db7b1,True
RESNET,DistalPhalanxTW,time_series,e11,0,uniform,completeness,1.0,1.0591527223587036,0.6906474828720093,1.0591527223587036,0.9424460530281067,1.0,0.7022900581359863,0.6618704795837402,0.9176439642906189,0.6906474828720093,248,400,1.0,400,Image,6,RESNET,80,1,1,0.00028522918966317727,41.43587827682495,507334,03dc8d76-d45c-4eeb-8eef-18359e6b798d,True
RESNET,DistalPhalanxTW,time_series,e11,0,uniform,completeness,0.9,0.8663789629936218,0.7050359845161438,0.8663789629936218,0.9496402740478516,1.0,0.7894737124443054,0.6474820375442505,0.9380519390106201,0.7050359845161438,238,374,0.935,400,Image,6,RESNET,80,1,1,0.0003335974151723273,58.02086329460144,507334,d412e6b7-859b-4be6-a4ba-52025f1ef462,True
RESNET,DistalPhalanxTW,time_series,e11,0,uniform,completeness,0.8,1.2747185230255127,0.6402877569198608,1.2747185230255127,0.8920863270759583,1.0,0.6910569071769714,0.6115108132362366,0.8934580087661743,0.6402877569198608,252,321,0.8025,400,Image,6,RESNET,80,1,1,0.00027245947227614404,46.33729314804077,507334,564d14a6-1cfd-4629-88f3-2951123b28f9,True
RESNET,DistalPhalanxTW,time_series,e11,0,uniform,completeness,0.7,1.390271782875061,0.5323740839958191,1.390271782875061,0.935251772403717,1.0,0.578125,0.5323740839958191,0.8874540328979492,0.5323740839958191,275,292,0.73,400,Image,6,RESNET,80,1,1,0.0003429936537084927,64.85839867591858,507334,9da6afee-4c92-4da6-88fb-e5b230f1702a,True
RESNET,DistalPhalanxTW,time_series,e11,0,uniform,completeness,0.6,1.2817925214767456,0.568345308303833,1.2817925214767456,0.8417266011238098,0.971222996711731,0.6822429895401001,0.5251798629760742,0.8759639263153076,0.568345308303833,237,238,0.595,400,Image,6,RESNET,80,1,1,0.0002840278570926188,54.11228370666504,507334,54cb7993-ea92-4ff9-93de-2f23f04718c2,True
RESNET,DistalPhalanxTW,time_series,e11,0,uniform,completeness,0.5,1.3781800270080566,0.6546762585639954,1.3781800270080566,0.9136690497398376,0.971222996711731,0.6796875,0.6258992552757263,0.8950571417808533,0.6546762585639954,237,191,0.4775,400,Image,6,RESNET,80,1,1,0.0002269990478912988,40.29861044883728,507334,314001d9-539e-4b92-9fb6-009b294fffc4,True
RESNET,DistalPhalanxTW,time_series,e11,0,uniform,completeness,0.4,1.343685269355774,0.5827338099479675,1.343685269355774,0.9064748287200928,0.9784172773361206,0.6048387289047241,0.5395683646202087,0.8859686255455017,0.5827338099479675,219,162,0.405,400,Image,6,RESNET,80,1,1,0.00026249933473887477,51.222819566726685,507334,a65f9ab7-e7e1-4f47-ab8b-0197877116ba,True
