model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
FCN,ECG5000,time_series,e11,0,uniform,completeness,1.0,1.3346420526504517,0.3535555601119995,1.3346420526504517,0.9484444260597229,1.0,0.0,0.0,0.8517581224441528,0.3535555601119995,241,500,1.0,500,ECG,5,SIMPLE_CNN,140,1,1,0.00042817768584622255,78.95242428779602,266373,4bfca317-1e11-40df-9efa-b0102bb6a4de,True
FCN,ECG5000,time_series,e11,0,uniform,completeness,0.9,1.3057920932769775,0.35466668009757996,1.3057920932769775,0.9611111283302307,1.0,0.0,0.0,0.8565793633460999,0.35466668009757996,241,449,0.898,500,ECG,5,SIMPLE_CNN,140,1,1,0.00031940678841578676,60.4128737449646,266373,a5b5d4cb-cfc4-49e6-b430-05385413e48c,True
FCN,ECG5000,time_series,e11,0,uniform,completeness,0.8,1.3301106691360474,0.35333332419395447,1.3301106691360474,0.9555555582046509,1.0,0.0,0.0,0.8592557311058044,0.35333332419395447,241,391,0.782,500,ECG,5,SIMPLE_CNN,140,1,1,0.00027578161437644355,55.066611766815186,266373,41e3be33-0af5-4cc1-9588-3c3626396bc4,True
FCN,ECG5000,time_series,e11,0,uniform,completeness,0.7,1.378204584121704,0.35466668009757996,1.378204584121704,0.9553333520889282,1.0,0.0,0.0,0.8627874851226807,0.35466668009757996,241,339,0.678,500,ECG,5,SIMPLE_CNN,140,1,1,0.00026697899456888544,50.15828347206116,266373,54fd8191-b938-46e9-89eb-1b4777cef1a6,True
FCN,ECG5000,time_series,e11,0,uniform,completeness,0.6,1.3600494861602783,0.3588888943195343,1.3600494861602783,0.9562222361564636,1.0,0.0,0.0,0.8537013530731201,0.3588888943195343,241,304,0.608,500,ECG,5,SIMPLE_CNN,140,1,1,0.0002311005287708925,44.645233392715454,266373,d4fadd51-5a1a-4eaa-beb3-ebbf77b7258a,True
FCN,ECG5000,time_series,e11,0,uniform,completeness,0.5,1.365878701210022,0.7984444499015808,1.365878701210022,0.9419999718666077,1.0,0.0,0.0,0.9230813384056091,0.7984444499015808,241,244,0.488,500,ECG,5,SIMPLE_CNN,140,1,1,0.00019850113677343385,37.48738074302673,266373,b87df12c-237f-418c-becb-8167f7a5672a,True
FCN,ECG5000,time_series,e11,0,uniform,completeness,0.4,1.2847707271575928,0.3691111207008362,1.2847707271575928,0.9431111216545105,1.0,0.0,0.0,0.8514959216117859,0.3691111207008362,242,190,0.38,500,ECG,5,SIMPLE_CNN,140,1,1,0.00016995913669239047,32.5922908782959,266373,b28a2a3a-8624-4227-a212-b1f3ec99da72,True
FCN,ECG5000,time_series,e11,0,uniform,completeness,0.3,1.4497755765914917,0.8488888740539551,1.4497755765914917,0.9546666741371155,1.0,0.0,0.0,0.9381270408630371,0.8488889336585999,241,151,0.302,500,ECG,5,SIMPLE_CNN,140,1,1,0.0001397325825304484,26.45835018157959,266373,c0958318-fa8a-496c-897f-fb499a805889,True
FCN,ECG5000,time_series,e11,0,uniform,completeness,0.2,1.3564958572387695,0.3535555601119995,1.3564958572387695,0.9559999704360962,1.0,0.0,0.0,0.8551271557807922,0.3535555601119995,242,98,0.196,500,ECG,5,SIMPLE_CNN,140,1,1,0.00014548040565666272,29.876269578933716,266373,aebbcd4f-2f07-4d86-a7d3-f0d203a216b3,True
RESNET,ECG5000,time_series,e11,0,uniform,completeness,1.0,1.2723512649536133,0.8646666407585144,1.2723512649536133,0.9582222104072571,1.0,0.0,0.0,0.9400857090950012,0.8646666407585144,182,500,1.0,500,ECG,5,RESNET,140,1,1,0.00030147739520315647,46.00309896469116,507205,3612e94e-1f06-4b6b-a64c-4fe06cefcb21,True
