model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
FCN,EOGHorizontalSignal,time_series,e11,0,uniform,completeness,1.0,2.0430397987365723,0.36464089155197144,2.0430397987365723,0.7071823477745056,0.8950276374816895,0.4121863842010498,0.3176795542240143,0.8515818119049072,0.3646409213542938,442,362,1.0,362,EOG,12,SIMPLE_CNN,1250,1,1,0.001471797226619171,218.30073618888855,267276,676cb128-c50a-4588-bc7c-d3e58a55a82b,True
FCN,EOGHorizontalSignal,time_series,e11,0,uniform,completeness,0.9,1.7821444272994995,0.5386740565299988,1.7821444272994995,0.8011049628257751,0.9364640712738037,0.6034482717514038,0.48342540860176086,0.9078040719032288,0.5386740565299988,572,334,0.9226519337016574,362,EOG,12,SIMPLE_CNN,1250,1,1,0.001804430869940841,260.36121892929077,267276,548aed0a-9b7c-4d49-a993-c080fe40639f,True
FCN,EOGHorizontalSignal,time_series,e11,0,uniform,completeness,0.8,2.454522132873535,0.36464089155197144,2.454522132873535,0.6629834175109863,0.8784530162811279,0.4611872136592865,0.2790055274963379,0.827231228351593,0.3646409213542938,497,279,0.7707182320441989,362,EOG,12,SIMPLE_CNN,1250,1,1,0.0012779865669857225,190.2872338294983,267276,e1b78d9c-87be-4fc3-912e-0ca6c6a2e936,True
FCN,EOGHorizontalSignal,time_series,e11,0,uniform,completeness,0.7,2.6979191303253174,0.39502763748168945,2.6979191303253174,0.6519337296485901,0.8839778900146484,0.43288591504096985,0.3563535809516907,0.8163943886756897,0.39502763748168945,830,234,0.6464088397790055,362,EOG,12,SIMPLE_CNN,1250,1,1,0.0018417522134857596,270.4326527118683,267276,7ef0102b-c5c9-462e-9a05-fd7baf54d7dd,True
FCN,EOGHorizontalSignal,time_series,e11,0,uniform,completeness,0.6,4.291057586669922,0.32044199109077454,4.291057586669922,0.6850828528404236,0.7790055274963379,0.32198143005371094,0.28729280829429626,0.7699581980705261,0.32044199109077454,574,213,0.5883977900552486,362,EOG,12,SIMPLE_CNN,1250,1,1,0.0011436896597695333,170.86669063568115,267276,c560545f-6428-4fca-a13e-7c59b16057a3,True
FCN,EOGHorizontalSignal,time_series,e11,0,uniform,completeness,0.5,1.9594401121139526,0.4751381278038025,1.9594401121139526,0.8093922734260559,0.9419889450073242,0.4964788854122162,0.38950276374816895,0.8917244076728821,0.4751381278038025,817,186,0.5138121546961326,362,EOG,12,SIMPLE_CNN,1250,1,1,0.0015202404629407744,217.30761218070984,267276,cde67f4b-706c-4e5f-b72b-6b1c12c3ad7f,True
FCN,EOGHorizontalSignal,time_series,e11,0,uniform,completeness,0.4,2.2382493019104004,0.34530386328697205,2.2382493019104004,0.6353591084480286,0.8204419612884521,0.43820226192474365,0.2154696136713028,0.8148602843284607,0.34530386328697205,426,155,0.4281767955801105,362,EOG,12,SIMPLE_CNN,1250,1,1,0.0006896988502068858,98.69886946678162,267276,cf91b14d-2385-4c8e-8d5a-aa2ad550479d,True
FCN,EOGHorizontalSignal,time_series,e11,1,uniform,completeness,1.0,2.5058445930480957,0.4558010995388031,2.5058445930480957,0.7458563446998596,0.8867403268814087,0.5354330539703369,0.37569060921669006,0.8371830582618713,0.4558010995388031,538,362,1.0,362,EOG,12,SIMPLE_CNN,1250,1,1,0.0018739905997329316,275.8610146045685,267276,ddf9c20c-3996-4d54-b16b-3064b9f871f8,True
FCN,EOGHorizontalSignal,time_series,e11,1,uniform,completeness,0.9,3.4148740768432617,0.47237569093704224,3.4148740768432617,0.7403314709663391,0.8618784546852112,0.5687022805213928,0.4116021990776062,0.812628448009491,0.47237569093704224,582,333,0.919889502762431,362,EOG,12,SIMPLE_CNN,1250,1,1,0.0017966252015896445,264.08502864837646,267276,16daa13a-89db-4272-9ade-d4deb71bba2c,True
FCN,EOGHorizontalSignal,time_series,e11,1,uniform,completeness,0.8,2.0512118339538574,0.37569060921669006,2.0512118339538574,0.7071823477745056,0.90055251121521,0.5698924660682678,0.1464088410139084,0.8448161482810974,0.37569063901901245,306,292,0.8066298342541437,362,EOG,12,SIMPLE_CNN,1250,1,1,0.0008627917741906734,123.17701315879822,267276,9e0f1396-0f09-4825-91d9-92778b645630,True
