model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
FCN,EOGVerticalSignal,time_series,e11,0,uniform,completeness,1.0,1.8527921438217163,0.4447513818740845,1.8527921438217163,0.7817679643630981,0.8701657652854919,0.5202952027320862,0.38950276374816895,0.8755820393562317,0.4447513818740845,660,362,1.0,362,EOG,12,SIMPLE_CNN,1250,1,1,0.002204001850406738,327.510125875473,267276,1bcb674a-0d9a-406a-b927-8d2f46230de1,True
FCN,EOGVerticalSignal,time_series,e11,0,uniform,completeness,0.9,1.8072956800460815,0.37016573548316956,1.8072956800460815,0.7099447250366211,0.9116021990776062,0.4953271150588989,0.2928176820278168,0.8651920557022095,0.37016573548316956,536,332,0.9171270718232044,362,EOG,12,SIMPLE_CNN,1250,1,1,0.0016186716147968887,238.23341631889343,267276,a8a4c8f7-25bf-4624-860b-23eb475d6614,True
FCN,EOGVerticalSignal,time_series,e11,0,uniform,completeness,0.8,1.6942654848098755,0.4060773551464081,1.6942654848098755,0.6464088559150696,0.8453038930892944,0.7980769276618958,0.22928176820278168,0.8534923195838928,0.4060773551464081,434,296,0.8176795580110497,362,EOG,12,SIMPLE_CNN,1250,1,1,0.0012106013662252022,172.39823579788208,267276,fd26cfbe-679e-4e8d-9eb8-b0ea502273dc,True
FCN,EOGVerticalSignal,time_series,e11,0,uniform,completeness,0.7,5.351044654846191,0.1767955869436264,5.351044654846191,0.3535911738872528,0.47790056467056274,0.2078651636838913,0.10220994800329208,0.5789593458175659,0.1767955869436264,362,252,0.6961325966850829,362,EOG,12,SIMPLE_CNN,1250,1,1,0.000877029336014054,127.09375071525574,267276,a5f2e8c8-5ed5-4ca2-b000-9c20d4b51522,True
FCN,EOGVerticalSignal,time_series,e11,0,uniform,completeness,0.6,1.978283405303955,0.33149170875549316,1.978283405303955,0.6740331649780273,0.8370165824890137,0.46330276131629944,0.2790055274963379,0.8366551399230957,0.33149170875549316,626,199,0.5497237569060773,362,EOG,12,SIMPLE_CNN,1250,1,1,0.001241080575953472,178.34669971466064,267276,518aa32a-ff2e-4789-9404-0d07ad561823,True
FCN,EOGVerticalSignal,time_series,e11,0,uniform,completeness,0.5,2.1008403301239014,0.2983425557613373,2.1008403301239014,0.6657458543777466,0.8011049628257751,0.44999998807907104,0.17403315007686615,0.7934179902076721,0.2983425557613373,596,182,0.5027624309392266,362,EOG,12,SIMPLE_CNN,1250,1,1,0.0010684547398517401,159.1581518650055,267276,f2ef3b08-623f-4251-be3d-073fd4c00dd8,True
FCN,EOGVerticalSignal,time_series,e11,0,uniform,completeness,0.4,2.689607858657837,0.40883979201316833,2.689607858657837,0.6519337296485901,0.8232043981552124,0.5179283022880554,0.3591160178184509,0.8260951638221741,0.40883979201316833,943,136,0.3756906077348066,362,EOG,12,SIMPLE_CNN,1250,1,1,0.0014411793707659638,208.43622636795044,267276,42e112e6-7d21-4d5d-a224-9f826c1cf31f,True
FCN,EOGVerticalSignal,time_series,e11,0,uniform,completeness,0.3,2.2564895153045654,0.33149170875549316,2.2564895153045654,0.5718231797218323,0.7154695987701416,0.46794870495796204,0.2016574591398239,0.7895016670227051,0.33149170875549316,896,104,0.287292817679558,362,EOG,12,SIMPLE_CNN,1250,1,1,0.0010978264225510962,164.53934383392334,267276,bf961784-e32a-4c60-b169-dc3a9b0789d0,True
FCN,EOGVerticalSignal,time_series,e11,0,uniform,completeness,0.2,2.14192533493042,0.37016573548316956,2.14192533493042,0.6546961069107056,0.8287292718887329,0.484375,0.1712707132101059,0.8074456453323364,0.37016573548316956,718,71,0.19613259668508287,362,EOG,12,SIMPLE_CNN,1250,1,1,0.000683093987466272,100.06349968910217,267276,bbddd4fc-9517-402c-96b9-5f5758405285,True
RESNET,EOGVerticalSignal,time_series,e11,0,uniform,completeness,1.0,1.996079921722412,0.4419889450073242,1.996079921722412,0.6988950371742249,0.8038673996925354,0.532567024230957,0.38397789001464844,0.8466500639915466,0.4419889450073242,416,362,1.0,362,EOG,12,RESNET,1250,1,1,0.0026646189347149843,391.3076436519623,508108,7715fd79-86d2-4e40-8c8a-486a858f7413,True
