model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
FCN,FaceAll,time_series,e11,0,uniform,completeness,1.0,2.6022226810455322,0.10000000149011612,2.6022226810455322,0.20828402042388916,0.38343194127082825,0.0,0.0,0.5916578769683838,0.10000000894069672,301,560,1.0,560,Image,14,SIMPLE_CNN,131,1,1,0.0004556704708122197,94.44510102272034,267534,89585dca-97fd-4c9e-a8ba-8a673c906af5,True
FCN,FaceAll,time_series,e11,0,uniform,completeness,0.9,2.5895602703094482,0.08047337085008621,2.5895602703094482,0.30000001192092896,0.37278106808662415,0.0,0.0,0.602587878704071,0.08047337085008621,301,505,0.9017857142857143,560,Image,14,SIMPLE_CNN,131,1,1,0.0003835567577388131,78.60770583152771,267534,e0338cfc-1c05-4e1b-98d3-144542cc83e3,True
FCN,FaceAll,time_series,e11,0,uniform,completeness,0.8,2.6023552417755127,0.08047337085008621,2.6023552417755127,0.29171597957611084,0.42189347743988037,0.0,0.0,0.5721380710601807,0.08047337085008621,301,442,0.7892857142857143,560,Image,14,SIMPLE_CNN,131,1,1,0.00036148714106291733,72.0295946598053,267534,8049c35a-9e1b-4b9c-8ebe-1425f7107a91,True
FCN,FaceAll,time_series,e11,0,uniform,completeness,0.7,2.6195781230926514,0.08047337085008621,2.6195781230926514,0.2769230902194977,0.34201183915138245,0.0,0.0,0.5429762601852417,0.08047337085008621,301,404,0.7214285714285714,560,Image,14,SIMPLE_CNN,131,1,1,0.0003223380733760096,65.92627835273743,267534,372b05f1-4adb-48de-a9ce-ca8d8d783153,True
FCN,FaceAll,time_series,e11,0,uniform,completeness,0.6,2.573378086090088,0.13668638467788696,2.573378086090088,0.2846153974533081,0.4911242723464966,0.0,0.0,0.6609658598899841,0.13668638467788696,301,349,0.6232142857142857,560,Image,14,SIMPLE_CNN,131,1,1,0.00028967354032907895,59.19342517852783,267534,2c243006-f3dd-415b-9791-e67f3ffb9d66,True
FCN,FaceAll,time_series,e11,0,uniform,completeness,0.5,2.6081321239471436,0.20118343830108643,2.6081321239471436,0.2668639123439789,0.40532544255256653,0.0,0.0,0.5891938805580139,0.20118343830108643,301,273,0.4875,560,Image,14,SIMPLE_CNN,131,1,1,0.0002453170813397829,50.04979968070984,267534,fc716e60-c948-4e60-82f4-060921156cde,True
FCN,FaceAll,time_series,e11,0,uniform,completeness,0.4,2.6005868911743164,0.19763313233852386,2.6005868911743164,0.35266271233558655,0.5384615659713745,0.0,0.0,0.6520029306411743,0.19763314723968506,301,208,0.37142857142857144,560,Image,14,SIMPLE_CNN,131,1,1,0.00019983065183178908,41.50606727600098,267534,fb0df2e1-b4a7-4f66-a5ef-3d89315b7f9c,True
FCN,FaceAll,time_series,e11,0,uniform,completeness,0.3,2.616431951522827,0.04378698393702507,2.616431951522827,0.24733728170394897,0.4254437983036041,0.0,0.0,0.5877929925918579,0.04378698393702507,301,168,0.3,560,Image,14,SIMPLE_CNN,131,1,1,0.00017623536757909713,36.36689829826355,267534,cfa89f13-4af3-4084-ad44-e8e7dd1aef7b,True
FCN,FaceAll,time_series,e11,0,uniform,completeness,0.2,2.6237375736236572,0.12011834233999252,2.6237375736236572,0.35976332426071167,0.4775148034095764,0.0,0.0,0.6011772751808167,0.12011834233999252,301,109,0.19464285714285715,560,Image,14,SIMPLE_CNN,131,1,1,0.00016379906493486527,36.0212926864624,267534,4c09133c-f889-471d-a5d2-a3634fcb783a,True
RESNET,FaceAll,time_series,e11,0,uniform,completeness,1.0,2.607656955718994,0.0721893459558487,2.607656955718994,0.3461538553237915,0.5159763097763062,0.0,0.0,0.6315224766731262,0.0721893459558487,251,560,1.0,560,Image,14,RESNET,131,1,1,0.00038817770789769616,57.39471769332886,508366,a65ff9f7-90f8-4f9e-8be4-c79b6c747f80,True
RESNET,FaceAll,time_series,e11,0,uniform,completeness,0.9,2.6246907711029053,0.1319526582956314,2.6246907711029053,0.2840236723423004,0.3662721812725067,0.0,0.0,0.5760124921798706,0.1319526582956314,251,493,0.8803571428571428,560,Image,14,RESNET,131,1,1,0.00040856867654289413,62.799659967422485,508366,7a731b5c-28c7-4d3c-bfa2-3c2e7e980ff3,True
RESNET,FaceAll,time_series,e11,0,uniform,completeness,0.8,2.5837011337280273,0.25147929787635803,2.5837011337280273,0.3147929012775421,0.5680473446846008,0.0,0.0,0.6971573829650879,0.25147929787635803,252,450,0.8035714285714286,560,Image,14,RESNET,131,1,1,0.00035272065589942266,50.52439308166504,508366,04532a06-2db3-479e-ba97-6a16da65771f,True
RESNET,FaceAll,time_series,e11,0,uniform,completeness,0.7,2.610384225845337,0.11775147914886475,2.610384225845337,0.33372780680656433,0.5005916953086853,0.0,0.0,0.6445519924163818,0.11775148659944534,251,383,0.6839285714285714,560,Image,14,RESNET,131,1,1,0.000389575341946177,58.19318437576294,508366,76afcfbf-5725-4660-9444-0e3e8739965e,True
RESNET,FaceAll,time_series,e11,0,uniform,completeness,0.6,2.61724591255188,0.10118342936038971,2.61724591255188,0.3254437744617462,0.5343195199966431,0.0,0.0,0.6045156717300415,0.1011834368109703,251,338,0.6035714285714285,560,Image,14,RESNET,131,1,1,0.00036687206253534145,55.54299569129944,508366,57b61cee-55d2-4d8b-af26-1bd31f14c9f7,True
RESNET,FaceAll,time_series,e11,0,uniform,completeness,0.5,2.601763963699341,0.1633136123418808,2.601763963699341,0.29822486639022827,0.389349102973938,0.0,0.0,0.6152485013008118,0.1633136123418808,252,283,0.5053571428571428,560,Image,14,RESNET,131,1,1,0.000327498471679721,54.553746700286865,508366,61e380ac-18cf-484d-abe9-e646eb395a71,True
RESNET,FaceAll,time_series,e11,0,uniform,completeness,0.4,2.5918796062469482,0.09526627510786057,2.5918796062469482,0.4307692348957062,0.5461538434028625,0.0,0.0,0.6445210576057434,0.09526627510786057,252,223,0.3982142857142857,560,Image,14,RESNET,131,1,1,0.0002922907367458612,51.685770988464355,508366,b1b6028b-50c3-4d5c-a7e8-324f2e909b3d,True
RESNET,FaceAll,time_series,e11,0,uniform,completeness,0.3,2.6059136390686035,0.1218934878706932,2.6059136390686035,0.3165680468082428,0.5591716170310974,0.0,0.0,0.584159791469574,0.1218934878706932,252,184,0.32857142857142857,560,Image,14,RESNET,131,1,1,0.0002868381827897514,52.47499632835388,508366,55022c5e-213b-433f-a0db-89f8478835b2,True
RESNET,FaceAll,time_series,e11,0,uniform,completeness,0.2,2.618866205215454,0.07514792680740356,2.618866205215454,0.38461539149284363,0.4591715931892395,0.0,0.0,0.5901022553443909,0.07514792680740356,251,108,0.19285714285714287,560,Image,14,RESNET,131,1,1,0.0002538616166582234,52.26015782356262,508366,7c652c2c-f546-48cb-9838-9f4e6d47fc25,True
MLP,FaceAll,time_series,e11,0,uniform,completeness,1.0,2.707622766494751,0.08047337085008621,2.707622766494751,0.18875738978385925,0.2952662706375122,0.0,0.0,0.46702563762664795,0.08047337085008621,301,560,1.0,560,Image,14,SIMPLE_MLP,131,1,1,0.00028034221828312106,62.44105815887451,574014,72a3cba2-dbf9-47db-ad40-1f60db1a44b7,True
MLP,FaceAll,time_series,e11,0,uniform,completeness,0.9,2.7127621173858643,0.02840236760675907,2.7127621173858643,0.1017751470208168,0.24852071702480316,0.0,0.0,0.446502685546875,0.02840236760675907,301,497,0.8875,560,Image,14,SIMPLE_MLP,131,1,1,0.00024956502881411644,55.86105418205261,574014,9f15810e-3e3c-47e2-ab1a-b114faad1731,True
MLP,FaceAll,time_series,e11,0,uniform,completeness,0.8,2.7067246437072754,0.09467455744743347,2.7067246437072754,0.22189348936080933,0.35088756680488586,0.0,0.0,0.4807063341140747,0.09467455744743347,301,443,0.7910714285714285,560,Image,14,SIMPLE_MLP,131,1,1,0.0002286767327623335,51.338371992111206,574014,68712c26-6025-441e-aa2f-cafd51bc141f,True
MLP,FaceAll,time_series,e11,0,uniform,completeness,0.7,2.618149518966675,0.0615384615957737,2.618149518966675,0.25029584765434265,0.4378698170185089,0.0,0.0,0.5676402449607849,0.0615384615957737,301,401,0.7160714285714286,560,Image,14,SIMPLE_MLP,131,1,1,0.00021329492024682042,48.19036531448364,574014,ff75edac-4351-479c-af4c-3595c6175b39,True
MLP,FaceAll,time_series,e11,0,uniform,completeness,0.6,2.706550121307373,0.08284023404121399,2.706550121307373,0.20769231021404266,0.3757396340370178,0.0,0.0,0.4881146550178528,0.08284023404121399,301,332,0.5928571428571429,560,Image,14,SIMPLE_MLP,131,1,1,0.00019007980713062344,42.69921326637268,574014,48edaeee-b7ce-4728-b8ab-45024e8d3f68,True
MLP,FaceAll,time_series,e11,0,uniform,completeness,0.5,2.673473834991455,0.10000000149011612,2.673473834991455,0.25147929787635803,0.4005917012691498,0.0,0.0,0.5142465829849243,0.10000000894069672,301,276,0.4928571428571429,560,Image,14,SIMPLE_MLP,131,1,1,0.00015878102455604517,35.640947580337524,574014,587cf8b0-a5aa-429c-9c76-aa4da7740a4b,True
MLP,FaceAll,time_series,e11,0,uniform,completeness,0.4,2.6050543785095215,0.07633136212825775,2.6050543785095215,0.2727810740470886,0.4804733693599701,0.0,0.0,0.5903958678245544,0.07633136212825775,301,236,0.42142857142857143,560,Image,14,SIMPLE_MLP,131,1,1,0.00014535375668255757,32.59453749656677,574014,035ae216-1c48-40c7-b4cc-fa6b46abddfb,True
MLP,FaceAll,time_series,e11,0,uniform,completeness,0.3,2.7139666080474854,0.06508875638246536,2.7139666080474854,0.19940827786922455,0.3088757395744324,0.0,0.0,0.481759250164032,0.06508875638246536,301,163,0.2910714285714286,560,Image,14,SIMPLE_MLP,131,1,1,0.00012003071355102107,26.933579683303833,574014,c0915d44-4cd0-461c-995e-d1245cbf201a,True
