model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
FCN,FiftyWords,time_series,e11,0,uniform,completeness,1.0,1.499025821685791,0.5978022217750549,1.499025821685791,0.8087912201881409,0.8659340739250183,0.7120253443717957,0.49450549483299255,0.9529457092285156,0.5978022217750549,496,450,1.0,450,Image,50,SIMPLE_CNN,270,1,1,0.0007799562841465649,119.78791379928589,272178,ff7fed39-096b-41dc-af55-f7c934653df7,True
FCN,FiftyWords,time_series,e11,0,uniform,completeness,0.9,2.0550358295440674,0.5186813473701477,2.0550358295440674,0.7626373767852783,0.8549450635910034,0.5910447835922241,0.43516483902931213,0.9206214547157288,0.5186813473701477,589,398,0.8844444444444445,450,Image,50,SIMPLE_CNN,270,1,1,0.0008882498688984837,129.9602870941162,272178,51707146-b8da-487f-85b4-56158f4fc8dd,True
FCN,FiftyWords,time_series,e11,0,uniform,completeness,0.8,1.8941494226455688,0.58681321144104,1.8941494226455688,0.800000011920929,0.8571428656578064,0.6720867156982422,0.5450549721717834,0.9302259683609009,0.58681321144104,697,364,0.8088888888888889,450,Image,50,SIMPLE_CNN,270,1,1,0.0009282792556421402,140.37104058265686,272178,a394dae4-0ea8-4d6d-b012-5f9f9e612886,True
FCN,FiftyWords,time_series,e11,0,uniform,completeness,0.7,1.627990961074829,0.6109890341758728,1.627990961074829,0.7824175953865051,0.8417582511901855,0.7610921263694763,0.4901098906993866,0.9461477994918823,0.6109890341758728,528,324,0.72,450,Image,50,SIMPLE_CNN,270,1,1,0.0006374718992063151,98.54422783851624,272178,723d5ad7-a8f2-481b-a67c-ff6a39cc3a68,True
FCN,FiftyWords,time_series,e11,0,uniform,completeness,0.6,2.0761194229125977,0.5120879411697388,2.0761194229125977,0.7340659499168396,0.8131868243217468,0.6466666460037231,0.4263736307621002,0.9236571192741394,0.5120879411697388,570,264,0.5866666666666667,450,Image,50,SIMPLE_CNN,270,1,1,0.0006047809832280102,88.49615216255188,272178,94e85a29-62dc-4e38-b009-a7d967e42e47,True
FCN,FiftyWords,time_series,e11,0,uniform,completeness,0.5,2.2613327503204346,0.5252747535705566,2.2613327503204346,0.7230769395828247,0.8175824284553528,0.6535947918891907,0.4395604431629181,0.9133307933807373,0.5252747535705566,537,232,0.5155555555555555,450,Image,50,SIMPLE_CNN,270,1,1,0.0004280241846793686,66.85478496551514,272178,4ef96238-b8c9-4369-930e-9bf2e889593d,True
FCN,FiftyWords,time_series,e11,0,uniform,completeness,0.4,2.6436054706573486,0.4395604431629181,2.6436054706573486,0.6373626589775085,0.7428571581840515,0.7692307829856873,0.1538461595773697,0.8913014531135559,0.4395604431629181,386,177,0.3933333333333333,450,Image,50,SIMPLE_CNN,270,1,1,0.00029061375389521525,46.367408752441406,272178,24345eec-deda-4784-bc43-d0958b56e9d6,True
FCN,FiftyWords,time_series,e11,0,uniform,completeness,0.3,3.089303731918335,0.3780219852924347,3.089303731918335,0.5978022217750549,0.69010990858078,0.5688073635101318,0.2725274860858917,0.8745583891868591,0.3780219852924347,550,144,0.32,450,Image,50,SIMPLE_CNN,270,1,1,0.00038627838116948106,65.85011100769043,272178,788ed2e9-26ce-48f3-a6fd-45658a4e30af,True
FCN,FiftyWords,time_series,e11,0,uniform,completeness,0.2,3.627157211303711,0.24175824224948883,3.627157211303711,0.4769230782985687,0.5648351907730103,0.4137931168079376,0.05274725332856178,0.8171526789665222,0.24175824224948883,351,104,0.2311111111111111,450,Image,50,SIMPLE_CNN,270,1,1,0.00022337845269017323,42.56957292556763,272178,d08c9278-d3ec-490e-b4b1-71b4c161591f,True
RESNET,FiftyWords,time_series,e11,0,uniform,completeness,1.0,1.1803927421569824,0.6791208982467651,1.1803927421569824,0.8483516573905945,0.8835164904594421,0.8199999928474426,0.6307692527770996,0.963640034198761,0.6791208982467651,530,450,1.0,450,Image,50,RESNET,270,1,1,0.0010741391714376757,156.55397033691406,513010,34578079-c00e-47b8-8b10-aadd4fad9482,True
