model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
FCN,SemgHandGenderCh2,time_series,e11,0,uniform,completeness,1.0,1.0306177139282227,0.7599999904632568,1.0306177139282227,1.0,1.0,0.7599999904632568,0.7599999904632568,0.8326569199562073,0.7599999904632568,1000,300,1.0,300,Spectrum,2,SIMPLE_CNN,1500,1,1,0.0034012465377654837,503.52774596214294,265986,1e740c2d-e143-4efd-b4e7-11ddca5ad3ec,True
FCN,SemgHandGenderCh2,time_series,e11,0,uniform,completeness,0.9,10.267426490783691,0.3499999940395355,10.267426490783691,1.0,1.0,0.3499999940395355,0.3499999940395355,0.350088894367218,0.3499999940395355,913,263,0.8766666666666667,300,Spectrum,2,SIMPLE_CNN,1500,1,1,0.002659364977828213,387.9508054256439,265986,725c3dcf-ce49-459a-a9f8-ff13a334983f,True
FCN,SemgHandGenderCh2,time_series,e11,0,uniform,completeness,0.8,8.238361358642578,0.36666667461395264,8.238361358642578,1.0,1.0,0.36666667461395264,0.36666667461395264,0.37203335762023926,0.36666667461395264,644,237,0.79,300,Spectrum,2,SIMPLE_CNN,1500,1,1,0.001689261219307247,250.75389218330383,265986,57111ee0-522e-4e2f-86e0-daa79d58affe,True
FCN,SemgHandGenderCh2,time_series,e11,0,uniform,completeness,0.7,3.8931827545166016,0.351666659116745,3.8931827545166016,1.0,1.0,0.351666659116745,0.351666659116745,0.3726569414138794,0.351666659116745,302,210,0.7,300,Spectrum,2,SIMPLE_CNN,1500,1,1,0.0007548304131174293,106.15757942199707,265986,afb8ae89-a252-456e-9cd8-1563147babd2,True
FCN,SemgHandGenderCh2,time_series,e11,0,uniform,completeness,0.6,1.8919893503189087,0.43666666746139526,1.8919893503189087,1.0,1.0,0.43666666746139526,0.43666666746139526,0.5451041460037231,0.43666666746139526,665,173,0.5766666666666667,300,Spectrum,2,SIMPLE_CNN,1500,1,1,0.001359066094877167,194.638525724411,265986,ec47bc05-b329-47db-9371-674e7c5da5f2,True
FCN,SemgHandGenderCh2,time_series,e11,0,uniform,completeness,0.5,6.649035453796387,0.36666667461395264,6.649035453796387,1.0,1.0,0.36666667461395264,0.36666667461395264,0.3924750089645386,0.36666667461395264,890,149,0.49666666666666665,300,Spectrum,2,SIMPLE_CNN,1500,1,1,0.0016394420032907271,239.37685441970825,265986,375f7329-52e2-4a9c-a44d-b091ec9ac17d,True
FCN,SemgHandGenderCh2,time_series,e11,0,uniform,completeness,0.4,3.4330272674560547,0.38499999046325684,3.4330272674560547,1.0,1.0,0.38499999046325684,0.38499999046325684,0.44422221183776855,0.38499999046325684,644,93,0.31,300,Spectrum,2,SIMPLE_CNN,1500,1,1,0.0008157569384987656,122.98903155326843,265986,6064d78b-05c3-4a87-9fd4-52b9d706bfc8,True
FCN,SemgHandGenderCh2,time_series,e11,0,uniform,completeness,0.3,1.8814412355422974,0.47833332419395447,1.8814412355422974,1.0,1.0,0.47833332419395447,0.47833332419395447,0.545419454574585,0.47833332419395447,534,91,0.30333333333333334,300,Spectrum,2,SIMPLE_CNN,1500,1,1,0.0005924231855994753,96.31092286109924,265986,15a35f23-22af-4e61-83f4-230f3c94d831,True
FCN,SemgHandGenderCh2,time_series,e11,0,uniform,completeness,0.2,1.4160901308059692,0.5149999856948853,1.4160901308059692,1.0,1.0,0.5149999856948853,0.5149999856948853,0.5766054391860962,0.5149999856948853,756,62,0.20666666666666667,300,Spectrum,2,SIMPLE_CNN,1500,1,1,0.0008387630314601247,114.55931043624878,265986,d08b1e3d-b746-4eb3-a7d2-72385aab831b,True
RESNET,SemgHandGenderCh2,time_series,e11,0,uniform,completeness,1.0,15.257858276367188,0.3499999940395355,15.257858276367188,1.0,1.0,0.3499999940395355,0.3499999940395355,0.35758334398269653,0.3499999940395355,299,300,1.0,300,Spectrum,2,RESNET,1500,1,1,0.0018945919248749099,275.75420808792114,506818,a0b8d26c-d4d2-4464-ac31-5c55d0ba09ed,True
RESNET,SemgHandGenderCh2,time_series,e11,0,uniform,completeness,0.9,107.38447570800781,0.3499999940395355,107.38447570800781,1.0,1.0,0.3499999940395355,0.3499999940395355,0.3500000238418579,0.3499999940395355,363,279,0.93,300,Spectrum,2,RESNET,1500,1,1,0.0022551905794978766,323.28693556785583,506818,696c27b6-a56f-46b2-8bcc-4be59ed0f6d2,True
RESNET,SemgHandGenderCh2,time_series,e11,0,uniform,completeness,0.8,109.98951721191406,0.3499999940395355,109.98951721191406,1.0,1.0,0.3499999940395355,0.3499999940395355,0.3500000238418579,0.3499999940395355,308,248,0.8266666666666667,300,Spectrum,2,RESNET,1500,1,1,0.0017090752305016271,247.09334135055542,506818,b136e23c-085e-4c08-8666-de5d0d5a8c97,True
RESNET,SemgHandGenderCh2,time_series,e11,0,uniform,completeness,0.7,35.89938735961914,0.3499999940395355,35.89938735961914,1.0,1.0,0.3499999940395355,0.3499999940395355,0.3489166796207428,0.3499999940395355,307,211,0.7033333333333334,300,Spectrum,2,RESNET,1500,1,1,0.001497924787021775,212.59169673919678,506818,ca18e533-7138-4087-b95c-e883f876dab8,True
RESNET,SemgHandGenderCh2,time_series,e11,0,uniform,completeness,0.6,36.70573043823242,0.34833332896232605,36.70573043823242,1.0,1.0,0.34833332896232605,0.34833332896232605,0.35065555572509766,0.34833332896232605,329,169,0.5633333333333334,300,Spectrum,2,RESNET,1500,1,1,0.0012986809538064687,191.59278416633606,506818,855b11f6-da4e-4566-88cc-c39d9fb92bcf,True
