model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
FCN,UWaveGestureLibraryAll,time_series,e11,0,uniform,completeness,1.0,0.73219233751297,0.7925739884376526,0.73219233751297,0.9667783379554749,0.9902289509773254,0.8123549818992615,0.7819653749465942,0.9632894992828369,0.7925739884376526,685,896,1.0,896,Motion,8,SIMPLE_CNN,945,1,1,0.004333137006974442,637.2361085414886,266760,a7dabd40-22d9-46fb-ba31-68b7cab46455,True
FCN,UWaveGestureLibraryAll,time_series,e11,0,uniform,completeness,0.9,0.7297369241714478,0.767448365688324,0.7297369241714478,0.9631490707397461,0.9916247725486755,0.7885462641716003,0.7495812177658081,0.9636234641075134,0.767448365688324,569,791,0.8828125,896,Motion,8,SIMPLE_CNN,945,1,1,0.0030819891476381984,460.8104999065399,266760,4cf38b7b-1999-4422-a183-14efeeb35640,True
FCN,UWaveGestureLibraryAll,time_series,e11,0,uniform,completeness,0.8,0.6935217380523682,0.8087660670280457,0.6935217380523682,0.9656616449356079,0.9935790300369263,0.8229016661643982,0.7964823842048645,0.9667047262191772,0.8087660670280457,1000,732,0.8169642857142857,896,Motion,8,SIMPLE_CNN,945,1,1,0.005197008202465237,760.448343038559,266760,e18c0b27-d492-4eb9-9128-34faad4e1000,True
FCN,UWaveGestureLibraryAll,time_series,e11,0,uniform,completeness,0.7,0.7484193444252014,0.7895030975341797,0.7484193444252014,0.9639865756034851,0.9913456439971924,0.8042404651641846,0.7730318307876587,0.962876558303833,0.7895030975341797,752,636,0.7098214285714286,896,Motion,8,SIMPLE_CNN,945,1,1,0.0034516141208202943,497.5415999889374,266760,ea11d37e-b2b5-4ca4-a6f7-fbd9b9ce44da,True
FCN,UWaveGestureLibraryAll,time_series,e11,0,uniform,completeness,0.6,0.7633428573608398,0.7283640503883362,0.7633428573608398,0.9589614868164062,0.9877163767814636,0.7690631747245789,0.6898380517959595,0.9587615728378296,0.7283640503883362,471,549,0.6127232142857143,896,Motion,8,SIMPLE_CNN,945,1,1,0.0018539386788034233,273.94963574409485,266760,81299ad4-edd9-4aba-88c0-18628886241f,True
FCN,UWaveGestureLibraryAll,time_series,e11,0,uniform,completeness,0.5,0.9403756856918335,0.7610273361206055,0.9403756856918335,0.9530988335609436,0.9865996837615967,0.7766512036323547,0.7484645247459412,0.9502509236335754,0.7610273361206055,1000,437,0.4877232142857143,896,Motion,8,SIMPLE_CNN,945,1,1,0.003334542477291815,504.39505672454834,266760,8eb8bb79-559e-4154-81f8-f31b39d8d0dc,True
FCN,UWaveGestureLibraryAll,time_series,e11,0,uniform,completeness,0.4,0.9703488945960999,0.7417643666267395,0.9703488945960999,0.9324399828910828,0.9785036444664001,0.7728772759437561,0.7191513180732727,0.9434801340103149,0.7417643070220947,779,318,0.3549107142857143,896,Motion,8,SIMPLE_CNN,945,1,1,0.0018059524295328513,267.7636933326721,266760,380f8e71-4ef1-4a4c-b7e4-63a9da3a6c5a,True
FCN,UWaveGestureLibraryAll,time_series,e11,0,uniform,completeness,0.3,0.8358140587806702,0.7166387438774109,0.8358140587806702,0.9419319033622742,0.9838079214096069,0.7683669924736023,0.6686208844184875,0.9509360194206238,0.7166387438774109,557,277,0.3091517857142857,896,Motion,8,SIMPLE_CNN,945,1,1,0.0011373721479346283,171.0168719291687,266760,27966e6a-3a7c-4bf2-9e83-de720251cba7,True
FCN,UWaveGestureLibraryAll,time_series,e11,0,uniform,completeness,0.2,1.165961503982544,0.6203238368034363,1.165961503982544,0.9059184789657593,0.9832496047019958,0.6704918146133423,0.5709100961685181,0.9152141213417053,0.6203238368034363,794,170,0.18973214285714285,896,Motion,8,SIMPLE_CNN,945,1,1,0.0010720068307463883,163.16066694259644,266760,22c4f885-f4ca-4926-8fa2-e25a37392f92,True
RESNET,UWaveGestureLibraryAll,time_series,e11,0,uniform,completeness,1.0,0.4894460439682007,0.8464545011520386,0.4894460439682007,0.9759910702705383,0.9944165349006653,0.8667445778846741,0.8280290365219116,0.9797666072845459,0.8464545011520386,524,896,1.0,896,Motion,8,RESNET,945,1,1,0.005865346152626705,847.4828717708588,507592,9f146462-d9bc-4fda-8999-493e390e500e,True
