model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
FCN,UWaveGestureLibraryZ,time_series,e11,0,uniform,completeness,1.0,0.7520641088485718,0.7180346250534058,0.7520641088485718,0.966219961643219,0.9946957230567932,0.7422806620597839,0.677833616733551,0.9593191742897034,0.7180346250534058,488,896,1.0,896,Motion,8,SIMPLE_CNN,315,1,1,0.0015586557556313838,237.6262948513031,266760,ae08b1cd-f305-4b12-b9c9-886ecdc1ecbd,True
FCN,UWaveGestureLibraryZ,time_series,e11,0,uniform,completeness,0.9,0.8230432271957397,0.6862088441848755,0.8230432271957397,0.9522613286972046,0.9907872676849365,0.7332680225372314,0.6270239949226379,0.9503803849220276,0.6862088441848755,412,800,0.8928571428571429,896,Motion,8,SIMPLE_CNN,315,1,1,0.0010448422256497862,150.13734006881714,266760,f19fd4d3-8ac3-4abb-adfa-9a82cb2354d3,True
FCN,UWaveGestureLibraryZ,time_series,e11,0,uniform,completeness,0.8,0.8433120250701904,0.6887213587760925,0.8433120250701904,0.9617531895637512,0.9966499209403992,0.7234370112419128,0.6557788848876953,0.9505559206008911,0.6887213587760925,534,725,0.8091517857142857,896,Motion,8,SIMPLE_CNN,315,1,1,0.0013557844947585255,207.92271518707275,266760,37cbc8d0-7430-4e61-aeda-fe39445571b2,True
FCN,UWaveGestureLibraryZ,time_series,e11,0,uniform,completeness,0.7,0.9865229725837708,0.6834170818328857,0.9865229725837708,0.9500279426574707,0.9930206537246704,0.7045115232467651,0.6582914590835571,0.9395384192466736,0.6834170818328857,573,634,0.7075892857142857,896,Motion,8,SIMPLE_CNN,315,1,1,0.0012915947053290207,189.3309531211853,266760,0f88d44c-561b-451b-9bfe-5ecacc77bee7,True
FCN,UWaveGestureLibraryZ,time_series,e11,0,uniform,completeness,0.6,0.8396359086036682,0.6708542704582214,0.8396359086036682,0.9508654475212097,0.9916247725486755,0.7381738424301147,0.5619765520095825,0.948979377746582,0.6708542704582214,390,535,0.5970982142857143,896,Motion,8,SIMPLE_CNN,315,1,1,0.0007464124238060703,114.33262133598328,266760,7e016965-a2ee-466c-ab28-46741220ea3d,True
FCN,UWaveGestureLibraryZ,time_series,e11,0,uniform,completeness,0.5,0.894752562046051,0.6666666865348816,0.894752562046051,0.9419319033622742,0.9907872676849365,0.7065944671630859,0.6192071437835693,0.9442600607872009,0.6666666865348816,455,447,0.49888392857142855,896,Motion,8,SIMPLE_CNN,315,1,1,0.0007842233927380841,115.29103326797485,266760,632fec77-23ac-4419-81ad-c8b7b123e97d,True
FCN,UWaveGestureLibraryZ,time_series,e11,0,uniform,completeness,0.4,0.9534932374954224,0.6334450244903564,0.9534932374954224,0.9310441017150879,0.981853723526001,0.6966213583946228,0.5583472847938538,0.935321033000946,0.6334450244903564,473,361,0.4029017857142857,896,Motion,8,SIMPLE_CNN,315,1,1,0.0007064762496631093,100.70033097267151,266760,a1e7ce19-5d09-4cf6-8dd3-c465ea01d29c,True
FCN,UWaveGestureLibraryZ,time_series,e11,0,uniform,completeness,0.3,1.1902347803115845,0.6236739158630371,1.1902347803115845,0.8847013115882874,0.9550530314445496,0.6696628928184509,0.5823562145233154,0.9074649214744568,0.6236739158630371,504,272,0.30357142857142855,896,Motion,8,SIMPLE_CNN,315,1,1,0.0005615190215242991,83.66292238235474,266760,6b884b0f-6f1d-4b1c-b806-836b0319e994,True
FCN,UWaveGestureLibraryZ,time_series,e11,0,uniform,completeness,0.2,1.2573953866958618,0.606923520565033,1.2573953866958618,0.8891680836677551,0.9539363384246826,0.6491685509681702,0.5558347105979919,0.9030003547668457,0.606923520565033,511,202,0.22544642857142858,896,Motion,8,SIMPLE_CNN,315,1,1,0.0004192628397288743,70.13171696662903,266760,e545397a-126e-4ff1-a0ea-d0fa49b5ca70,True
RESNET,UWaveGestureLibraryZ,time_series,e11,0,uniform,completeness,1.0,0.827030599117279,0.7015633583068848,0.827030599117279,0.9550530314445496,0.9902289509773254,0.750080943107605,0.6468453407287598,0.9499121308326721,0.7015633583068848,300,896,1.0,896,Motion,8,RESNET,315,1,1,0.001331739023532892,194.18222832679749,507592,3c2ea84f-21d0-4b47-a4d6-979eb576dffa,True
