model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
FCN,WordSynonyms,time_series,e11,0,uniform,completeness,1.0,2.0043282508850098,0.48432600498199463,2.0043282508850098,0.7178683280944824,0.8087774515151978,0.6447368264198303,0.3840125501155853,0.89521324634552,0.48432600498199463,552,267,1.0,267,Image,25,SIMPLE_CNN,270,1,1,0.0005110607149691402,75.93719005584717,268953,0e455028-41f7-49fd-8c70-b72ff6de5def,True
FCN,WordSynonyms,time_series,e11,0,uniform,completeness,0.9,2.2942309379577637,0.4811912178993225,2.2942309379577637,0.6912225484848022,0.7727272510528564,0.5942408442497253,0.3557993769645691,0.8717786073684692,0.4811912178993225,511,246,0.9213483146067416,267,Image,25,SIMPLE_CNN,270,1,1,0.00044586640015485023,74.51542043685913,268953,d400ca1f-5683-4afc-9fdd-152423791173,True
FCN,WordSynonyms,time_series,e11,0,uniform,completeness,0.8,2.9450721740722656,0.42006269097328186,2.9450721740722656,0.6489028334617615,0.777429461479187,0.4893617033958435,0.36050155758857727,0.8533707857131958,0.42006269097328186,814,200,0.7490636704119851,267,Image,25,SIMPLE_CNN,270,1,1,0.000712224156629582,105.45260262489319,268953,8e9ed0ea-3620-4956-b859-017c651c6f27,True
FCN,WordSynonyms,time_series,e11,0,uniform,completeness,0.7,2.228630304336548,0.4373040795326233,2.228630304336548,0.6724137663841248,0.7617554664611816,0.593123197555542,0.32445141673088074,0.8696831464767456,0.4373040795326233,453,177,0.6629213483146067,267,Image,25,SIMPLE_CNN,270,1,1,0.00034636240041818154,52.94326043128967,268953,df900b9e-0bef-468b-aaa1-7d7986cb4323,True
FCN,WordSynonyms,time_series,e11,0,uniform,completeness,0.6,2.6819875240325928,0.46081504225730896,2.6819875240325928,0.6426331996917725,0.7335423231124878,0.5989717245101929,0.36520376801490784,0.8503453135490417,0.46081504225730896,607,157,0.5880149812734082,267,Image,25,SIMPLE_CNN,270,1,1,0.0004086283295663523,69.64749002456665,268953,1d6e6c2f-93a3-4064-ae19-59a89719db7f,True
FCN,WordSynonyms,time_series,e11,0,uniform,completeness,0.5,2.779560089111328,0.36206895112991333,2.779560089111328,0.5454545617103577,0.6394984126091003,0.4587155878543854,0.07836990803480148,0.8113158941268921,0.36206892132759094,364,143,0.5355805243445693,267,Image,25,SIMPLE_CNN,270,1,1,0.00023927315269503587,43.715100049972534,268953,1e6492fc-2d90-4429-9142-d853a210bb1a,True
FCN,WordSynonyms,time_series,e11,0,uniform,completeness,0.4,3.2057883739471436,0.35423198342323303,3.2057883739471436,0.568965494632721,0.6974921822547913,0.4736842215061188,0.2257053256034851,0.8137975335121155,0.35423198342323303,561,108,0.4044943820224719,267,Image,25,SIMPLE_CNN,270,1,1,0.0003313645337452786,65.10761380195618,268953,1d94f761-b4b7-46ad-8a17-83fc7b576fc7,True
FCN,WordSynonyms,time_series,e11,0,uniform,completeness,0.3,2.8630528450012207,0.21943573653697968,2.8630528450012207,0.40125390887260437,0.5,0.0,0.0,0.7264189124107361,0.21943572163581848,304,77,0.2883895131086142,267,Image,25,SIMPLE_CNN,270,1,1,0.00017710135019653077,35.917834758758545,268953,6b0efbfb-cb85-40fb-99f9-283e33fad0d6,True
FCN,WordSynonyms,time_series,e11,0,uniform,completeness,0.2,3.005460739135742,0.21943573653697968,3.005460739135742,0.3322884142398834,0.5297805666923523,0.0,0.0,0.6887662410736084,0.21943572163581848,306,52,0.1947565543071161,267,Image,25,SIMPLE_CNN,270,1,1,0.0001715373702307457,35.425942182540894,268953,feadcbc2-d20f-4274-83fd-6de9b6f04bba,True
RESNET,WordSynonyms,time_series,e11,0,uniform,completeness,1.0,1.6458003520965576,0.5658307075500488,1.6458003520965576,0.7805642485618591,0.8416928052902222,0.6962305903434753,0.4921630024909973,0.9221767783164978,0.5658307075500488,377,267,1.0,267,Image,25,RESNET,270,1,1,0.0006062087297221948,89.09896397590637,509785,34b4a21d-96ad-4d4c-baca-a76ce9b2adc8,True
RESNET,WordSynonyms,time_series,e11,0,uniform,completeness,0.9,1.8016762733459473,0.537617564201355,1.8016762733459473,0.7554858922958374,0.8369905948638916,0.6416308879852295,0.46865203976631165,0.906499445438385,0.537617564201355,434,240,0.898876404494382,267,Image,25,RESNET,270,1,1,0.0005583989262920118,83.66338896751404,509785,b6106233-ff92-4396-8aff-1aa551444ce0,True
RESNET,WordSynonyms,time_series,e11,0,uniform,completeness,0.8,1.703040599822998,0.5564263463020325,1.703040599822998,0.7492163181304932,0.8213165998458862,0.7156626582145691,0.4655172526836395,0.9166541695594788,0.5564263463020325,335,206,0.7715355805243446,267,Image,25,RESNET,270,1,1,0.0004675451159072155,72.99842667579651,509785,51bcd0f6-5f03-4aa1-a9e9-54d9d8712165,True
RESNET,WordSynonyms,time_series,e11,0,uniform,completeness,0.7,2.2400741577148438,0.4702194333076477,2.2400741577148438,0.6865203976631165,0.7836990356445312,0.5717488527297974,0.3996865153312683,0.876207172870636,0.4702194333076477,377,194,0.7265917602996255,267,Image,25,RESNET,270,1,1,0.0005272698045692131,82.56047463417053,509785,dc01b2eb-0f23-4b08-9d73-ad5c5b345543,True
RESNET,WordSynonyms,time_series,e11,0,uniform,completeness,0.6,3.013032913208008,0.21943573653697968,3.013032913208008,0.43103447556495667,0.5282131433486938,0.0,0.0,0.7089923620223999,0.21943572163581848,252,164,0.6142322097378277,267,Image,25,RESNET,270,1,1,0.0003549847253513801,52.69064235687256,509785,b26b6de8-991f-4b98-a3c0-891aeabf5a11,True
RESNET,WordSynonyms,time_series,e11,0,uniform,completeness,0.5,2.4926300048828125,0.4106582999229431,2.4926300048828125,0.6065830588340759,0.7178683280944824,0.5811209678649902,0.30877742171287537,0.8442673087120056,0.4106582999229431,310,118,0.4419475655430712,267,Image,25,RESNET,270,1,1,0.00039216987020998723,60.55057239532471,509785,89f58858-ccf4-4b6c-a3c5-89a053f887bc,True
RESNET,WordSynonyms,time_series,e11,0,uniform,completeness,0.4,2.8176302909851074,0.30877742171287537,2.8176302909851074,0.5203761458396912,0.6175548434257507,0.5159817337989807,0.17711599171161652,0.7876777648925781,0.30877742171287537,299,98,0.36704119850187267,267,Image,25,RESNET,270,1,1,0.000329563136031657,59.270705223083496,509785,6a36db77-ae30-4b7d-b6b4-e2fbc5b5fa37,True
RESNET,WordSynonyms,time_series,e11,0,uniform,completeness,0.3,2.808825969696045,0.36050155758857727,2.808825969696045,0.568965494632721,0.66144198179245,0.4700315594673157,0.2335423231124878,0.807645857334137,0.36050155758857727,310,85,0.31835205992509363,267,Image,25,RESNET,270,1,1,0.00032928899350442875,60.335415840148926,509785,34ba45de-2d90-458c-8e45-c3dc41f46742,True
RESNET,WordSynonyms,time_series,e11,0,uniform,completeness,0.2,5.801662921905518,0.2476489096879959,5.801662921905518,0.43887147307395935,0.5188087821006775,0.29718005657196045,0.2147335410118103,0.7007988691329956,0.2476489096879959,437,38,0.14232209737827714,267,Image,25,RESNET,270,1,1,0.0004564876192509784,92.499427318573,509785,b3afb0c5-91d2-40dd-ae03-96794a31e203,True
MLP,WordSynonyms,time_series,e11,0,uniform,completeness,1.0,1.883945345878601,0.4858934283256531,1.883945345878601,0.6786834001541138,0.746081531047821,0.7254902124404907,0.3479623794555664,0.8886397480964661,0.4858934283256531,2000,267,1.0,267,Image,25,SIMPLE_MLP,270,1,1,0.0009508059800189738,199.55457639694214,649025,a0ef7162-5b03-4288-a827-32c5f4f95588,True
