model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
FCN,WormsTwoClass,time_series,e11,0,uniform,completeness,1.0,1.9352132081985474,0.5714285969734192,1.9352132081985474,1.0,1.0,0.5714285969734192,0.5714285969734192,0.7082138061523438,0.5714285969734192,503,181,1.0,181,Motion,2,SIMPLE_CNN,900,1,1,0.0006513468445253707,102.6293261051178,265986,d29228b6-bdc1-44bf-acaf-37c9131478e5,True
FCN,WormsTwoClass,time_series,e11,0,uniform,completeness,0.9,2.068399667739868,0.5714285969734192,2.068399667739868,1.0,1.0,0.5714285969734192,0.5714285969734192,0.702479362487793,0.5714285969734192,793,165,0.9116022099447514,181,Motion,2,SIMPLE_CNN,900,1,1,0.0010208716440969262,150.13857293128967,265986,08bdf7b6-b94d-41cb-bb68-cf833a5b105c,True
FCN,WormsTwoClass,time_series,e11,0,uniform,completeness,0.8,3.419940948486328,0.5714285969734192,3.419940948486328,1.0,1.0,0.5714285969734192,0.5714285969734192,0.5936920046806335,0.5714285969734192,547,145,0.8011049723756906,181,Motion,2,SIMPLE_CNN,900,1,1,0.0006335245660230289,96.69880723953247,265986,a1b33708-c5d6-47cb-bde5-537d8fec3814,True
FCN,WormsTwoClass,time_series,e11,0,uniform,completeness,0.7,1.5807942152023315,0.5714285969734192,1.5807942152023315,1.0,1.0,0.5714285969734192,0.5714285969734192,0.7065272331237793,0.5714285969734192,474,106,0.585635359116022,181,Motion,2,SIMPLE_CNN,900,1,1,0.0004825108475537471,69.89577054977417,265986,02bae3aa-72d1-4bde-aecb-f9c2dbd8d999,True
FCN,WormsTwoClass,time_series,e11,0,uniform,completeness,0.6,2.468296766281128,0.5714285969734192,2.468296766281128,1.0,1.0,0.5714285969734192,0.5714285969734192,0.6641929149627686,0.5714285969734192,563,111,0.6132596685082873,181,Motion,2,SIMPLE_CNN,900,1,1,0.0004936959559900965,79.59545803070068,265986,389a476c-3592-4e0b-937f-73dd7a82662c,True
FCN,WormsTwoClass,time_series,e11,0,uniform,completeness,0.5,1.5406996011734009,0.649350643157959,1.5406996011734009,1.0,1.0,0.649350643157959,0.649350643157959,0.7171528935432434,0.649350643157959,734,82,0.4530386740331492,181,Motion,2,SIMPLE_CNN,900,1,1,0.0006574353566430601,98.73287725448608,265986,22bfb31c-c672-4552-a042-c238b8681ab7,True
FCN,WormsTwoClass,time_series,e11,0,uniform,completeness,0.4,3.780850887298584,0.5714285969734192,3.780850887298584,1.0,1.0,0.5714285969734192,0.5714285969734192,0.5658627152442932,0.5714285969734192,574,69,0.3812154696132597,181,Motion,2,SIMPLE_CNN,900,1,1,0.0004956124059801057,77.47025322914124,265986,1e0415ae-d688-4e2e-9821-0aef86c41a4d,True
FCN,WormsTwoClass,time_series,e11,0,uniform,completeness,0.3,1.645664095878601,0.5714285969734192,1.645664095878601,1.0,1.0,0.5714285969734192,0.5714285969734192,0.6744813323020935,0.5714285969734192,384,47,0.2596685082872928,181,Motion,2,SIMPLE_CNN,900,1,1,0.0002769262145427549,48.77783703804016,265986,3e6a00e2-4077-4982-bc8e-0d877ca8970f,True
FCN,WormsTwoClass,time_series,e11,0,uniform,completeness,0.2,2.0620381832122803,0.6103895902633667,2.0620381832122803,1.0,1.0,0.6103895902633667,0.6103895902633667,0.631978452205658,0.6103895902633667,667,31,0.1712707182320442,181,Motion,2,SIMPLE_CNN,900,1,1,0.00035996120249686965,66.65458250045776,265986,a8fb5342-b24c-4623-a4f3-3ae0ece6fe42,True
RESNET,WormsTwoClass,time_series,e11,0,uniform,completeness,1.0,1.2962754964828491,0.5974025726318359,1.2962754964828491,1.0,1.0,0.5974025726318359,0.5974025726318359,0.6852757930755615,0.5974025726318359,311,181,1.0,181,Motion,2,RESNET,900,1,1,0.0007906820490893266,118.04274106025696,506818,deafddf4-d3b5-4c45-a3a3-c2d86a58ef6f,True
